,Status
50938,0
35119,1
127799,0
95217,0
84778,0
43040,0
6204,1
25949,0
119718,0
111985,0
134075,0
23334,1
116294,0
13323,0
132174,0
17099,0
56653,0
20722,1
100239,0
19599,0
92588,1
88679,1
40673,0
92451,0
68665,0
101356,1
125152,1
42062,0
65804,1
31436,1
131369,0
86885,1
6178,1
32871,1
69469,0
46200,0
120614,0
116086,1
42119,0
69591,0
15824,0
56674,1
53534,0
60462,0
44317,0
112429,0
76108,0
66078,0
127664,0
50871,0
94341,0
81827,0
24407,0
106469,0
76961,0
45172,0
59292,0
30098,0
117816,1
7208,0
117153,0
49413,0
51565,0
75843,1
312,1
135927,0
121179,0
25085,0
41531,0
71346,0
37942,1
127628,1
63653,1
102448,0
7880,1
69673,0
125404,0
104067,0
42499,0
69862,0
9243,0
125472,0
8378,0
119399,1
19094,0
8781,0
66989,0
120136,1
73935,1
5564,1
120495,0
104325,0
109615,0
51004,0
57931,0
34109,0
127364,0
127299,0
10343,0
11248,1
116529,0
97238,0
100836,1
80949,0
93583,0
100807,0
78041,1
31788,0
70801,0
19170,0
126885,0
24735,0
27911,0
92015,0
75420,0
42630,1
19709,0
107434,0
2060,0
103799,0
68662,0
125456,1
20512,0
116386,1
66335,0
97381,0
27635,1
35355,1
5986,1
62856,0
58555,1
46362,0
97707,0
49720,0
120968,0
70458,0
25349,1
48813,0
55588,0
7955,0
106136,0
61982,1
95911,0
98982,0
122148,0
109673,0
35681,0
8929,0
96403,0
91136,0
33454,0
55141,1
83662,1
112247,1
56372,0
10054,0
69410,0
113063,1
73049,1
15347,1
45861,0
91553,0
74359,1
20111,0
108325,0
61950,1
81466,1
133483,0
52880,0
130942,1
34093,0
113172,1
70860,0
18937,0
1602,0
115484,0
89783,0
132934,0
95241,1
101225,0
75870,0
125338,0
34273,0
113069,1
49701,1
123581,0
83256,0
21527,0
121411,0
53665,0
70020,0
87352,0
96515,0
35192,0
120041,0
108742,0
123494,1
126645,0
58969,0
47256,0
131560,0
74004,1
102358,0
3360,0
20091,0
55095,0
12928,0
13799,0
75576,1
97315,0
53773,0
40654,1
71830,1
121045,1
14668,0
99915,1
122924,0
113177,0
14816,1
132252,0
61010,1
60413,1
128459,1
67608,0
113955,1
28377,0
76437,0
7325,1
122150,0
55888,1
10536,0
118160,1
8260,0
66443,0
45686,0
5313,0
28241,1
135350,1
75056,0
71300,0
22464,0
94144,1
102801,0
112060,1
53667,1
128719,0
130230,0
4199,0
97577,0
110582,0
5252,0
117347,0
90958,0
63476,0
3799,0
8225,1
97765,1
59564,0
13197,0
65112,0
90711,1
108803,0
39289,0
74201,1
36591,0
19803,0
91008,0
93467,0
51182,0
525,1
1217,0
111809,0
47519,0
43581,0
13039,0
68252,0
99420,0
117596,1
11385,0
126475,1
134840,0
121955,0
107000,0
84937,0
112472,1
115009,0
128526,1
12117,0
128432,0
2474,0
120772,1
45469,0
32770,0
136165,0
7620,0
64020,1
55125,0
113564,1
56664,0
103827,0
26946,1
105096,0
95121,0
12630,0
129546,0
108395,0
17625,1
111723,0
74093,0
43389,0
29829,1
71453,1
2114,0
102232,0
96326,1
75819,1
33543,1
106678,0
11188,0
21856,1
68597,0
126805,1
125384,1
57484,0
8821,0
73141,0
63234,1
97678,0
130395,0
97689,0
99923,0
49392,0
54349,1
68715,1
9184,0
114208,0
67724,0
40153,1
88368,0
46159,1
38144,0
17664,0
49970,0
23505,0
125852,0
35346,0
133024,0
103006,1
76761,0
94818,0
131081,0
97655,1
18252,0
18360,0
66043,0
105907,0
101901,0
120418,0
64371,0
24446,0
98639,0
37215,0
6752,1
14734,0
72662,0
135389,0
46886,0
31388,0
8400,1
130541,0
50674,0
40336,0
40678,1
110166,0
91569,0
631,0
34777,0
103413,1
49,1
15165,0
58845,0
7226,0
902,1
29211,0
92792,0
15364,0
130638,0
33187,0
84652,0
55756,0
37857,0
94752,1
49963,0
54257,0
105936,0
10783,0
114295,0
93374,0
26605,0
115305,0
100175,1
111897,1
42168,0
33951,0
77361,0
113968,0
34898,0
75239,0
86247,0
12956,0
113658,0
36048,0
126046,0
31964,0
94844,0
17869,0
6547,0
43049,0
4863,0
88225,1
57643,1
113467,1
87358,1
71490,0
110338,1
126031,0
14600,0
9870,0
77587,1
30664,1
5576,0
87069,1
34996,1
17313,0
59421,1
6648,0
42868,1
108917,0
61435,0
34466,0
69417,0
91156,1
80100,0
113990,0
99979,0
102977,0
24889,0
17166,0
80921,0
40567,0
45595,0
131827,0
19041,0
56970,0
48663,1
12478,0
75410,0
31490,0
53623,0
131513,0
114304,1
101840,0
49549,0
77325,0
74411,1
92806,0
64665,0
61205,0
31542,0
41183,1
116993,0
128022,0
114751,0
64227,0
128350,0
61462,0
2757,1
105489,0
130157,0
15578,0
35096,0
563,0
84992,0
34829,1
128261,1
18200,0
52426,1
79124,0
104889,0
9287,0
67133,0
10610,0
132941,0
106450,0
74024,0
101197,0
4562,1
95006,0
32096,0
101684,0
134605,0
48705,0
52932,0
1099,1
91710,0
52914,0
15474,0
31431,0
99798,0
18620,0
80793,1
26894,0
134706,1
73455,1
109109,0
11794,1
110517,1
30710,1
87179,0
122897,0
36260,0
12145,1
87012,1
105759,0
125315,0
112366,0
19645,0
20794,0
109448,0
68571,0
122209,0
17654,0
102203,0
55664,0
88221,0
118745,0
36571,0
83678,0
117733,0
51307,0
121518,0
28953,0
96541,0
87344,0
82766,0
92888,0
38812,0
69089,1
7780,0
107711,0
30960,0
120387,0
71671,0
77973,0
18419,0
17195,0
17076,0
44707,0
100247,1
36842,1
124779,1
115117,1
48244,0
17604,0
91010,0
73891,0
108186,0
670,0
96997,1
131859,1
123842,0
11877,1
99622,0
50596,0
57007,0
110524,0
101365,1
49518,0
19140,0
39836,0
52977,1
52522,0
120935,0
133027,0
46093,0
111531,1
77039,0
8883,1
110606,0
66531,0
90056,0
114263,1
63186,1
29632,0
104258,1
109304,0
78726,0
75339,0
124507,0
10713,0
111109,0
64786,0
100549,0
118491,0
48584,0
50318,1
41511,0
77880,0
87431,0
61,0
97297,0
55484,0
57165,1
126263,0
48371,1
58464,0
11776,0
135293,0
85508,0
67977,0
99549,0
55436,0
48457,0
78155,0
12845,1
13359,0
107326,0
53332,1
128236,0
52613,0
29062,1
60923,1
119573,0
35051,0
15681,0
125139,0
91688,1
48911,0
116564,0
34458,0
38124,0
27194,0
45046,1
52815,0
96232,0
112682,0
16554,0
58960,0
74173,1
115823,0
1077,0
133225,1
15067,0
112033,0
25880,0
79976,0
41768,1
57621,1
1260,1
89095,0
5526,0
120946,0
67601,0
27437,1
47760,0
28464,0
107881,0
116172,1
58787,0
62707,0
63780,0
118857,1
61299,0
39371,1
98800,0
36252,0
42544,0
22515,0
18811,1
62715,0
30817,0
23370,0
128591,0
75771,0
111219,0
104291,1
88030,0
28909,0
81024,0
14108,0
54371,0
122079,1
69291,1
86330,0
117089,0
128087,0
111679,1
10153,0
111844,0
127415,0
17026,0
45593,0
34238,1
2923,1
66924,0
37782,1
19595,1
42031,0
37364,0
107146,0
128897,0
76209,0
30814,0
24785,0
28730,0
39016,0
63331,0
55532,1
15607,0
134689,1
93773,1
66978,0
80740,0
101102,1
126516,0
57659,0
38168,0
85456,0
13826,1
68939,1
135941,0
130803,0
23120,0
91708,0
22506,0
89069,0
135317,0
101068,0
105901,0
85608,0
40017,0
86410,0
93931,0
124289,0
17547,0
40231,0
42699,0
109187,0
102284,0
81012,1
52860,0
61077,0
100219,0
66241,0
44141,1
123005,0
82292,0
99792,0
2885,0
32727,1
123625,0
77559,0
7050,0
77180,1
121130,1
112389,1
56761,0
14561,0
107489,1
47522,1
27047,0
111387,0
49169,0
93634,0
79447,0
30003,1
110038,0
64827,0
85810,1
99880,1
35433,0
77560,0
67761,0
56981,0
65660,0
34480,0
23859,0
117820,0
109930,0
47321,1
31787,1
70294,0
8023,0
107831,0
96600,0
52177,0
36450,0
66530,0
110978,0
30862,0
8925,0
24349,1
78383,0
43742,1
2990,0
107952,0
52160,0
83165,1
108413,0
104976,0
98578,0
6348,1
57111,0
82698,0
114495,0
2845,0
105158,1
13719,0
44198,1
19234,1
9722,0
109921,1
12761,0
73055,0
131342,0
117208,1
57708,0
41952,0
12339,0
85372,0
42361,0
17088,0
31934,0
107143,1
78679,0
101763,1
49774,1
69163,0
88546,0
23277,0
124794,0
122959,0
47332,0
16030,0
106042,0
29847,1
100193,0
107358,0
19582,0
49873,1
36423,0
18455,1
10809,0
1639,0
94016,0
48040,0
101162,0
52112,0
74465,1
116601,0
81416,1
34530,0
34147,0
16344,0
125856,0
102458,1
113960,0
82794,0
40070,1
99380,0
95138,0
85168,0
49100,1
49820,1
4586,0
116952,0
101916,1
93873,1
71731,1
73388,0
114985,0
124216,0
99232,0
124344,0
71552,1
109833,0
135621,0
56179,1
64511,0
34807,1
15139,0
64961,0
94479,0
23970,0
42615,1
119340,1
56638,0
16500,0
97951,0
67119,0
4363,0
104314,0
104323,1
72482,0
85117,0
47831,0
49994,0
71308,0
54449,0
55720,0
37583,0
114453,0
110286,0
38935,1
98056,0
119953,0
89401,0
28178,1
96436,0
60121,0
102975,0
72237,1
98950,0
100640,0
87511,0
89568,0
21641,0
135884,1
90700,1
2725,0
68932,0
89018,0
65425,0
59283,0
68302,1
50916,0
7269,0
7725,0
26643,0
57721,0
71883,0
3233,0
123896,1
29931,1
33928,0
93428,0
107469,0
113514,1
119460,0
37795,0
84823,1
31900,0
18516,0
115511,0
96941,0
41385,0
81084,0
68620,0
97190,0
63233,0
23032,0
131620,1
87901,1
3586,0
133047,0
107266,0
113929,0
121783,1
52171,1
108912,0
5676,0
22232,0
68134,0
88799,0
73510,0
19407,0
47086,0
89734,1
71738,0
873,0
115167,1
131084,1
10398,0
25034,0
9999,1
65378,0
21733,0
110274,0
130663,0
4276,0
77628,1
92364,1
28873,1
32680,0
70513,0
132835,0
129710,0
134210,0
41947,0
26462,0
77839,1
123770,0
61150,0
1771,0
111263,0
12820,0
71311,0
77036,0
73732,0
86660,0
1029,0
30191,1
67871,0
59832,0
120257,0
132836,0
9276,0
51295,0
1040,0
112190,0
35616,1
72923,1
97891,1
26080,0
104393,0
38804,1
104734,1
20443,1
55903,0
83855,0
74409,0
14791,0
75760,1
59535,1
10642,0
28846,0
86313,1
130713,0
58128,1
32086,1
63992,0
8490,0
82053,0
24231,0
15079,0
111235,1
133020,1
110550,0
81367,0
47495,0
110747,0
35957,0
67354,0
69012,0
91492,0
52272,0
125080,0
60491,1
64196,1
33684,0
32604,0
107471,0
48395,0
74917,1
72029,1
124573,0
115740,0
24,0
16839,1
12658,0
33429,0
1960,1
110807,0
65313,0
14895,0
95111,0
64539,0
15917,1
85116,0
97573,1
66357,0
54123,1
27024,0
134881,0
89105,1
28361,0
96754,0
113729,0
88223,0
50383,1
97334,0
20652,0
62192,0
58406,0
105788,0
62352,0
13868,0
103482,0
58343,0
20411,1
106733,1
15699,0
71659,0
74719,1
106763,0
4108,0
111538,0
34368,1
6685,0
44920,0
25321,0
121310,1
20759,0
84927,0
65530,0
49471,0
10377,0
9799,0
58258,1
67685,1
116719,1
43431,0
117145,0
30015,0
91913,0
14910,1
31198,0
29233,0
128540,1
101632,0
112757,0
90029,1
59308,1
39878,0
133796,1
80638,1
67671,0
96199,0
114899,0
112080,0
41233,0
125128,0
41015,0
117143,0
78457,0
18755,1
85059,0
73762,1
105112,0
23800,0
57919,0
77076,0
130081,1
97638,0
8088,1
17009,0
16890,0
41245,0
86952,0
96101,0
39674,0
26368,1
67387,0
25377,1
9301,1
4578,0
92278,0
536,0
122018,0
126038,1
22103,0
2388,0
64425,0
96778,1
46462,0
3342,0
82236,0
13958,0
27816,0
84848,0
130151,0
128074,0
87415,0
62123,1
71412,1
36608,0
64160,0
127669,1
31353,1
64700,0
87855,0
55518,0
6365,0
103055,1
89161,0
65255,0
30059,0
17542,1
28792,0
31364,0
82406,1
51773,1
109355,0
41803,1
9234,1
84427,0
19926,0
120459,0
71498,0
86990,0
67974,0
57925,0
122616,0
135902,0
98611,1
97566,0
85251,0
109858,0
101252,0
25338,0
39515,0
109646,0
20952,0
133463,0
22652,1
123443,0
66161,0
68030,1
74001,1
95991,0
22773,0
120852,1
117411,0
37745,1
43031,1
80579,0
14087,0
58439,1
119555,0
103563,0
128215,1
122641,1
16295,0
8393,0
83982,0
978,0
49540,0
93814,0
66298,1
70957,0
37342,0
83244,0
72576,0
126288,0
129266,0
2331,0
86084,1
77851,0
55580,0
15830,0
84497,0
20240,1
3700,0
62344,0
11482,0
89120,0
116315,0
39188,0
93540,0
120866,0
52298,0
81865,0
128746,1
20974,0
135106,0
35610,0
11714,0
105141,0
63733,0
80130,0
19962,0
95511,1
78988,0
78139,0
11753,0
107936,0
102084,0
135770,1
74698,0
86929,1
118159,1
13596,0
89648,0
36879,1
100697,0
129875,0
95800,1
74799,0
111914,0
3858,0
95455,1
99221,0
79110,1
25631,0
82781,0
29494,0
2649,0
74428,0
129805,1
7720,0
78276,0
39252,1
373,0
6264,0
110103,0
124682,0
114314,0
38014,0
27795,0
130994,1
7110,0
111035,0
132406,0
110096,1
90200,0
42802,1
90328,0
39490,0
26766,0
44958,0
73178,0
27526,0
83676,0
135480,1
89444,0
128116,0
109421,1
67016,0
24367,0
7952,0
102233,0
70049,1
60407,0
31880,1
44897,0
112358,0
92527,0
102846,0
52312,0
47737,0
115397,0
70383,1
111941,0
107137,0
90134,1
35289,0
3277,0
71193,0
20004,0
52752,0
47714,0
59634,1
55622,0
22874,0
121671,0
113315,0
96292,0
66703,0
76787,0
108151,0
92579,0
29459,0
62555,0
124589,0
125875,0
134929,0
70420,0
13257,0
113331,0
112324,1
111909,0
76210,0
11689,0
51343,0
36793,0
122542,0
73621,0
108195,0
41085,0
89137,0
28480,0
114244,0
21095,0
98912,0
37222,0
94480,1
130519,0
125027,0
83840,0
9050,0
27298,1
127512,0
55170,1
31270,0
45462,0
37977,0
112775,0
90820,0
112116,1
53442,0
24764,0
113530,0
3990,1
125566,1
36804,1
21706,0
67953,1
36089,0
128002,0
118713,0
113146,0
11281,0
52496,1
57729,1
120948,0
49087,0
135761,1
47500,0
13002,1
60984,0
132353,0
120103,0
83592,0
17434,0
35339,0
111642,0
11652,0
94130,0
109608,0
12757,1
85536,1
132530,0
125104,0
43710,0
89817,0
131397,0
66305,0
39792,0
131016,0
9344,0
50367,1
7640,0
57446,0
2908,0
56775,0
130325,1
70056,1
135942,1
39455,0
42867,0
54156,0
132724,0
36259,1
104344,1
82950,0
57758,0
6271,0
58319,0
131887,1
102775,0
95795,0
71930,0
70213,0
7831,1
110003,0
91132,1
29760,0
104473,1
63666,0
56113,0
73258,0
25776,0
85338,0
9792,0
50642,0
114283,1
81421,0
123092,1
75799,0
8181,0
63786,0
114916,1
35994,0
5679,0
20076,1
97861,0
31694,0
147,0
67109,1
82411,0
88329,0
59335,0
47894,0
108614,0
42068,0
76487,0
71824,0
127209,0
93354,0
82366,0
116595,1
89331,1
69335,0
1588,0
80486,0
130511,0
43165,0
129971,0
4778,0
30393,1
92880,0
11072,0
88625,0
10990,0
115889,0
22138,0
39394,1
19125,0
45372,0
23388,1
117739,1
16123,0
38721,0
42703,0
33201,1
62967,0
78205,1
124141,0
122161,0
106177,0
124992,1
82136,0
23827,0
101591,0
123042,0
24056,1
120405,0
44081,1
46450,0
23734,1
110922,0
6877,0
79025,0
62728,1
112352,0
48240,0
39246,1
87539,0
126007,0
24947,1
50152,0
29958,1
40801,0
68507,1
39240,0
59202,0
4916,1
53582,0
115098,0
65465,1
129462,0
91999,0
12223,1
92418,1
121276,0
45473,0
43349,0
116522,0
77440,1
54658,0
65454,0
102021,0
11107,0
127243,0
108822,0
55174,0
53731,0
6881,0
88629,0
35826,1
122039,0
68307,0
88558,0
41199,1
5208,0
29842,0
3931,0
70315,1
83933,0
29325,0
68534,1
131073,0
39525,0
91330,0
13309,0
82810,0
90857,1
134734,1
51729,0
39723,0
116958,0
126524,0
1751,1
131036,0
103472,0
27183,0
56214,0
93191,0
74545,0
31082,1
108625,1
1253,0
24876,1
55286,0
125221,0
16644,0
71426,0
18377,0
2225,0
91468,0
8856,1
90877,0
124496,0
111928,0
64112,0
45065,1
66999,0
115916,0
16271,0
112102,0
71705,0
20444,0
31806,0
50776,0
131252,1
112818,0
106377,1
73004,0
117113,1
38434,0
80339,1
63110,0
71598,0
33886,0
99917,0
19829,0
115742,0
4267,0
90024,0
7323,0
43666,0
76539,0
108561,0
129379,0
74320,0
80323,0
123249,1
12806,0
127391,0
31479,0
103960,1
124952,0
66240,0
86201,0
94865,0
13931,0
41671,0
116468,0
15741,1
124286,0
63555,0
131710,1
42391,0
7860,0
102896,0
96387,0
86499,1
127090,0
119283,0
133007,0
54531,0
131723,1
112110,0
126048,0
26703,0
36361,1
49077,0
96560,0
53042,0
54817,0
34690,0
40763,0
110530,0
98333,1
134697,1
123328,1
22107,0
38582,0
94259,1
44850,0
65429,0
3368,0
106577,1
41443,0
40634,0
96442,0
38447,1
79784,0
47473,0
63336,0
96304,0
121011,0
126585,1
114939,0
51301,0
59934,1
67319,0
71638,0
27720,1
29025,0
103590,1
71344,0
85976,0
134203,0
70196,1
17720,0
59583,0
60024,0
125935,0
93622,0
83958,1
56082,0
46494,0
94894,0
21929,0
110569,0
113680,0
37003,1
132818,0
3259,1
97278,1
48124,0
69622,0
130774,0
132700,0
49486,0
23346,0
104898,1
96911,0
30233,0
18592,1
2226,0
1024,0
97259,0
57780,0
96361,0
100945,1
16290,0
75027,0
36574,0
101734,0
58544,1
124471,1
55940,0
109205,0
12508,0
564,0
107103,1
79277,0
82242,1
69236,0
93459,0
82287,1
19940,0
280,0
69478,0
94201,0
47129,0
57366,1
102008,0
59644,1
68523,0
111639,0
28608,0
2913,0
15323,1
32012,0
61577,0
64941,0
41571,0
5187,0
2901,1
109048,0
63640,0
62705,0
131588,0
63198,1
94652,0
22262,1
73942,0
121533,0
30574,0
125949,1
859,0
127750,0
6705,1
14711,0
69275,0
10917,0
80072,1
61977,0
104550,1
43990,0
135434,1
8797,1
70395,0
57261,0
21721,0
134873,1
100401,0
1536,0
113899,0
80996,1
56142,0
23454,0
34201,1
67022,0
51778,0
106306,0
70128,0
6446,0
49958,0
20934,0
68035,0
38324,0
39234,1
54898,0
37644,0
58363,0
108690,0
91827,0
116465,1
87417,0
114142,0
74473,0
5621,0
129632,0
29706,0
84512,0
121855,0
111459,0
117578,1
25238,0
88516,1
121707,0
112601,0
60795,0
97424,1
79361,0
83930,1
4067,0
55688,0
127419,0
92657,1
119732,1
108852,1
95008,1
121619,0
54308,1
74431,0
91,0
31515,0
92052,0
103932,0
47957,0
71554,1
117515,0
25737,0
88501,0
28928,0
49668,0
51540,0
58603,0
13424,0
68073,0
79163,0
107688,0
42228,1
86521,0
83292,1
17266,0
81222,0
80311,1
116868,0
45030,1
59001,0
114494,1
13036,0
89894,1
32329,0
57053,0
4488,0
106751,1
131473,0
133111,0
40240,0
94408,1
93661,1
87070,0
79451,0
87230,0
59455,0
69873,0
24626,0
79511,0
114350,0
91585,0
8412,0
24851,0
31292,1
129661,0
20308,0
56597,0
99269,0
9222,0
109391,0
20458,0
9478,0
128861,0
90434,0
89867,0
59174,0
41953,1
12902,0
129543,0
111847,0
55750,0
106679,0
105656,0
13446,0
116169,1
133823,0
38764,0
57762,0
49448,0
67110,0
50857,1
75571,0
33129,1
134710,0
119942,1
88385,0
26629,0
72050,0
128756,0
112443,0
78339,0
26746,0
35078,0
70493,0
8011,0
99967,0
72376,0
42298,0
103046,0
32951,0
124821,0
26562,0
125105,0
79419,1
42726,0
54317,0
93888,0
106632,0
34406,1
12385,1
123386,1
125835,0
119005,0
73182,1
14168,0
56617,0
105245,1
126273,0
51587,0
109091,0
31718,1
128757,0
51789,0
50001,0
955,0
102914,0
1483,0
64097,0
72346,0
81684,1
130793,0
32557,0
15551,0
79032,1
126933,0
63752,0
93142,0
1005,1
68854,0
125506,0
84443,0
65445,0
74350,0
94790,0
76172,1
9807,1
75221,0
123859,0
88,1
132484,0
59861,0
69577,0
20123,0
22700,0
131188,1
8928,1
83751,1
20016,0
31887,0
129267,0
109880,0
111469,1
78087,1
64972,0
62033,0
18759,0
37162,1
117101,0
84907,0
54586,1
133670,1
54116,0
103972,1
60036,0
20896,0
116846,0
68903,1
133382,0
61927,1
17579,0
123421,0
34521,0
42910,0
44994,0
106736,1
25588,1
5923,0
96561,1
60020,0
19704,0
106408,0
39154,1
76499,1
126528,1
33118,0
73284,1
112958,0
92670,1
45142,1
92323,0
63136,1
56694,0
44229,0
118045,0
116769,1
120903,0
87528,0
21968,0
99355,0
36141,0
57171,1
96266,0
8249,0
76379,0
16357,0
44931,0
105785,0
102383,0
70753,0
120160,0
43804,0
93126,0
98965,0
369,0
49537,0
92859,0
113507,0
121715,0
36635,0
62494,0
9608,1
25140,0
91606,0
16231,1
99261,0
127670,0
98604,0
61784,0
84319,0
30612,0
19136,0
9819,0
71239,0
52472,0
129787,0
134514,0
68686,1
116683,0
15241,1
67709,0
96597,0
99886,0
28799,0
133262,0
117402,0
39849,0
35452,1
73928,0
60966,0
46445,1
106241,0
102497,0
54035,0
90804,0
131361,0
85686,0
116698,0
49187,1
126088,1
60456,0
42161,0
89644,1
124626,0
110925,0
129441,0
132573,0
101185,1
120918,0
45071,0
82967,0
110085,0
67093,0
63361,0
50274,0
19706,0
113516,0
21890,0
9858,0
99388,0
71582,0
13399,0
36387,0
74793,0
83371,0
63774,0
4098,0
18012,0
114754,0
69039,1
57876,0
128905,1
60253,1
27601,0
92733,1
76635,0
94596,0
46317,1
79053,0
73112,0
77940,0
65300,0
54719,0
2145,0
107108,0
64872,0
91152,0
47217,0
65576,0
20811,0
135518,0
66763,1
53457,1
71597,0
124256,1
82252,1
71369,0
7926,0
11276,0
120028,0
52765,1
27704,1
63363,0
27231,0
113718,0
51740,0
129395,0
78767,0
23468,1
50170,0
21051,1
71080,0
66596,0
116083,0
24015,0
133260,0
70761,0
109067,0
120634,0
128659,0
75884,0
44137,0
78602,0
43879,0
82332,1
1858,0
88194,0
51217,0
25681,0
52013,0
130098,0
80155,1
94861,0
36099,0
67633,0
3175,0
49621,0
3929,0
121685,0
131345,1
62879,0
70950,0
29147,0
61676,1
116283,0
9721,0
46960,1
113584,1
111547,1
23676,0
42931,0
6532,0
126780,0
52327,0
21598,1
112146,0
22317,0
26294,0
6280,0
79661,0
14972,0
126190,0
6128,1
110447,0
46102,1
33398,0
89823,0
95296,0
124671,0
109235,0
32302,0
40858,0
49384,1
103524,0
99995,1
88712,0
59575,0
116711,0
91275,1
133255,0
59240,1
105010,1
108581,0
62056,1
16358,0
39740,0
92547,0
8679,0
106944,0
14940,0
125171,0
67424,0
92828,0
35893,0
37878,0
100410,0
71207,0
96705,0
109914,0
114822,0
118826,1
124786,0
88124,1
34444,1
49363,0
82918,0
118836,0
18475,0
129089,0
78983,0
106214,1
41809,1
132254,0
50444,0
64444,1
131807,0
117022,1
135488,1
23755,0
94269,0
75305,0
6244,0
23076,0
48041,0
62741,0
129740,0
125371,0
107248,0
128033,1
19848,0
121100,0
81366,0
90718,0
60699,0
39487,1
36265,0
62492,1
19922,0
35369,0
6632,0
96973,0
43685,0
34990,0
39569,0
87243,0
66434,0
26177,0
38442,0
93201,0
79500,0
130422,0
97620,1
8860,0
88776,0
69789,0
135940,1
36922,0
101370,0
86537,0
65159,1
114386,1
99705,0
69173,0
29822,0
55874,1
45034,0
87334,0
57629,0
88280,0
88201,0
131962,0
37166,0
112947,1
83633,1
60426,0
131153,0
14820,0
122425,0
27914,1
59996,0
135885,0
92430,0
56320,0
132715,0
107520,1
103818,0
40759,0
20812,0
120565,0
19415,0
125823,1
957,0
14730,1
72339,0
80953,0
54128,0
36242,1
129298,1
34392,1
102803,1
106932,0
101286,0
51365,1
14132,0
13559,0
52570,0
125923,0
45884,0
8383,1
131466,0
54906,0
126461,0
28583,0
132887,0
99850,0
44365,0
59226,0
44074,0
8111,1
16255,0
22924,0
62859,1
107166,0
134434,0
95829,1
39755,0
