,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_FiberOptic,InternetService_None,Contract_Month-to-month,Contract_Oneyear,Contract_TwoYear
28,3,20,10482.52,1,13.43558029,13,2,0,1,0,0,1,0,0,0,1,0,1,1,0,200.132293,1259.415493,0,0,1,1,0,0,1,0,0,0,1,0
29,4,69,33442.79,1,10.61771118,18,1,0,0,0,1,1,1,1,1,1,0,1,1,1,257.651257,1745.125956,0,1,0,0,1,0,1,0,0,0,0,1
31,0,40,21793.88,0,4.450171647,13,2,0,0,0,1,1,1,0,1,0,1,0,0,0,147.489301,492.4771472,1,0,0,1,0,0,0,0,1,0,0,1
32,6,82,51960.51,1,8.774646693,9,0,0,0,1,1,1,0,0,1,0,0,1,1,1,230.105118,1013.993166,1,0,0,1,0,0,0,1,0,1,0,0
33,5,74,25942.1,1,11.13156721,8,1,1,0,0,0,1,1,1,1,0,0,1,0,0,174.958118,2680.762173,1,0,0,0,1,0,1,0,0,1,0,0
34,4,69,11211.59,1,5.540788887,15,1,0,0,1,0,1,1,1,0,1,1,1,1,0,267.664655,1081.814362,0,0,1,0,1,0,0,1,0,0,1,0
35,1,52,8283.29,1,13.80362698,11,0,1,0,1,0,1,1,1,1,0,1,0,0,1,162.483267,1209.961168,0,1,0,0,1,0,1,0,0,1,0,0
36,2,26,10114.81,1,16.31017089,16,1,1,0,1,0,1,1,1,1,1,1,0,1,1,229.993134,897.5919144,0,1,0,1,0,0,0,1,0,1,0,0
37,1,25,36229.21,0,9.447065309,9,2,0,0,1,1,1,1,1,0,1,0,0,0,1,140.00128,1340.930156,0,0,1,1,0,0,1,0,0,0,1,0
38,1,66,25397.44,0,16.84100845,12,1,0,0,1,0,1,0,1,1,0,1,0,1,0,184.964681,1113.993679,0,1,0,1,0,0,0,1,0,0,0,1
39,1,72,50336.5,0,7.972937227,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,147.473844,1530.10769,0,1,0,0,1,0,0,1,0,0,0,1
40,3,21,38211.37,0,11.42906608,12,1,0,0,0,0,1,0,0,1,1,0,1,0,1,172.457857,1310.137419,0,0,1,1,0,0,0,1,0,1,0,0
41,3,55,52887.26,0,8.06137096,16,2,0,0,1,0,1,0,1,0,0,1,0,0,1,107.481989,892.8964931,0,1,0,0,1,0,1,0,0,1,0,0
42,4,41,12003.33,1,12.54780492,11,1,2,0,1,0,1,1,1,0,0,1,1,1,0,255.141716,1125.581944,0,1,0,0,1,0,0,1,0,0,0,1
43,4,32,24090.62,0,8.255565152,13,0,0,0,1,1,1,1,0,0,0,1,0,1,1,192.456745,2016.710031,0,1,0,0,1,0,0,1,0,0,0,1
44,0,22,15137.93,1,13.156514,6,0,0,0,1,0,1,1,1,0,0,0,1,1,1,242.632554,1412.736809,1,0,0,1,0,0,0,1,0,0,0,1
45,2,44,54458.38,1,10.58349704,5,1,0,0,1,1,1,1,1,1,1,0,1,1,1,245.174977,1710.689671,0,0,1,1,0,0,0,0,1,1,0,0
47,3,43,37358.13,1,9.750038902,11,1,0,1,0,0,1,1,1,1,1,1,0,0,1,195.006206,1213.940165,0,1,0,1,0,0,0,1,0,1,0,0
48,1,86,26534.16,0,7.868660851,11,2,2,0,1,0,1,0,0,0,0,0,1,0,0,104.962874,740.010722,1,0,0,1,0,0,0,0,1,0,0,1
49,2,84,76430.83,0,12.43563329,14,0,1,0,0,1,1,0,0,0,0,1,0,0,1,92.488023,897.9716153,0,1,0,1,0,0,0,0,1,1,0,0
50,2,62,4662.37,1,8.957166926,13,3,0,0,1,0,1,1,0,0,1,1,0,1,0,184.979684,1026.387172,0,0,1,1,0,0,1,0,0,1,0,0
51,5,68,43820.85,1,8.015021713,12,1,0,0,1,0,1,0,0,0,1,0,1,1,1,187.656013,1234.244324,0,0,1,1,0,0,0,0,1,1,0,0
52,1,59,38391.55,0,4.210347704,8,0,0,0,0,0,1,0,0,0,1,0,1,0,1,149.962093,727.3731845,0,1,0,1,0,0,0,1,0,1,0,0
53,0,31,44137.6,1,11.13960534,6,0,0,1,0,0,1,1,0,0,0,0,1,0,1,169.944668,452.8721504,0,0,1,1,0,0,0,1,0,0,1,0
54,0,51,14364.65,1,9.03738856,11,2,0,0,1,0,1,1,1,0,1,0,0,0,1,160.00128,1296.674543,0,0,1,0,1,0,0,1,0,1,0,0
55,1,58,62359.91,0,10.91594785,11,1,1,0,0,0,1,0,0,0,1,0,1,0,0,129.962093,1840.628269,0,1,0,1,0,0,1,0,0,0,1,0
56,1,73,82634.86,1,8.387624096,11,0,1,0,0,0,1,0,0,1,0,0,0,0,1,114.950905,1324.330108,0,1,0,0,1,0,1,0,0,1,0,0
57,1,33,15690.25,0,11.4487514,11,0,1,0,0,0,1,0,1,0,1,1,0,1,1,142.515576,958.1397059,1,0,0,1,0,0,0,0,1,0,0,1
58,1,58,14568.7,1,10.22013704,15,2,0,0,1,0,1,1,0,0,0,1,1,1,1,220.14775,1868.864027,0,1,0,0,1,0,0,0,1,0,0,1
59,0,49,29207.46,0,8.425458142,9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,124.97808,676.712908,1,0,0,1,0,0,0,1,0,0,0,1
60,1,26,55319.23,0,8.386280619,12,1,0,0,0,1,1,0,1,1,0,1,0,1,1,164.964681,1086.990308,0,1,0,1,0,0,1,0,0,0,1,0
61,1,25,81831.49,0,9.565924291,10,3,0,0,1,0,1,1,0,0,1,1,1,0,0,194.976769,704.7540406,0,0,1,0,1,0,0,1,0,1,0,0
62,0,42,100076.65,1,10.79349982,14,3,0,0,1,0,1,0,1,1,0,0,0,1,1,152.455519,1416.444695,1,0,0,1,0,0,1,0,0,1,0,0
63,1,81,69965.65,0,6.081975067,15,0,0,0,0,1,1,0,0,0,1,0,0,0,0,92.5018,1095.950634,1,0,0,0,1,0,0,0,1,1,0,0
64,1,43,34883.69,0,13.55065547,13,0,0,1,0,1,1,0,0,0,1,0,0,1,1,127.488728,1083.610268,0,1,0,1,0,0,0,0,1,1,0,0
65,2,63,45634.2,0,9.470419821,14,1,0,0,1,0,1,1,0,1,1,0,1,0,0,184.963371,1570.641337,0,0,1,0,1,0,1,0,0,0,0,1
66,3,70,10964.73,1,6.194985909,11,0,1,0,1,0,1,1,0,0,1,1,1,1,1,265.146969,1007.425553,0,1,0,1,0,0,0,1,0,1,0,0
67,1,78,22365.28,1,10.80393657,19,1,0,0,0,0,1,0,0,0,0,0,1,1,0,207.609354,1323.028419,0,0,1,0,1,0,0,1,0,1,0,0
68,0,48,52636.6,0,7.903964267,17,0,1,0,1,1,1,1,1,0,0,0,1,0,0,152.462354,1808.730555,0,0,1,0,1,0,1,0,0,1,0,0
69,1,63,19048.13,1,11.27443693,18,2,1,1,1,0,1,0,0,0,1,0,1,1,1,200.132293,1120.241472,0,1,0,1,0,0,1,0,0,1,0,0
70,4,60,42784.82,1,6.129509309,12,0,0,0,1,1,1,0,1,1,0,1,1,1,0,212.655686,2676.789803,0,0,1,1,0,0,0,0,1,0,1,0
71,0,87,77996.88,1,7.969277912,17,0,0,1,1,0,1,1,0,1,0,1,1,1,1,255.119794,1268.086909,1,0,0,0,1,0,1,0,0,0,1,0
72,3,54,47507.3,0,4.368120492,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,134.950905,822.6771666,0,1,0,1,0,0,0,1,0,0,0,1
73,3,35,7724.73,1,6.258356398,9,0,1,0,1,0,1,0,0,1,1,1,1,1,1,255.137219,1577.915603,0,0,1,0,1,0,0,1,0,1,0,0
74,1,70,1509.52,1,12.92303286,16,0,0,0,0,0,1,1,0,1,1,0,0,1,0,214.966286,648.7471776,0,0,1,0,1,0,0,1,0,1,0,0
75,2,67,81124.71,1,12.43301273,13,0,0,0,1,1,1,1,1,1,1,1,1,1,1,270.160419,1648.102673,1,0,0,1,0,0,1,0,0,0,1,0
76,4,46,11795.57,1,7.607663559,11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,200.165175,768.0874545,1,0,0,1,0,0,0,0,1,0,0,1
77,1,50,74794.84,0,7.442789019,10,2,1,0,0,0,1,0,0,1,0,0,0,1,0,149.937833,2426.030626,0,0,1,0,1,0,1,0,0,0,0,1
78,1,24,19038.78,1,13.04429298,18,1,0,0,0,1,1,1,0,0,0,0,1,1,1,240.114868,2660.503932,1,0,0,1,0,0,0,1,0,1,0,0
79,0,20,79167.77,0,14.89762162,17,0,0,0,0,1,1,0,1,0,1,0,0,0,1,127.495766,1129.549713,1,0,0,0,1,0,0,1,0,1,0,0
80,1,29,37428.26,1,13.79387475,13,2,1,0,1,0,1,0,0,0,0,0,1,1,0,187.609354,1771.286466,0,0,1,1,0,0,1,0,0,0,1,0
81,0,31,45148.38,0,15.66367593,6,1,0,1,1,0,1,1,0,0,1,1,0,0,0,169.992756,943.3391244,1,0,0,0,1,0,0,1,0,1,0,0
82,5,72,74855.47,0,8.513410306,13,3,0,0,1,0,1,1,0,0,0,1,0,1,0,192.456745,1907.226083,0,0,1,1,0,0,0,1,0,0,0,1
83,4,71,45323.86,0,8.265002035,10,1,0,0,0,1,1,0,1,0,1,1,0,0,1,120.004928,1885.939118,0,0,1,0,1,0,1,0,0,1,0,0
84,2,32,71596.14,0,8.6026551,11,0,0,0,1,0,1,1,1,1,1,1,0,0,0,195.006206,631.7435653,0,1,0,1,0,0,0,1,0,0,1,0
85,0,33,10389.95,0,6.03993035,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,139.95684,562.6095219,1,0,0,0,1,0,0,1,0,0,1,0
86,3,67,19657.14,0,14.6040829,12,3,0,1,0,0,1,0,0,1,0,1,0,0,1,114.983787,593.8572264,0,1,0,0,1,0,0,0,1,1,0,0
87,0,66,27827.03,1,7.274007029,13,1,1,0,1,0,1,1,0,0,0,0,1,1,0,207.638588,777.3060718,0,1,0,1,0,0,0,0,1,1,0,0
88,4,21,15609.05,1,8.913898759,12,4,0,0,1,0,1,0,0,0,0,0,1,1,1,187.609354,1393.202392,1,0,0,1,0,0,1,0,0,1,0,0
89,0,61,19815.63,0,11.59313893,13,0,2,0,1,1,1,0,0,1,0,0,0,0,1,134.950905,393.6524652,0,0,1,1,0,0,0,1,0,0,1,0
90,0,75,58482.9,1,8.294186076,13,0,0,0,0,0,1,1,0,0,1,0,0,1,1,192.470522,409.7486664,1,0,0,1,0,0,0,1,0,1,0,0
91,0,63,41656.53,1,15.19664016,9,1,0,0,1,1,0,0,0,1,1,0,1,1,1,222.628057,2138.107161,0,0,1,1,0,0,1,0,0,1,0,0
93,2,32,15841.19,1,6.942719201,7,1,1,0,1,0,1,1,0,1,1,0,0,0,0,159.979358,2481.385603,0,1,0,0,1,0,1,0,0,0,0,1
94,0,76,81127.41,0,9.834012571,7,1,0,0,0,1,1,1,0,0,1,1,0,1,1,184.979684,2233.567181,0,1,0,0,1,0,1,0,0,0,0,1
95,0,29,24270.88,1,11.0596826,13,0,0,0,0,0,1,0,1,1,1,0,1,1,1,245.145743,1158.91369,0,1,0,1,0,0,0,1,0,1,0,0
96,0,83,54466.33,0,8.834079073,17,0,1,0,0,0,1,0,0,0,1,0,0,0,0,124.97808,529.40733,1,0,0,1,0,0,0,1,0,1,0,0
98,5,80,103311.26,0,9.394961367,15,1,0,0,0,0,1,0,1,1,1,1,0,0,1,162.500692,2056.386979,1,0,0,0,1,0,0,1,0,1,0,0
99,0,20,40211.04,0,14.4754365,11,1,1,0,0,0,1,1,0,0,1,0,1,0,1,182.467607,1067.373076,0,1,0,0,1,0,0,1,0,0,1,0
100,0,69,58077.38,1,10.68311773,12,1,1,0,0,0,0,0,0,1,1,1,1,1,1,222.660939,1806.135733,0,0,1,0,1,0,0,0,1,1,0,0
101,1,32,43466.35,0,13.79409442,10,1,0,0,0,0,1,1,0,0,1,0,1,0,1,182.467607,1397.701335,0,0,1,0,1,0,0,1,0,0,1,0
102,0,53,23289.77,1,12.40165307,19,1,0,0,0,1,1,1,0,0,1,0,1,1,1,220.161527,808.4305471,0,0,1,1,0,0,0,0,1,1,0,0
103,2,25,49158.49,0,10.24782033,9,1,0,0,0,0,1,0,0,1,0,0,0,1,1,169.937833,1886.531937,1,0,0,0,1,0,0,1,0,0,0,1
104,0,69,3805.84,1,14.86100819,16,0,2,0,1,0,0,1,0,1,1,0,1,0,1,204.963371,2294.781131,0,1,0,0,1,0,0,1,0,1,0,0
105,3,71,52616.27,1,6.716953195,10,2,1,0,0,0,1,1,0,1,1,0,1,0,0,204.963371,826.3438621,0,0,1,0,1,0,0,1,0,1,0,0
106,3,53,30550.42,1,8.124258176,18,1,0,0,0,0,1,1,1,1,0,0,1,1,0,245.128318,2072.564168,0,0,1,1,0,0,1,0,0,1,0,0
107,2,56,12154.01,1,14.60903837,11,0,2,0,0,1,1,1,0,1,0,1,1,0,1,172.473314,1436.793746,0,0,1,0,0,1,0,0,1,1,0,0
108,0,42,30649.31,1,12.65015936,9,2,2,0,1,0,0,1,0,0,0,1,0,1,0,172.456745,1963.332683,0,1,0,0,1,0,1,0,0,1,0,0
109,3,33,31417.33,1,12.0281501,14,0,0,0,0,0,1,1,0,0,1,1,1,0,1,194.976769,1324.164906,0,1,0,0,1,0,0,1,0,1,0,0
110,1,47,55861.19,0,15.68043093,16,1,0,0,0,0,1,0,0,0,0,0,1,0,1,137.439154,704.9375603,0,0,1,0,1,0,0,1,0,1,0,0
111,1,48,9044.26,1,11.30421466,18,3,1,0,1,1,1,1,0,0,1,0,0,1,1,192.470522,888.6517305,0,0,1,1,0,0,0,1,0,0,0,1
112,0,63,25381.66,1,10.26646787,10,1,0,0,1,0,1,0,0,0,0,1,0,1,0,159.951231,377.0810282,1,0,0,1,0,0,0,1,0,1,0,0
113,1,40,65064.31,0,7.56618217,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,112.455141,1606.489936,0,0,1,0,1,0,0,1,0,1,0,0
114,0,67,12527.51,1,10.40677369,14,2,0,1,0,0,1,0,1,1,0,1,1,0,1,174.961766,1431.409396,0,0,1,0,1,0,0,1,0,1,0,0
115,0,56,35499.06,0,7.146124361,13,3,0,1,0,0,1,0,1,1,0,0,1,0,0,162.452604,2253.85247,0,0,1,1,0,0,0,1,0,1,0,0
116,6,24,26282.4,0,9.807530479,10,1,0,1,1,1,1,1,0,0,1,0,0,0,1,137.483594,1353.29384,0,0,1,1,0,0,1,0,0,0,1,0
117,2,79,51237.28,0,10.61217014,12,3,0,0,0,1,1,1,0,1,1,0,1,1,1,275.133571,1701.457566,0,0,1,1,0,0,0,1,0,0,0,1
118,3,61,64222.21,1,5.785085772,16,1,1,0,1,0,1,0,0,0,0,0,0,1,0,127.442069,1290.737183,1,0,0,0,1,0,1,0,0,1,0,0
119,0,38,11014.98,1,9.062879297,11,2,0,1,0,0,1,0,0,1,0,1,1,1,0,210.138,1403.270091,0,0,1,0,1,0,0,0,1,0,0,1
120,4,28,21172.49,0,16.54443477,13,1,0,1,0,0,1,1,0,1,0,0,0,0,1,147.456419,2603.903672,1,0,0,1,0,0,1,0,0,0,0,1
121,3,44,26130.78,1,4.539566699,8,2,0,0,1,1,1,1,0,1,1,0,1,1,1,242.657291,1256.287854,0,0,1,0,1,0,0,0,1,0,1,0
122,1,65,36478.21,0,7.251198724,14,2,0,1,0,1,1,0,0,1,0,1,0,0,1,114.983787,980.9935923,0,1,0,0,1,0,0,0,1,1,0,0
123,3,35,54533.63,0,8.943293567,15,2,1,0,1,1,1,0,0,0,1,0,1,1,1,187.656013,1347.869205,0,0,1,1,0,0,0,0,1,1,0,0
124,2,31,37103.18,0,12.57884215,9,3,1,0,1,0,1,1,0,0,1,0,1,0,0,149.991327,1127.267848,0,1,0,1,0,0,0,0,1,0,0,1
125,2,34,74679.84,0,11.64836306,11,0,1,1,1,1,1,1,0,0,0,0,0,0,0,124.960655,1269.836202,0,1,0,0,1,0,1,0,0,0,0,1
126,2,68,95028.57,1,6.076260652,13,0,0,0,1,1,1,1,0,0,1,0,1,1,1,220.161527,1038.745378,0,0,1,0,1,0,0,0,1,1,0,0
127,0,62,34281.1,0,11.75681641,9,0,0,0,0,0,0,1,0,1,1,1,0,0,0,172.48852,1531.155367,0,0,1,0,1,0,1,0,0,0,0,1
128,0,52,36240.81,0,9.173739977,14,0,1,0,1,1,1,0,1,0,1,1,0,0,0,120.004928,991.2441024,0,0,1,0,1,0,1,0,0,0,0,1
129,5,32,9515.64,1,8.353693631,11,4,0,0,0,0,1,1,0,0,1,0,1,1,1,220.161527,1244.296865,0,0,1,0,1,0,0,0,1,1,0,0
132,1,70,77531.43,1,2.310584634,14,1,0,0,1,0,1,1,0,1,0,1,1,0,0,184.949594,1442.974877,1,0,0,1,0,0,1,0,0,1,0,0
133,3,41,87354.99,1,5.290318715,10,0,0,0,1,0,1,1,0,0,1,0,1,1,1,252.637807,1577.208717,0,1,0,0,1,0,0,1,0,1,0,0
134,2,59,76567.85,0,5.258274954,8,1,0,0,1,0,1,0,0,0,0,0,0,0,1,112.455141,886.9398744,0,1,0,0,1,0,0,1,0,1,0,0
135,1,46,30663.52,0,7.157580014,12,0,0,0,0,0,1,1,0,1,1,0,0,0,1,179.979358,1065.06443,1,0,0,0,1,0,0,1,0,0,0,1
137,1,89,31600.92,0,4.978546291,12,2,0,0,0,0,1,1,0,1,1,1,1,0,1,197.472533,1404.435534,0,0,1,0,1,0,1,0,0,0,1,0
138,4,75,74638.78,1,6.547676875,10,3,1,0,0,0,0,1,1,0,1,0,1,1,1,255.155493,1925.911722,0,1,0,1,0,0,0,1,0,0,1,0
139,0,26,32652.3,1,7.410590719,9,0,1,1,0,1,1,1,0,0,1,1,1,0,0,174.976769,1805.011298,0,0,1,1,0,0,1,0,0,1,0,0
140,4,25,63650.54,0,11.39765385,8,1,1,0,1,0,1,1,0,0,1,1,0,0,1,169.992756,700.7343179,0,0,1,1,0,0,0,1,0,0,0,1
141,1,84,28622.6,1,11.29945603,14,1,0,0,0,0,1,1,0,1,0,0,1,0,1,192.440432,513.237305,1,0,0,1,0,0,0,1,0,1,0,0
142,3,69,50252.79,0,11.30748265,15,0,2,0,0,1,1,0,0,1,1,0,0,1,0,182.460772,717.3876564,0,1,0,0,1,0,0,1,0,1,0,0
143,3,31,19800.81,0,10.31551212,11,2,1,0,0,1,1,0,0,0,1,0,0,1,0,139.965008,1313.492851,0,0,1,0,1,0,1,0,0,0,1,0
146,1,74,48715.53,1,11.9664542,17,1,0,0,1,1,1,0,0,1,0,1,1,1,1,210.138,724.7803356,1,0,0,0,0,1,0,0,1,0,0,1
147,1,49,23204.98,0,10.18046877,10,2,0,0,0,0,0,0,0,0,0,1,0,0,1,104.964303,1829.270014,0,1,0,0,1,0,1,0,0,0,0,1
148,1,47,35302.52,1,14.01485542,16,1,1,0,0,0,1,1,0,1,0,0,1,1,0,262.610632,1668.199119,1,0,0,0,1,0,0,1,0,1,0,0
149,4,20,54895.16,1,14.62784306,17,2,0,0,1,1,1,0,1,1,0,1,0,1,0,152.488401,1124.353152,0,0,1,1,0,0,0,0,1,1,0,0
150,2,26,60398.06,1,10.90517581,10,2,0,0,0,0,1,1,1,0,0,1,0,1,0,174.974431,1316.239744,0,1,0,1,0,0,1,0,0,0,1,0
151,2,72,8115.88,0,8.894475174,8,0,1,0,0,0,1,0,0,0,0,1,1,1,1,220.118516,1637.201426,0,0,1,1,0,0,0,1,0,0,1,0
152,1,41,33858.66,0,10.50187888,13,0,0,1,0,1,1,0,1,1,0,0,1,0,0,162.452604,951.8524406,0,0,1,0,1,0,0,1,0,1,0,0
153,3,26,29950.47,1,12.34250072,12,2,1,0,1,1,1,1,1,1,0,0,0,1,1,184.961033,1248.097652,0,1,0,1,0,0,1,0,0,1,0,0
154,4,55,49421.69,0,10.29380879,12,3,0,0,1,0,1,1,1,1,1,0,0,1,1,217.483972,2220.255405,0,0,1,0,1,0,0,1,0,0,1,0
155,1,46,11061.05,0,8.512650562,11,2,1,0,1,0,1,0,0,0,0,1,1,1,0,220.118516,1669.202417,0,0,1,1,0,0,0,1,0,0,0,1
156,0,87,15388.32,1,7.82671592,13,1,2,1,1,0,1,0,0,0,0,1,1,1,1,187.642236,990.0555076,0,1,0,1,0,0,0,0,1,0,1,0
157,1,39,20624.31,0,6.985590245,9,2,1,1,0,1,1,0,1,1,0,1,1,0,1,174.961766,967.9819136,1,0,0,0,1,0,0,1,0,0,0,1
158,0,81,47877.81,1,11.40449185,12,0,0,0,0,0,1,1,0,0,1,0,1,1,1,252.637807,2190.259876,1,0,0,0,1,0,0,1,0,0,0,1
159,0,83,46154.17,0,10.44249511,13,1,0,0,1,0,1,0,1,1,1,1,0,0,0,130.024412,1445.752781,0,1,0,0,1,0,0,0,1,0,1,0
161,3,87,10403.59,1,10.68024546,13,2,1,0,1,0,1,1,0,0,1,0,1,0,1,182.467607,1296.481055,0,0,1,1,0,0,0,1,0,1,0,0
162,3,76,22412.6,0,10.62439366,13,0,0,0,1,0,1,0,0,1,0,0,1,0,1,139.934918,1195.393037,1,0,0,1,0,0,1,0,0,0,0,1
163,6,25,19476.27,1,10.91642397,13,1,0,1,0,0,1,0,0,0,1,1,1,1,0,200.165175,1700.121992,0,1,0,1,0,0,0,0,1,0,0,1
164,3,34,96382.76,1,8.580626195,14,0,0,0,1,0,1,0,1,0,1,1,1,1,0,202.682861,2120.673828,1,0,0,0,1,0,0,0,1,0,0,1
165,1,46,28022.56,0,8.996933306,11,0,1,0,1,0,1,0,0,0,0,1,0,1,0,159.951231,1238.421347,0,1,0,1,0,0,0,1,0,0,0,1
166,1,73,35478.4,0,7.602570192,7,2,0,0,1,0,1,0,0,0,0,1,1,0,1,149.948316,847.110799,0,1,0,1,0,0,0,1,0,1,0,0
168,3,58,87537.25,0,9.591529444,14,0,1,0,1,1,1,1,0,0,0,1,0,0,0,137.469817,1623.045026,1,0,0,0,1,0,1,0,0,0,0,1
169,4,70,34112.1,1,13.36027908,12,0,0,0,1,0,1,0,0,0,1,0,1,1,1,187.656013,1479.730181,0,0,1,0,1,0,0,0,1,0,1,0
170,0,53,32653.51,1,4.372034777,7,1,0,0,1,0,1,1,1,0,1,0,1,0,0,164.985293,2144.735024,0,1,0,0,1,0,1,0,0,1,0,0
172,0,38,49277.48,0,12.81260566,10,1,0,0,0,0,1,1,1,0,0,0,1,0,1,172.462354,1974.780054,0,1,0,1,0,0,0,1,0,0,1,0
173,0,26,37297.82,1,3.767298987,11,0,0,0,0,0,1,1,0,1,0,1,1,0,0,204.949594,1261.177198,1,0,0,1,0,0,0,1,0,0,0,1
174,2,44,14928.96,0,17.56798903,14,2,0,0,1,0,1,0,0,1,1,0,0,0,0,147.473844,939.7181324,1,0,0,0,1,0,0,1,0,0,1,0
