,Churn
1866,0
3239,1
1638,0
6963,0
5366,0
9771,0
3740,1
3455,0
740,0
7851,0
2216,1
8911,0
2417,1
776,0
9964,0
7086,0
2441,1
4848,0
3889,1
9107,0
8451,0
2473,1
5582,1
1261,0
804,1
7146,1
4606,0
367,0
8307,0
7999,0
1300,1
2164,1
4891,1
7265,0
9095,0
6830,0
7318,0
7240,0
8728,0
8807,0
9524,0
5103,0
2022,0
8423,0
2729,0
6221,0
1838,1
2125,0
5718,0
4523,1
834,1
26,1
1451,0
6422,0
5743,0
3794,1
9847,0
8400,0
4692,0
5206,0
1772,1
4173,0
8401,0
6751,0
3831,1
5034,0
4715,0
2409,1
2245,1
5820,0
3245,0
2051,0
6800,1
3042,0
8625,0
544,1
2480,1
6762,0
5767,0
1916,0
9966,0
37,0
966,1
55,0
4600,0
2833,0
4062,0
5458,0
4237,1
4391,1
549,1
5749,0
5617,0
1627,0
7883,0
3333,0
5469,0
5182,0
5954,0
9897,0
3231,1
9943,0
7013,0
4791,0
266,1
162,0
3201,1
202,1
5433,0
5453,0
8761,0
6676,0
7634,1
1240,1
2595,0
9609,0
5213,0
3465,0
5188,0
9538,0
7298,0
5841,0
9257,0
2377,1
603,0
7825,0
6051,0
1742,1
1060,0
19,1
4767,1
5229,0
1153,0
6076,0
6810,0
4054,1
6205,0
8545,0
5682,0
8293,0
8411,0
7114,0
6502,0
7643,0
8393,0
2354,0
6962,0
6410,0
7830,0
8199,0
7258,0
1815,0
5190,0
183,1
9718,0
9408,0
9533,0
1927,0
9275,0
9557,0
2483,0
5929,0
5714,0
1237,1
5825,0
3352,1
787,0
9302,0
1690,1
4798,0
535,0
1166,1
2680,0
4255,1
2451,1
3474,0
3944,1
7420,0
4147,0
6449,0
2890,1
9229,0
5336,0
6428,0
8302,0
6317,0
8018,0
6116,0
2533,0
5692,0
6252,0
389,1
7937,0
8458,0
531,0
9321,0
7042,1
3811,0
3367,0
8706,0
5960,0
5790,0
6938,0
9289,0
6726,0
7243,0
7891,0
999,1
2730,0
1471,0
2599,0
498,0
840,1
8896,0
6384,0
5280,0
2697,1
749,0
9427,0
1952,0
3325,0
8544,0
2573,1
7808,0
5898,1
2201,0
4863,0
2184,1
2440,0
6699,0
6228,0
2627,1
9831,0
8431,0
2989,1
5056,0
8294,0
1601,1
2904,0
8027,0
5695,0
7409,0
8862,0
8263,0
8106,0
6020,0
1794,0
473,0
7533,0
2865,0
8971,0
7485,0
5365,0
3387,0
6066,0
6333,0
7826,0
9417,0
3169,1
8546,0
5906,0
9544,1
698,1
4857,1
1092,0
253,1
1348,0
5425,0
9877,0
1322,0
8377,1
7153,0
4169,1
6647,0
889,1
4907,1
2040,0
6990,0
5900,0
1126,0
3780,1
4312,0
3142,0
9110,0
2952,0
6786,0
4869,0
1432,1
3241,1
3165,1
8363,0
1664,0
108,1
350,1
4392,0
4656,1
683,0
2327,1
1102,0
6785,0
2449,0
1785,1
3598,1
4665,1
5875,0
5303,0
2329,1
7604,0
9998,0
368,0
8730,0
8075,0
4283,1
4036,0
9388,0
3345,1
506,0
4795,1
7274,0
2505,0
4370,1
1675,1
9,0
8416,0
106,1
7060,0
2132,1
8791,0
6918,0
2948,0
4722,0
5761,0
4512,1
3508,1
35,1
7535,0
4110,0
8590,0
3340,1
951,1
6113,0
831,1
5777,0
8778,0
591,1
8958,1
8850,0
7149,0
8741,0
8003,0
1293,0
7676,0
1180,0
7906,0
1518,0
5478,0
8821,0
1202,0
4229,1
2277,0
9529,0
1974,1
6049,0
1876,1
5874,1
6436,0
1910,1
1395,1
9821,1
7559,0
8648,0
5043,0
6648,0
657,0
8207,0
9542,0
4413,0
3932,0
8169,0
1906,1
1150,0
5076,0
315,0
5041,0
2652,1
6102,0
675,1
9838,0
649,0
5822,0
6181,0
7614,0
5667,0
6059,0
1903,0
7098,0
2442,1
7067,0
2158,1
7635,1
2332,1
8122,0
4776,1
1310,0
8925,0
2456,1
3902,0
6310,0
2709,0
1726,1
2863,1
6770,0
3804,1
2951,1
5744,0
4971,1
6888,0
7631,0
3485,0
3404,1
7932,0
5814,0
4769,0
8708,0
9732,0
9419,0
4405,1
8226,0
8101,0
3338,0
3494,0
6790,0
820,1
4204,0
9618,0
2915,1
6019,0
8479,0
6014,1
4666,1
4998,0
2646,0
9770,0
6564,0
3250,1
6761,0
9009,0
9985,0
4987,1
2834,1
728,0
4660,0
922,0
6562,1
9472,0
6529,0
913,1
1264,1
4664,0
959,0
9399,0
3491,1
3578,1
6216,0
2555,1
8221,1
2231,1
3579,0
9056,0
4248,1
9965,0
1541,0
5989,0
7489,0
9591,0
4965,1
453,0
4355,0
6847,0
6934,0
2403,1
7441,0
5881,0
1823,0
1977,0
660,1
34,1
1764,0
285,0
5084,0
268,1
934,1
9338,0
7813,0
216,0
583,0
6283,0
6772,0
5476,0
5726,0
500,0
6379,0
4336,0
6009,1
6823,0
4209,1
3187,0
5639,0
5215,0
4533,1
5318,0
8572,0
4805,1
1450,0
7521,0
7361,0
4787,1
4973,1
2382,0
4829,0
2506,0
236,1
1105,0
8014,0
3998,1
5756,0
6256,0
6227,0
7277,0
7471,0
9820,0
739,1
1629,0
9854,0
9617,0
9884,0
249,0
2770,0
4573,0
5386,0
6678,0
6329,0
2518,1
7730,0
2111,1
9989,0
7448,0
8136,0
4400,0
6416,0
8203,0
8655,0
5203,0
6572,0
3666,0
2314,1
372,0
4456,0
5222,0
5077,1
3832,0
2373,1
6539,0
6423,0
7565,0
6061,1
1352,1
103,0
3738,0
5115,0
2962,1
6355,0
9709,0
7245,0
1911,1
9207,0
5293,0
1121,0
4835,1
1941,1
6409,0
5545,0
386,0
8145,0
2390,0
4738,1
1430,1
6226,1
6831,0
7025,0
3293,0
1335,1
4680,1
5848,0
3987,1
1460,0
7849,0
7388,0
814,0
197,0
1229,1
3478,1
385,0
9128,0
9990,0
1607,0
6765,0
3862,1
4219,1
86,0
6287,0
3186,1
3279,1
911,1
1762,1
3447,0
7523,0
6060,0
7888,0
1663,0
8329,0
9539,0
7062,0
5111,0
9819,0
9795,0
2737,0
7498,0
7929,0
4750,1
1531,1
8652,0
778,0
9139,0
2710,1
3349,0
7447,0
4879,0
2028,1
7138,0
4772,1
3030,0
5917,1
5766,0
8103,0
6687,0
1254,0
4963,1
9091,0
6735,0
7099,0
8973,0
5742,0
8047,0
188,0
6457,0
43,0
7770,0
7786,0
3736,1
9088,0
4621,0
8557,0
3222,1
7169,0
5422,0
3410,0
9504,0
2630,1
6982,0
3896,0
3005,1
9991,0
584,0
2836,0
5571,0
5594,0
70,1
2911,0
3184,0
390,1
7563,0
3663,1
9681,0
6542,0
7234,0
3047,0
9120,0
8993,0
519,1
5940,0
2591,0
7549,0
5345,0
3877,0
7117,0
953,1
1835,0
355,0
6569,0
9846,0
4161,0
2552,1
2519,0
1803,1
9327,0
1788,1
3818,0
1184,1
5721,0
1385,1
6901,0
5621,0
7472,0
4070,1
7193,0
5565,0
4867,0
9200,0
78,1
8676,0
4726,0
5446,0
3448,0
9045,0
7221,0
8966,0
9162,0
6890,0
4443,0
5919,0
125,0
7486,0
5546,0
3884,1
8308,0
2503,0
1344,1
3758,1
3808,1
2069,0
7459,0
7402,0
3051,0
494,0
1918,0
3621,0
8126,0
8620,0
3805,0
194,1
142,0
9579,0
9017,0
1520,1
3385,1
0,0
2771,1
2885,0
2726,1
3079,0
6377,0
8366,0
8794,0
3409,0
3489,0
3657,0
8285,1
8245,0
5715,0
7926,0
7713,0
450,0
1847,1
9359,0
1131,0
172,0
1571,0
427,0
3937,1
3720,1
9083,0
1909,0
1954,0
5071,0
780,0
5628,0
560,1
1170,0
4097,0
4462,1
8327,0
4350,1
1987,1
3414,0
2545,1
2699,0
8638,0
5846,0
4825,0
4044,1
9006,0
6945,0
1052,1
7465,0
2718,1
7121,0
1642,0
3264,1
7458,0
4495,0
4379,0
6638,0
1967,0
4555,1
871,0
2978,0
9346,0
3185,0
6881,0
272,1
6229,0
4813,0
3849,1
8588,0
7983,0
4649,0
5581,0
9745,0
1359,1
8893,1
2882,0
1724,0
6813,0
7829,0
5862,0
3394,1
3718,0
2426,0
6575,1
4777,1
2979,0
1907,1
7682,0
7792,0
8033,0
3961,0
1544,1
9616,0
7610,0
3444,0
1147,1
668,0
9138,0
9322,0
9489,0
2118,1
2181,1
8204,1
9116,0
2793,0
6578,0
1787,0
9589,0
9109,0
552,1
7395,0
298,0
1489,0
5304,0
6991,0
8078,0
7334,0
6582,0
7543,0
4344,0
9499,0
2685,0
3372,0
7687,1
750,0
9454,0
4672,0
1095,0
9500,0
3125,1
1294,0
1490,1
5949,0
816,1
8667,0
8645,0
5555,0
2299,0
6294,0
9127,0
4022,0
6414,0
6857,0
6082,1
7267,0
6163,0
8317,0
3249,1
760,0
533,0
8881,0
6521,0
1077,0
1393,0
84,0
2991,0
3330,0
7308,0
8395,0
7349,0
2523,1
7303,0
7259,0
4587,0
5684,0
1747,1
5296,0
490,1
9747,1
8747,0
9143,0
9097,0
4964,1
3605,0
2568,1
9374,0
3648,0
7904,0
7476,0
9601,0
73,1
4552,1
53,1
1162,1
2969,0
3538,1
6955,0
9023,1
6824,0
9776,0
6988,0
5072,0
7969,0
1622,0
5968,0
6775,0
433,1
4305,1
250,0
1458,0
45,1
4730,0
7578,0
8867,0
2782,1
8824,0
1693,0
9743,0
9915,1
9580,0
4693,0
1462,0
9187,0
2269,0
6257,0
1652,1
9242,0
5490,0
66,1
4871,1
9272,0
2871,0
5880,0
444,0
366,1
9830,0
1110,0
1285,1
4381,0
9916,0
3927,0
4596,0
5108,0
4678,1
7968,0
3914,1
1593,0
8108,0
8732,0
5351,0
1478,1
6621,0
4338,1
1832,0
9889,0
4031,0
5780,0
7440,0
2238,0
7141,0
6011,0
774,0
1925,0
3739,1
4013,1
2234,1
6694,0
5227,0
9034,0
1729,1
4473,0
9880,0
1863,0
764,0
1215,0
520,0
416,0
8929,1
1926,0
8129,0
6911,0
4105,1
5934,0
4759,1
7531,0
5915,0
419,0
7556,0
2290,1
2344,0
8693,0
6441,0
7938,0
5163,0
7451,0
63,0
3141,1
1272,0
6634,0
9270,0
9092,0
4625,0
8189,0
3212,1
1316,0
7994,0
8090,0
941,1
4929,0
7603,0
9878,0
9190,0
1701,1
817,0
7637,0
5398,1
6811,0
6548,0
2362,0
4419,0
5282,0
6045,0
5381,0
7767,0
3742,1
6799,0
6314,0
8427,0
2460,1
1829,1
3757,0
1697,1
3115,1
8949,0
5999,0
4154,1
8913,0
8898,0
3956,0
4470,1
8907,0
9794,0
233,0
5833,0
3295,1
2474,1
945,1
3,0
2760,1
3116,0
8533,0
3341,0
198,0
1789,1
6749,0
6791,0
4085,0
4920,0
5496,0
5925,0
6752,0
7920,0
7173,0
4510,0
9215,0
3521,1
4359,1
75,1
596,1
7436,0
915,0
3590,0
2163,1
8481,0
4066,1
9684,0
403,1
7633,0
9375,0
6000,0
9722,0
964,0
8639,0
213,0
9748,0
8684,0
4709,0
4469,1
8437,0
4836,1
5705,0
1709,1
2757,1
7900,0
8229,0
9371,0
5543,0
4126,0
6027,0
1586,0
3543,1
7831,0
5463,0
8118,0
2080,1
2348,1
7560,0
4808,1
2825,0
2763,1
8815,0
5905,0
3725,0
9517,0
237,1
4157,1
7351,0
5362,0
7310,0
1373,0
4551,1
7584,0
5372,0
5611,0
1816,0
8421,0
7956,0
631,1
4843,1
2769,0
1959,0
1283,0
5320,0
5157,1
457,0
3382,0
9168,0
2375,0
6189,0
832,1
1533,1
7238,0
1324,1
2845,1
6860,0
8445,0
3582,1
9787,0
4572,0
3820,1
4770,0
2643,1
2875,0
858,1
7733,0
362,0
4271,1
5385,0
3453,1
2800,1
3636,1
6608,0
1223,0
9555,0
7751,0
4064,1
2700,1
1416,1
1066,0
2549,0
8262,0
9131,0
5314,0
7084,0
7090,0
1065,1
6259,0
4102,1
4504,0
8049,0
6874,0
3167,0
3635,0
7570,0
1417,0
5024,0
5675,0
6408,0
4757,1
1592,1
8528,0
9628,0
118,1
2166,1
9686,0
4057,0
2032,0
3159,0
5751,0
6459,1
8860,0
3975,1
3477,1
7762,0
5669,0
5266,0
1433,1
3900,0
812,1
4286,0
9941,0
6851,0
9407,0
7652,0
7239,0
4487,1
5938,0
3190,0
7404,0
8061,0
9236,0
4895,0
8121,0
4866,0
479,0
9731,0
9366,1
335,0
9816,0
6859,0
6670,0
4619,0
93,1
8582,0
5240,0
443,1
7162,0
1124,1
968,0
2944,1
7286,0
6419,0
7464,0
6128,0
5772,0
8191,0
4172,0
278,1
9324,0
312,0
8969,0
7628,0
6094,0
7623,0
3767,0
6335,0
9146,0
4993,0
8252,0
4123,1
809,1
2807,1
5297,0
8071,1
2002,0
5741,0
595,1
6834,0
8434,0
4493,0
7237,0
4910,1
6568,0
6926,0
2026,1
9383,0
4841,1
9839,0
6693,0
5211,0
2764,1
3351,1
878,0
6972,0
1555,1
61,0
9389,0
74,1
8223,0
3674,0
779,1
8766,0
287,0
1755,0
3251,1
5870,0
5027,0
1183,0
6821,0
1563,0
2303,1
3315,1
9150,0
9062,0
5647,0
5514,0
8665,0
8007,0
6777,0
2536,0
2612,0
7949,0
2369,1
4584,0
5042,0
6458,0
5193,0
3380,0
743,0
524,1
1469,1
9126,0
1859,0
9643,0
7256,0
1961,1
3320,0
824,1
9477,0
3756,1
9893,0
7724,0
523,0
8943,0
9192,0
7493,0
230,1
515,1
1710,0
9782,0
7734,0
9614,1
6479,0
1129,0
8127,0
6754,0
847,1
2437,1
5138,1
3697,1
704,0
5009,0
8505,1
1220,0
7839,0
1570,0
2849,1
6262,0
4373,0
7028,0
1855,0
6055,0
693,0
3425,1
7341,0
6095,0
9554,0
5627,0
8704,0
5947,0
8388,0
3173,1
6967,0
1290,1
3807,0
2391,1
7918,0
2304,1
4820,0
9283,0
8504,0
7021,0
4028,1
4153,0
9188,0
8403,0
893,0
7866,0
6024,0
3735,0
7292,0
5913,0
5279,0
196,0
9247,1
3673,0
4547,1
4471,0
1274,0
7254,0
1696,1
9105,0
1700,0
9905,0
7375,0
9280,0
9783,0
7716,0
2580,1
1639,0
4212,1
9784,0
9936,0
7776,1
2152,0
3475,1
3259,0
1280,1
9850,1
8962,1
2535,1
5549,0
9340,1
3726,0
1767,0
6794,0
325,0
3313,0
6598,0
7527,0
3749,1
9644,0
1505,0
3035,0
7870,0
5121,0
534,0
5932,0
3034,1
1269,0
7714,0
9632,0
7069,0
9706,0
7510,0
7483,0
729,1
2481,0
8857,0
705,0
193,0
9913,0
2537,1
862,1
5805,0
9836,0
7768,0
98,0
5180,0
5155,0
8036,0
2173,1
581,1
1094,1
3198,0
4474,1
8032,1
1579,1
8517,0
7031,0
5298,0
7442,0
5525,1
9311,0
3535,1
4067,1
4735,1
9920,0
6698,0
5167,0
3127,0
762,0
7011,0
1917,0
182,0
4432,0
8059,0
2754,0
7125,0
8034,0
8682,0
5696,0
7329,0
9961,0
7191,0
9201,0
9620,0
8405,0
6373,0
3261,1
107,1
2455,0
9354,0
4038,1
3307,1
8629,0
9231,0
5436,0
1620,1
4435,1
1924,1
5548,0
5487,0
8600,0
3456,0
6393,0
9230,0
2901,1
6188,0
4822,1
9432,0
2341,1
2543,1
7979,0
8068,0
4211,1
5109,0
6960,0
1326,0
2830,1
2122,0
6629,0
7023,1
2610,1
3838,1
9942,0
5035,0
8928,0
883,1
8135,0
9246,0
3907,1
6743,0
8845,0
1371,0
6260,0
6232,0
599,0
29,1
8562,0
3277,0
3623,0
1438,1
7901,0
7039,0
3388,0
1347,1
8653,0
482,0
4564,0
7779,1
6744,0
6819,0
6148,0
2862,0
7841,0
5513,0
360,0
1144,1
4518,1
7566,0
2059,1
3227,0
585,0
9735,0
6635,0
640,1
9917,1
1878,1
6303,0
5016,0
539,0
8328,0
5164,0
2496,0
7678,0
2799,1
4845,0
3272,1
2112,1
2626,1
5930,0
4444,0
6706,0
8748,0
7348,0
437,1
1455,1
3303,0
128,0
2930,1
1733,0
2187,0
4034,0
2399,0
7960,1
8134,0
628,0
7112,0
9070,0
6663,0
8617,0
1557,1
586,1
9360,0
6426,0
1588,0
4285,1
2056,0
1609,1
3151,0
8619,0
2005,0
56,1
5142,0
4932,0
516,1
7992,0
3610,1
3370,1
9520,0
3814,1
2047,0
8267,0
949,0
8675,0
9861,0
8352,0
9607,0
4303,1
468,0
205,1
5067,0
3400,0
248,0
3087,0
1146,0
4024,0
5588,0
4279,0
2101,1
8717,0
879,1
1646,0
8773,0
1242,0
9255,0
6403,0
2435,1
7501,0
8764,0
3175,1
3534,0
8890,0
9600,0
2368,0
6673,1
1804,0
3452,1
4530,0
170,1
2743,0
5508,0
4865,1
3154,0
4969,0
3898,0
7024,1
7155,0
2609,1
3591,0
4178,0
8828,0
3434,0
3104,1
7176,0
9789,0
928,1
9296,0
8193,0
4467,1
9727,0
829,1
3108,1
5849,1
3204,0
2982,1
9908,0
2274,0
602,0
3312,1
8549,0
8952,1
5459,1
4183,1
9171,0
1391,1
7085,0
5357,0
7128,0
1128,0
825,1
7536,1
8900,0
2151,0
4792,1
387,1
1673,1
9930,0
8686,0
4742,0
769,0
8642,0
2839,0
614,1
2551,0
6110,0
4088,0
9697,0
2941,0
8623,0
1154,1
4483,0
456,1
3999,0
5745,0
9480,0
3824,0
9734,1
1625,0
6013,0
3472,0
8453,0
2501,0
1752,0
1562,1
6887,0
3156,0
1899,0
3319,0
3721,0
1669,0
4766,1
9125,0
1459,0
923,1
1263,0
3179,1
8933,0
508,1
4464,0
7650,0
5799,0
9464,0
3470,1
7475,0
8130,0
415,0
7410,0
1479,1
1349,1
3536,0
4978,1
1495,0
7912,0
1995,0
4623,1
8714,0
7928,0
2086,1
6690,0
4595,0
7157,0
4571,0
6788,0
3651,1
1311,0
2910,0
988,1
8119,0
5178,0
9295,0
2874,1
2968,0
9502,1
3162,0
8915,0
6105,1
5192,0
1134,1
3873,0
8407,0
8784,0
6747,0
1935,1
6328,0
251,0
6868,0
3052,0
9397,0
3708,0
8227,0
8093,0
7249,0
2550,0
4687,0
1677,0
235,0
9054,0
2493,0
3656,0
6336,0
7434,0
981,1
3310,1
2039,0
4688,0
3883,0
356,1
1340,1
6207,0
5550,0
1243,1
6878,0
2869,0
4353,0
227,0
4228,1
875,1
9100,0
805,0
3134,1
9999,0
1292,1
3180,1
5383,0
2018,1
7189,0
6231,0
7101,0
3774,1
215,0
8575,0
7783,0
1209,1
601,1
5690,0
8288,0
4310,0
7745,0
2994,1
2547,1
5997,0
6211,0
5335,0
8181,0
7396,0
7426,0
673,1
1232,1
1032,0
2828,1
679,0
7532,0
3297,1
7154,0
4522,0
3850,0
4388,0
4452,0
8959,0
9016,0
2428,0
1277,1
4103,0
9696,0
6545,0
3093,0
525,1
1498,1
5172,0
5129,0
7882,0
3178,0
4620,0
7290,1
1137,0
9281,0
4497,1
2856,1
9220,0
8699,0
7590,0
3595,0
5028,0
3879,1
2889,1
1576,1
6198,0
2060,1
6664,0
9602,0
7073,0
577,0
8910,0
4685,1
5202,0
239,1
9186,0
4037,0
5847,1
7160,0
4824,0
8099,0
5323,0
5520,1
3377,1
6342,0
5445,0
2629,1
3360,0
6129,0
2186,0
7473,0
1720,0
9090,0
9806,0
9621,1
8796,0
6910,0
1852,0
3328,1
7668,0
991,0
7907,0
2528,0
3155,0
320,0
8553,1
62,1
8798,0
3446,0
7816,0
6021,0
4602,0
6042,0
2957,0
7749,0
319,0
2837,1
3473,0
3634,1
712,0
1516,1
6304,0
4658,1
8691,0
3993,0
8901,0
748,1
478,1
9084,0
8731,0
1648,0
890,0
2071,0
2961,0
4371,1
3314,1
2138,1
5642,0
3785,1
1782,0
1302,1
1521,0
7721,0
3722,1
684,0
8213,0
1844,0
2330,0
9223,0
4267,1
5896,0
89,0
6296,0
5651,0
2514,1
8021,0
5391,0
460,1
6662,0
3238,0
2594,1
6803,0
1512,0
317,1
7797,0
9462,0
1668,0
9026,0
6659,1
1806,0
7077,0
4509,0
7852,0
3694,1
1730,1
8295,0
6167,0
2182,0
2072,1
483,0
7159,0
5883,0
7051,0
8443,0
2511,1
5225,0
9153,0
4881,1
409,0
9869,0
2842,0
9778,0
6007,0
9082,0
3660,0
1968,1
6185,0
6839,0
4704,1
7545,0
5952,0
5429,0
7273,0
7694,0
8376,1
4675,0
8219,0
5427,0
9677,0
6846,0
9646,0
1706,0
7399,0
354,1
2240,0
1091,1
6686,0
8514,0
8299,0
3572,0
7093,0
2410,1
117,0
4534,0
6075,0
1188,0
2454,1
8698,0
9133,0
2976,0
6153,1
4182,1
1281,1
3223,1
1605,0
8364,0
7281,0
5505,0
6208,0
5416,0
4297,0
8109,0
4134,1
9576,0
3816,1
5349,0
9005,0
9308,0
1676,1
2546,0
9149,0
1606,1
2229,0
9209,0
5150,0
9879,0
8518,0
919,1
9918,0
2611,0
3833,1
7689,0
8836,0
7791,0
6269,0
8268,0
495,1
4981,0
1889,1
4245,0
5287,0
374,1
7100,0
5564,0
4613,0
8251,0
2937,0
1569,1
38,0
8180,0
6315,0
5689,0
6964,0
1560,0
6171,0
2396,0
4634,1
977,1
9403,0
3497,0
8776,0
2472,1
4977,1
3882,1
8964,0
9467,0
8020,0
476,0
1827,1
195,1
9899,0
9014,0
8218,0
3406,0
2076,0
3637,0
1970,0
4423,1
