,Zip Code,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
97,93516,34,Female,No,Month-to-Month,Yes,19,86.85,16.0
98,92078,21,Male,No,Two Year,No,71,25.35,21.0
99,92239,78,Male,No,One Year,Yes,33,109.9,20.0
100,95313,60,Female,No,Month-to-Month,No,3,19.95,21.0
101,95379,54,Male,No,Month-to-Month,No,47,87.2,13.0
102,92120,42,Male,No,Two Year,No,62,108.15,20.0
104,93725,71,Male,No,Two Year,Yes,7,89.0,11.0
106,94065,33,Male,No,Month-to-Month,No,2,20.05,21.0
108,90250,80,Male,No,One Year,Yes,30,74.75,5.0
109,93445,73,Female,Yes,One Year,Yes,58,105.5,19.0
112,92620,78,Female,Yes,Month-to-Month,Yes,6,84.35,17.0
113,95066,47,Female,No,One Year,No,69,84.45,16.0
114,95368,68,Female,No,Two Year,Yes,66,102.4,20.0
116,94027,62,Male,Yes,One Year,No,25,25.3,21.0
117,92649,52,Female,No,Two Year,Yes,46,19.25,21.0
118,92320,63,Female,No,One Year,Yes,54,114.65,26.0
119,94014,54,Female,Yes,Month-to-Month,No,15,105.1,7.0
120,95461,48,Female,No,Month-to-Month,No,12,19.4,21.0
121,94705,51,Female,No,Month-to-Month,Yes,22,50.35,22.0
123,92844,52,Male,No,Month-to-Month,Yes,30,84.3,20.0
125,93033,33,Male,No,One Year,No,30,19.8,21.0
126,92122,26,Male,Yes,Month-to-Month,Yes,4,84.8,19.0
128,92553,22,Male,No,One Year,Yes,10,19.95,21.0
130,95820,69,Male,No,Two Year,Yes,52,48.8,19.0
132,95380,30,Male,No,Two Year,No,8,20.15,21.0
133,92231,73,Female,No,One Year,Yes,2,44.3,22.0
134,95321,46,Male,No,Month-to-Month,No,3,84.3,26.0
135,95033,40,Male,No,Month-to-Month,No,19,59.55,18.0
136,93611,53,Male,No,Two Year,No,72,69.65,13.0
137,96046,76,Male,No,One Year,No,63,36.1,7.0
139,92592,23,Male,Yes,Month-to-Month,Yes,1,75.9,27.0
141,93274,43,Female,No,One Year,No,48,45.0,22.0
142,93427,45,Female,Yes,Month-to-Month,Yes,1,85.55,4.0
143,93552,49,Male,Yes,Month-to-Month,Yes,15,93.35,15.0
144,92655,62,Female,No,Month-to-Month,Yes,50,109.65,13.0
146,94619,37,Female,No,Month-to-Month,No,46,84.25,21.0
147,94960,35,Female,No,Two Year,No,72,92.65,19.0
148,91010,37,Male,No,Month-to-Month,No,1,19.7,21.0
150,92672,69,Female,No,Two Year,Yes,67,92.45,21.0
151,90004,44,Female,No,Two Year,No,48,79.65,27.0
153,94923,64,Male,No,One Year,Yes,52,81.4,24.0
155,92338,58,Female,Yes,Month-to-Month,Yes,28,81.05,13.0
157,92571,80,Female,Yes,Month-to-Month,Yes,27,75.2,25.0
159,92122,22,Male,Yes,Month-to-Month,Yes,2,85.65,27.0
160,91773,50,Female,Yes,Month-to-Month,Yes,9,72.9,11.0
162,96106,45,Female,No,Two Year,No,71,20.1,21.0
163,92122,76,Male,Yes,Month-to-Month,Yes,32,74.9,10.0
165,92078,45,Female,No,Two Year,Yes,67,105.65,22.0
166,93436,43,Male,No,Two Year,Yes,72,114.3,13.0
167,95664,41,Female,Yes,Month-to-Month,No,3,19.75,21.0
168,94133,22,Male,No,One Year,No,23,24.35,21.0
169,91345,62,Male,No,Two Year,No,72,69.85,18.0
172,94108,33,Male,No,Two Year,No,66,50.55,23.0
173,90301,30,Male,Yes,Month-to-Month,No,5,21.05,21.0
174,90015,38,Male,Yes,Month-to-Month,Yes,49,103.7,11.0
175,94060,56,Male,No,Two Year,Yes,63,19.95,21.0
176,95004,70,Female,No,Month-to-Month,Yes,12,29.3,14.0
178,93648,57,Female,No,Month-to-Month,No,35,60.55,20.0
179,92328,40,Female,No,Month-to-Month,Yes,54,86.2,12.0
180,91744,56,Male,Yes,Month-to-Month,Yes,1,95.45,2.0
181,93656,38,Male,No,Month-to-Month,Yes,5,63.95,5.0
182,94104,61,Male,No,One Year,Yes,19,65.35,6.0
183,95916,35,Male,No,Two Year,No,52,50.2,17.0
184,95439,61,Female,No,Two Year,Yes,72,63.8,22.0
185,95010,50,Male,No,Two Year,Yes,32,20.05,21.0
186,92109,47,Female,Yes,Month-to-Month,No,8,101.15,6.0
188,91207,32,Male,No,Month-to-Month,Yes,5,19.25,21.0
189,90248,54,Female,No,One Year,Yes,11,36.05,17.0
190,92028,61,Male,Yes,Month-to-Month,Yes,5,96.1,11.0
191,94134,62,Female,No,One Year,No,16,19.05,21.0
192,92126,80,Male,No,One Year,No,71,105.75,9.0
194,95369,63,Female,Yes,Month-to-Month,Yes,61,99.15,7.0
195,93522,50,Female,No,One Year,Yes,71,84.8,6.0
196,92404,56,Male,No,Month-to-Month,No,9,19.85,21.0
197,95542,63,Female,No,Month-to-Month,Yes,6,49.45,8.0
198,90807,58,Female,Yes,Month-to-Month,Yes,26,88.8,22.0
200,95762,54,Male,No,Month-to-Month,No,11,84.8,15.0
202,90265,31,Female,No,Two Year,Yes,49,20.15,21.0
204,93656,46,Female,No,Two Year,No,53,99.5,13.0
205,93035,28,Male,Yes,Month-to-Month,Yes,23,99.85,27.0
206,93591,63,Male,Yes,Month-to-Month,No,2,45.35,9.0
207,91723,37,Male,Yes,Month-to-Month,Yes,1,48.55,9.0
208,93954,44,Male,No,Two Year,Yes,3,26.4,21.0
209,93591,74,Female,Yes,Month-to-Month,Yes,68,100.2,24.0
210,95546,44,Male,Yes,Month-to-Month,Yes,8,94.7,10.0
211,90802,21,Female,No,One Year,Yes,70,97.65,26.0
213,95527,43,Female,Yes,Month-to-Month,Yes,1,70.1,25.0
214,92844,40,Female,Yes,Month-to-Month,Yes,3,97.9,7.0
215,96121,48,Male,No,One Year,No,60,102.5,4.0
216,96007,55,Female,Yes,Month-to-Month,No,5,69.95,10.0
217,92122,77,Male,Yes,Month-to-Month,Yes,3,81.35,14.0
218,92123,41,Female,No,One Year,Yes,55,66.05,13.0
219,93453,43,Male,No,Two Year,Yes,72,61.2,6.0
220,92869,69,Male,No,Two Year,No,72,74.4,9.0
221,90033,63,Female,Yes,Month-to-Month,Yes,41,106.3,22.0
222,95111,38,Male,No,Two Year,No,60,39.6,25.0
223,92109,43,Female,Yes,Month-to-Month,No,6,89.3,22.0
225,94404,46,Female,No,Month-to-Month,No,15,19.9,21.0
227,90034,60,Male,No,Two Year,No,23,19.6,21.0
228,94130,70,Female,Yes,Month-to-Month,Yes,31,98.9,21.0
229,95062,54,Male,No,Month-to-Month,Yes,11,45.9,6.0
230,92596,80,Female,No,Two Year,Yes,56,99.9,16.0
231,92021,41,Female,No,Month-to-Month,No,25,20.05,21.0
233,92860,48,Female,No,Two Year,No,40,19.65,21.0
234,95686,46,Male,Yes,Month-to-Month,Yes,36,84.9,22.0
237,92675,58,Male,No,Month-to-Month,Yes,17,102.55,2.0
238,95228,55,Male,No,Month-to-Month,No,18,78.2,19.0
240,95932,42,Male,No,Month-to-Month,No,2,19.35,21.0
241,90630,56,Female,No,One Year,Yes,28,70.4,24.0
242,95814,34,Male,No,One Year,No,9,39.55,19.0
243,93534,63,Female,No,Month-to-Month,No,1,50.15,24.0
244,92867,59,Male,No,Two Year,Yes,65,20.4,21.0
245,93926,62,Female,No,Month-to-Month,No,3,44.6,27.0
246,90045,31,Female,Yes,Month-to-Month,Yes,1,34.7,8.0
250,91377,56,Female,No,Two Year,No,72,112.1,18.0
251,94080,31,Female,Yes,Month-to-Month,No,17,88.25,9.0
253,95117,31,Male,Yes,One Year,No,58,60.3,21.0
254,94089,60,Male,No,Two Year,No,67,81.35,18.0
255,92660,72,Male,No,One Year,Yes,34,99.85,12.0
256,94133,56,Male,No,Month-to-Month,No,10,20.0,21.0
258,90041,38,Male,No,One Year,No,40,62.05,19.0
260,90210,61,Female,No,Two Year,No,46,19.4,21.0
263,93710,44,Female,No,Two Year,Yes,72,105.0,7.0
264,92025,28,Male,No,Two Year,No,70,25.15,21.0
265,90247,34,Female,No,Month-to-Month,No,2,19.3,21.0
267,95829,58,Male,No,Month-to-Month,Yes,36,95.4,12.0
268,93665,70,Male,Yes,Month-to-Month,Yes,59,93.85,15.0
269,95555,24,Male,No,Two Year,No,67,20.5,21.0
272,93962,36,Female,No,Two Year,No,72,24.45,21.0
273,90212,23,Male,No,Two Year,No,72,19.7,21.0
275,93277,75,Female,Yes,One Year,Yes,54,101.5,8.0
276,94114,59,Male,Yes,Month-to-Month,Yes,60,95.75,16.0
277,90602,35,Female,No,One Year,Yes,58,110.65,18.0
278,90822,64,Female,No,Month-to-Month,Yes,31,83.85,9.0
282,95949,44,Male,No,Month-to-Month,Yes,49,85.3,23.0
283,92117,40,Male,Yes,Month-to-Month,No,8,25.5,16.0
284,93291,72,Female,No,Two Year,Yes,39,99.75,13.0
285,95112,43,Male,No,Two Year,Yes,66,66.1,15.0
286,93722,23,Female,No,One Year,No,15,20.55,21.0
287,92117,34,Female,No,One Year,Yes,51,98.85,23.0
288,95369,74,Male,No,Two Year,No,9,49.2,12.0
289,91316,54,Female,Yes,Month-to-Month,No,1,20.9,21.0
290,90706,29,Male,No,One Year,Yes,25,19.5,21.0
291,95370,56,Male,No,Month-to-Month,Yes,22,87.0,18.0
293,94949,37,Female,Yes,One Year,Yes,28,90.1,13.0
294,92592,47,Male,No,Month-to-Month,No,3,90.7,10.0
295,90071,34,Female,No,Month-to-Month,Yes,47,100.5,14.0
297,92027,78,Female,No,Month-to-Month,Yes,18,74.7,18.0
298,96113,47,Male,No,Two Year,Yes,62,60.15,15.0
299,94954,51,Female,No,One Year,Yes,41,80.55,12.0
300,93501,64,Female,No,Month-to-Month,Yes,44,50.15,22.0
301,96014,59,Female,No,One Year,Yes,53,94.45,6.0
302,94922,44,Male,No,Two Year,Yes,48,20.05,21.0
303,95316,79,Female,No,One Year,Yes,54,115.6,12.0
305,93940,39,Male,No,Month-to-Month,Yes,24,99.65,6.0
306,94301,32,Male,No,Two Year,No,33,80.6,27.0
307,95327,58,Male,No,Two Year,No,66,85.25,21.0
308,95008,61,Female,No,Month-to-Month,Yes,3,69.55,19.0
309,95511,58,Female,No,Two Year,No,13,35.4,13.0
312,95653,26,Male,No,Two Year,No,52,25.6,21.0
313,91406,23,Male,No,Month-to-Month,Yes,3,20.75,21.0
315,96104,39,Female,No,Two Year,No,72,20.1,21.0
316,90717,62,Male,No,Month-to-Month,Yes,29,98.8,19.0
317,95451,70,Female,No,One Year,Yes,62,104.85,18.0
319,95364,47,Male,Yes,Month-to-Month,Yes,43,77.85,25.0
320,92672,63,Female,No,Two Year,Yes,26,105.45,19.0
321,95903,58,Female,No,Month-to-Month,Yes,19,96.8,23.0
322,95835,42,Female,No,Two Year,No,72,24.25,21.0
323,95947,74,Female,No,One Year,Yes,45,102.15,15.0
324,95437,43,Male,No,One Year,Yes,32,64.85,12.0
325,94954,23,Male,No,Month-to-Month,Yes,41,25.25,21.0
326,92254,52,Male,No,Two Year,No,65,24.75,21.0
327,90504,37,Male,Yes,Month-to-Month,Yes,55,96.75,27.0
328,92394,48,Male,No,Two Year,No,11,19.65,21.0
329,92064,58,Female,No,Two Year,Yes,49,74.45,13.0
331,93109,49,Male,No,Month-to-Month,Yes,25,19.15,21.0
332,95983,41,Female,Yes,Month-to-Month,Yes,1,69.5,27.0
335,95401,39,Female,Yes,Month-to-Month,Yes,1,79.7,26.0
338,95637,72,Female,Yes,Month-to-Month,No,27,88.3,11.0
339,92508,41,Female,No,Two Year,No,70,19.8,21.0
340,95742,78,Female,Yes,Month-to-Month,Yes,5,75.55,9.0
341,93666,54,Male,No,Two Year,Yes,46,20.2,21.0
342,92310,33,Female,No,Month-to-Month,Yes,2,71.65,10.0
343,91941,32,Female,No,Two Year,Yes,57,20.1,21.0
344,95923,41,Female,Yes,Month-to-Month,No,1,71.1,9.0
345,92060,74,Female,No,One Year,Yes,60,100.5,26.0
346,92091,57,Male,No,Two Year,Yes,37,62.8,9.0
347,95116,42,Male,Yes,Month-to-Month,Yes,1,70.45,8.0
348,90290,39,Male,No,One Year,No,28,100.35,13.0
349,95607,78,Female,No,Two Year,Yes,24,20.3,21.0
351,90680,39,Female,Yes,One Year,No,18,20.15,21.0
353,95219,58,Female,No,Month-to-Month,No,20,20.35,21.0
354,95018,56,Female,Yes,Month-to-Month,No,1,70.75,8.0
356,91352,78,Female,No,Two Year,Yes,52,50.5,23.0
358,90201,36,Male,No,Two Year,No,72,42.1,17.0
359,95942,70,Male,Yes,Month-to-Month,No,15,75.65,19.0
360,91935,36,Male,No,Two Year,Yes,70,114.6,17.0
361,91702,37,Male,No,Two Year,No,66,65.7,17.0
362,92028,68,Male,No,Two Year,Yes,55,74.0,27.0
363,92122,66,Female,Yes,Month-to-Month,Yes,55,85.45,27.0
364,96065,72,Male,No,One Year,Yes,57,71.1,10.0
365,95242,34,Female,No,Two Year,Yes,72,109.55,2.0
366,95585,27,Female,No,Month-to-Month,No,28,20.5,21.0
367,95975,48,Male,No,Two Year,Yes,54,74.55,25.0
369,95325,59,Female,No,Month-to-Month,Yes,2,62.15,24.0
370,95620,19,Male,No,Month-to-Month,No,12,21.05,21.0
371,96029,69,Male,No,One Year,Yes,51,79.6,11.0
372,92274,64,Male,No,Month-to-Month,No,13,73.35,21.0
374,90210,43,Female,No,One Year,Yes,18,54.4,7.0
375,94588,44,Female,No,Two Year,Yes,29,19.55,21.0
377,94502,39,Male,No,Two Year,No,71,23.9,21.0
378,95638,62,Female,No,Two Year,Yes,70,44.6,11.0
379,95446,45,Male,Yes,Month-to-Month,Yes,9,95.5,10.0
381,92117,51,Male,Yes,One Year,Yes,69,78.6,9.0
383,93606,38,Female,No,Month-to-Month,No,7,61.4,14.0
385,94112,34,Male,Yes,Month-to-Month,Yes,5,25.9,21.0
386,96007,38,Female,No,Month-to-Month,No,9,80.55,13.0
387,96020,32,Female,No,Two Year,No,46,99.65,18.0
388,95324,76,Male,No,One Year,Yes,60,97.95,21.0
389,93648,70,Male,Yes,Month-to-Month,Yes,27,95.55,7.0
393,95946,76,Female,No,Two Year,No,4,72.75,8.0
394,95148,63,Female,No,Month-to-Month,Yes,24,88.95,9.0
395,93304,43,Female,No,Two Year,No,38,20.3,21.0
397,96027,41,Male,No,Month-to-Month,Yes,40,80.0,27.0
398,95988,48,Female,Yes,Month-to-Month,Yes,8,49.85,25.0
399,95655,35,Male,No,Month-to-Month,Yes,13,19.85,21.0
400,94930,21,Male,No,Month-to-Month,Yes,64,91.8,27.0
401,95547,32,Female,Yes,Month-to-Month,Yes,62,100.15,13.0
403,93263,53,Male,Yes,Month-to-Month,No,14,46.35,12.0
406,93452,40,Female,No,Two Year,No,59,25.45,21.0
407,94552,40,Female,No,Two Year,Yes,59,75.95,22.0
408,95961,62,Male,Yes,Two Year,No,53,19.75,21.0
409,92066,33,Male,No,One Year,No,45,78.75,13.0
410,93621,55,Male,No,Two Year,No,50,19.8,21.0
411,95427,35,Male,Yes,Month-to-Month,Yes,20,89.0,5.0
412,92084,77,Female,Yes,Month-to-Month,No,1,25.25,15.0
413,95073,38,Female,No,Two Year,Yes,70,19.2,21.0
414,96019,74,Male,Yes,Month-to-Month,No,1,25.05,18.0
415,91343,61,Female,Yes,Two Year,No,64,47.85,27.0
416,95670,62,Male,Yes,Month-to-Month,No,49,75.2,24.0
417,93280,60,Male,Yes,Month-to-Month,Yes,28,74.9,5.0
418,92840,32,Male,No,Two Year,Yes,72,111.9,27.0
419,91103,47,Female,No,Month-to-Month,Yes,13,81.9,19.0
420,96069,41,Male,No,Month-to-Month,No,4,18.85,21.0
421,95228,62,Female,No,Two Year,No,53,18.7,21.0
422,92618,54,Female,No,Month-to-Month,Yes,63,81.55,24.0
424,90270,29,Male,No,One Year,No,56,19.95,21.0
426,95247,50,Male,No,One Year,No,65,93.55,16.0
427,92673,63,Female,No,Month-to-Month,Yes,1,48.45,21.0
429,95536,40,Female,No,Two Year,No,29,20.2,21.0
430,95521,55,Female,No,Two Year,Yes,72,24.15,21.0
431,92592,49,Male,Yes,One Year,Yes,22,67.5,17.0
432,94960,64,Female,Yes,Month-to-Month,Yes,23,90.05,4.0
433,95307,33,Male,No,One Year,No,40,70.75,22.0
435,95693,40,Male,Yes,Month-to-Month,No,13,84.05,21.0
438,95977,19,Male,No,Two Year,No,72,21.0,21.0
439,93614,61,Male,No,Month-to-Month,Yes,3,82.3,16.0
440,91702,73,Female,Yes,Month-to-Month,No,47,80.35,7.0
441,95348,69,Male,No,Month-to-Month,Yes,4,70.65,12.0
442,92536,71,Female,No,Two Year,Yes,18,73.55,24.0
443,93501,45,Male,Yes,Month-to-Month,No,21,104.4,3.0
444,94060,58,Female,No,One Year,Yes,62,70.75,20.0
446,92264,34,Male,No,Month-to-Month,No,29,48.95,25.0
447,91739,35,Female,No,One Year,Yes,48,60.6,13.0
449,96084,38,Female,No,One Year,No,6,19.0,21.0
450,95556,56,Male,No,One Year,Yes,22,56.25,7.0
451,95959,76,Female,Yes,Month-to-Month,Yes,1,25.8,26.0
454,95240,45,Female,No,One Year,Yes,48,69.55,15.0
456,91709,47,Male,No,One Year,No,71,97.65,5.0
457,93610,42,Female,No,Month-to-Month,Yes,1,20.25,21.0
458,92371,26,Male,No,Month-to-Month,No,1,20.45,21.0
459,95432,78,Male,No,Two Year,Yes,32,93.5,3.0
460,90065,41,Female,No,Month-to-Month,Yes,1,54.65,4.0
462,92870,61,Female,No,Two Year,Yes,72,116.4,20.0
463,94065,33,Female,No,Two Year,No,53,105.55,19.0
464,95417,73,Female,Yes,Month-to-Month,Yes,1,69.25,8.0
467,91765,40,Female,No,Month-to-Month,Yes,21,86.05,25.0
468,92368,42,Male,Yes,Month-to-Month,Yes,1,95.0,5.0
469,90620,74,Female,Yes,Month-to-Month,No,2,70.75,21.0
471,96097,61,Female,No,Month-to-Month,No,52,85.8,24.0
472,90066,42,Male,Yes,Month-to-Month,Yes,13,83.2,18.0
473,95203,20,Male,No,Month-to-Month,Yes,4,19.65,21.0
474,93606,65,Female,Yes,One Year,Yes,46,110.0,20.0
476,95626,41,Female,No,One Year,Yes,40,105.95,14.0
477,91343,64,Male,No,Month-to-Month,No,23,54.15,27.0
479,91361,45,Female,No,Month-to-Month,Yes,57,58.75,22.0
481,93105,45,Male,No,Month-to-Month,Yes,9,68.25,24.0
483,92103,64,Female,No,Two Year,No,61,20.25,21.0
484,95346,79,Female,No,Two Year,Yes,70,75.5,3.0
485,95035,56,Male,No,Month-to-Month,Yes,13,65.85,4.0
486,90069,32,Female,No,Month-to-Month,No,34,65.0,27.0
487,95207,70,Female,Yes,Month-to-Month,Yes,9,74.55,27.0
488,93637,77,Male,No,Two Year,No,57,93.75,11.0
490,94019,45,Female,No,Month-to-Month,Yes,7,100.4,25.0
492,92028,73,Female,Yes,Month-to-Month,Yes,1,74.45,11.0
493,95717,54,Male,No,One Year,Yes,44,85.25,21.0
494,95429,67,Female,No,One Year,No,45,34.2,4.0
496,93706,66,Female,Yes,One Year,Yes,55,100.0,7.0
498,92398,35,Male,Yes,Month-to-Month,Yes,9,79.9,27.0
501,90240,24,Female,No,One Year,Yes,52,20.4,21.0
502,92328,30,Female,No,Two Year,Yes,52,25.05,21.0
503,94114,43,Male,Yes,Month-to-Month,Yes,24,55.65,5.0
504,91722,44,Male,No,Month-to-Month,No,3,70.7,17.0
505,94040,61,Female,No,Two Year,Yes,72,53.8,14.0
506,92833,52,Male,No,Two Year,Yes,72,99.15,8.0
507,92028,50,Male,Yes,Month-to-Month,No,4,50.05,22.0
509,95920,50,Female,No,One Year,Yes,51,69.75,14.0
511,92254,39,Male,No,Two Year,No,72,86.65,17.0
512,90305,31,Female,No,Month-to-Month,Yes,64,86.8,12.0
514,91356,38,Male,Yes,One Year,Yes,70,109.5,26.0
515,90621,68,Female,No,Month-to-Month,No,13,45.3,9.0
516,92590,43,Male,No,One Year,No,52,91.25,12.0
517,96046,44,Male,No,Month-to-Month,No,7,20.75,21.0
518,91723,25,Male,No,Two Year,No,4,19.9,21.0
519,95614,63,Male,Yes,Month-to-Month,Yes,2,95.85,18.0
520,92061,35,Male,No,One Year,No,46,33.7,18.0
522,92324,58,Female,Yes,Month-to-Month,No,1,19.3,21.0
523,93924,44,Female,No,Two Year,No,72,65.7,23.0
524,92227,56,Male,No,Two Year,Yes,66,74.6,11.0
525,92315,49,Female,No,Month-to-Month,Yes,16,112.95,12.0
526,95240,33,Male,Yes,Month-to-Month,Yes,3,88.35,10.0
528,92059,44,Female,No,Two Year,No,71,59.7,19.0
529,92805,43,Male,Yes,Month-to-Month,Yes,9,34.7,9.0
530,94618,60,Male,No,Two Year,No,57,20.65,21.0
531,94102,65,Male,Yes,Month-to-Month,Yes,9,100.5,15.0
532,95360,26,Male,No,One Year,Yes,62,23.75,21.0
533,93962,22,Male,No,Two Year,No,72,19.9,21.0
535,92123,68,Male,Yes,Month-to-Month,Yes,16,39.0,24.0
536,93924,36,Male,No,Month-to-Month,Yes,16,20.6,21.0
537,92780,54,Male,No,One Year,Yes,58,19.55,21.0
539,91101,29,Male,No,Two Year,No,72,20.3,21.0
540,92105,36,Male,No,One Year,No,67,109.9,24.0
542,93514,80,Male,No,Two Year,No,72,25.4,21.0
543,96038,24,Female,No,Month-to-Month,No,15,46.3,27.0
544,92610,49,Female,No,Month-to-Month,No,11,25.2,19.0
545,92211,59,Female,No,One Year,Yes,43,24.45,21.0
546,95776,43,Female,Yes,Month-to-Month,Yes,3,55.1,16.0
547,93610,54,Female,No,One Year,No,24,78.4,12.0
548,94928,31,Female,No,One Year,No,52,74.0,21.0
549,94502,50,Female,No,Month-to-Month,No,13,30.15,19.0
550,92625,65,Male,Yes,Month-to-Month,No,1,70.85,13.0
551,95511,48,Male,No,Two Year,Yes,55,77.8,23.0
552,95037,54,Female,No,Two Year,Yes,42,99.0,17.0
553,93239,35,Male,No,Month-to-Month,No,2,20.75,21.0
555,90059,80,Male,Yes,Month-to-Month,Yes,27,81.45,5.0
558,90068,76,Female,No,Month-to-Month,No,27,83.85,21.0
559,92592,76,Male,Yes,Month-to-Month,Yes,52,49.15,18.0
561,95454,26,Female,No,Two Year,No,71,19.1,21.0
562,90047,33,Male,No,Two Year,Yes,36,18.55,21.0
563,92866,58,Female,No,One Year,No,15,20.1,21.0
564,93615,48,Female,No,Month-to-Month,Yes,20,89.4,21.0
565,95148,52,Male,No,Two Year,No,71,19.8,21.0
566,94501,55,Female,No,One Year,No,24,21.05,21.0
568,92128,64,Male,Yes,Month-to-Month,No,9,40.65,26.0
569,92691,31,Female,No,Two Year,No,66,89.9,3.0
570,90743,35,Female,No,Two Year,No,30,19.4,21.0
572,90036,63,Female,No,Month-to-Month,Yes,7,75.35,17.0
573,95209,38,Male,Yes,Month-to-Month,Yes,1,35.55,26.0
576,92258,44,Male,No,Two Year,No,62,20.0,21.0
577,95682,23,Male,No,Two Year,No,70,48.4,26.0
