,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
243,64,Male,Yes,Month-to-Month,No,14,152.5,162.0
244,63,Female,Yes,Month-to-Month,Yes,5,207.6,71.0
245,53,Female,No,Month-to-Month,No,23,147.5,178.0
246,41,Male,No,Two Year,Yes,6,200.1,122.0
247,63,Male,No,One year,Yes,13,137.5,115.0
248,56,Female,No,Two Year,No,12,135.0,104.0
249,27,Male,No,One year,No,2,147.4,47.0
250,47,Male,No,One year,No,2,197.5,56.0
251,42,Female,No,One year,Yes,14,162.5,137.0
252,72,Female,Yes,Month-to-Month,No,15,210.2,151.0
253,58,Male,Yes,Month-to-Month,No,4,160.0,89.0
254,33,Male,Yes,Month-to-Month,Yes,10,190.2,126.0
255,87,Female,Yes,Two Year,No,1,202.6,99.0
256,34,Female,No,Month-to-Month,Yes,12,135.0,93.0
257,76,Male,No,One year,Yes,2,142.5,90.0
259,47,Female,Yes,Two Year,Yes,7,232.6,124.0
260,84,Male,Yes,Month-to-Month,Yes,11,242.6,137.0
261,19,Male,Yes,Month-to-Month,Yes,3,202.4,75.0
262,87,Female,No,Two Year,Yes,9,125.0,57.0
263,75,Male,No,Two Year,No,10,175.0,139.0
264,37,Male,Yes,Month-to-Month,Yes,15,225.1,203.0
265,52,Female,Yes,One year,No,24,275.1,223.0
266,24,Male,Yes,Month-to-Month,No,11,287.6,148.0
267,83,Male,Yes,Month-to-Month,No,11,177.7,125.0
268,19,Female,Yes,Month-to-Month,No,7,220.1,145.0
269,78,Male,Yes,One year,Yes,2,197.5,59.0
270,61,Female,No,One year,No,2,195.0,47.0
271,38,Male,Yes,Month-to-Month,Yes,9,175.1,107.0
272,79,Male,Yes,Month-to-Month,No,2,147.5,24.0
273,49,Female,No,Two Year,Yes,12,135.0,94.0
274,41,Female,No,One year,No,3,157.5,33.0
275,75,Female,No,One year,Yes,10,255.1,109.0
276,60,Female,No,Two Year,Yes,10,137.4,81.0
277,70,Male,No,Month-to-Month,Yes,23,235.2,210.0
278,23,Male,Yes,Month-to-Month,Yes,5,147.5,57.0
279,84,Female,Yes,Month-to-Month,No,7,232.6,128.0
280,63,Male,Yes,One year,Yes,21,137.4,163.0
281,88,Female,No,Month-to-Month,Yes,2,129.9,56.0
282,44,Female,Yes,Month-to-Month,Yes,4,242.6,77.0
283,49,Female,Yes,Month-to-Month,No,12,187.6,154.0
284,32,Male,Yes,One year,Yes,12,232.7,167.0
286,60,Female,Yes,Month-to-Month,No,4,159.9,83.0
287,57,Female,No,Month-to-Month,Yes,11,137.5,83.0
288,62,Female,Yes,Two Year,Yes,1,245.1,80.0
289,26,Male,No,Month-to-Month,No,13,117.4,148.0
290,85,Female,Yes,Two Year,Yes,6,210.0,108.0
291,82,Female,No,One year,Yes,19,170.0,146.0
292,40,Female,No,Two Year,Yes,10,197.5,142.0
293,50,Male,Yes,Month-to-Month,Yes,5,137.5,55.0
294,71,Male,Yes,Month-to-Month,Yes,12,207.5,157.0
296,24,Female,No,Two Year,Yes,15,147.5,121.0
297,79,Male,No,Two Year,Yes,6,127.5,65.0
298,82,Male,No,Month-to-Month,No,18,140.0,162.0
299,68,Female,Yes,Month-to-Month,Yes,8,220.1,97.0
301,19,Female,No,One year,No,11,140.0,108.0
302,80,Male,Yes,Month-to-Month,No,14,270.2,195.0
303,31,Female,Yes,Two Year,Yes,3,202.4,64.0
304,62,Male,No,Month-to-Month,Yes,17,172.5,144.0
305,80,Male,Yes,Month-to-Month,Yes,4,137.5,54.0
306,36,Male,No,Two Year,No,6,105.0,69.0
307,72,Male,No,Two Year,No,4,175.0,92.0
308,50,Male,No,One year,Yes,4,140.0,57.0
309,31,Male,No,Two Year,Yes,4,145.0,108.0
310,22,Female,No,One year,Yes,10,115.0,90.0
311,50,Male,Yes,Month-to-Month,Yes,10,172.5,107.0
312,28,Male,No,Month-to-Month,No,9,125.0,82.0
313,63,Male,No,Month-to-Month,Yes,9,175.0,91.0
314,73,Female,No,Month-to-Month,No,8,92.5,49.0
315,72,Male,No,Month-to-Month,No,12,140.0,148.0
316,23,Male,Yes,Month-to-Month,No,2,192.5,75.0
317,49,Male,Yes,One year,No,14,220.1,141.0
318,82,Female,Yes,Month-to-Month,Yes,7,232.6,95.0
319,72,Female,No,One year,No,4,210.2,74.0
320,45,Female,No,One year,Yes,3,115.0,31.0
321,73,Female,No,Month-to-Month,No,14,150.0,104.0
322,78,Female,Yes,Month-to-Month,Yes,15,185.0,130.0
323,71,Male,No,Month-to-Month,Yes,6,132.5,113.0
324,67,Female,Yes,Month-to-Month,Yes,12,190.1,164.0
325,43,Male,No,Two Year,Yes,6,92.5,52.0
326,27,Female,Yes,One year,Yes,23,220.1,253.0
327,39,Male,Yes,Month-to-Month,No,1,107.5,72.0
328,52,Female,No,Two Year,No,21,170.0,170.0
329,19,Female,Yes,Month-to-Month,Yes,11,222.7,164.0
330,48,Female,Yes,Month-to-Month,Yes,10,200.1,146.0
331,22,Male,Yes,Month-to-Month,No,12,262.6,147.0
332,69,Male,Yes,Month-to-Month,No,2,152.5,46.0
333,31,Male,No,One year,No,14,202.6,184.0
334,79,Female,No,One year,Yes,9,127.5,121.0
335,65,Male,No,Month-to-Month,No,5,160.0,51.0
336,49,Male,Yes,Month-to-Month,Yes,6,125.0,102.0
337,69,Female,Yes,One year,Yes,1,252.6,62.0
338,74,Male,No,Two Year,No,8,105.0,102.0
339,27,Male,Yes,Month-to-Month,Yes,14,205.0,148.0
340,79,Female,Yes,Month-to-Month,No,6,245.1,100.0
341,41,Female,No,Two Year,Yes,7,95.0,64.0
342,51,Female,No,One year,No,9,169.9,85.0
343,57,Male,Yes,Month-to-Month,No,5,207.5,107.0
344,66,Female,No,Month-to-Month,Yes,3,115.0,24.0
345,85,Female,Yes,Month-to-Month,Yes,8,232.6,143.0
346,54,Female,No,Two Year,Yes,15,225.1,208.0
347,79,Male,Yes,Two Year,Yes,14,212.6,189.0
348,56,Male,Yes,Month-to-Month,No,1,152.5,47.0
349,80,Male,Yes,Month-to-Month,Yes,3,135.0,32.0
350,37,Female,Yes,Month-to-Month,Yes,5,200.1,120.0
351,24,Female,No,Two Year,Yes,9,197.5,154.0
352,48,Male,No,Two Year,Yes,11,192.5,109.0
353,68,Female,Yes,Month-to-Month,No,8,162.5,72.0
354,74,Male,Yes,Month-to-Month,No,14,222.7,155.0
355,37,Female,No,Two Year,No,15,115.0,148.0
356,54,Male,Yes,Month-to-Month,Yes,5,182.4,64.0
357,84,Male,No,Two Year,No,3,95.0,26.0
358,68,Male,Yes,Month-to-Month,No,2,172.5,98.0
359,39,Female,No,Two Year,No,2,177.7,87.0
360,85,Male,No,One year,Yes,6,207.6,90.0
361,86,Female,Yes,Two Year,Yes,5,220.1,65.0
362,70,Female,No,Two Year,Yes,10,137.5,88.0
363,33,Female,Yes,Month-to-Month,No,12,160.0,111.0
364,58,Female,No,Two Year,No,25,182.5,196.0
365,58,Male,No,One year,Yes,10,130.0,124.0
366,42,Male,Yes,Month-to-Month,No,8,112.5,77.0
367,89,Male,No,One year,Yes,5,127.5,57.0
368,63,Male,No,Two Year,Yes,14,162.5,122.0
369,18,Male,Yes,Month-to-Month,No,12,155.0,162.0
370,82,Male,No,Two Year,Yes,18,195.0,160.0
371,61,Male,No,One year,No,8,192.5,103.0
372,36,Male,No,Two Year,Yes,22,162.5,208.0
373,87,Female,No,Two Year,Yes,2,107.5,25.0
374,48,Male,Yes,Month-to-Month,Yes,13,142.5,155.0
375,56,Male,Yes,Two Year,Yes,3,165.0,76.0
376,57,Male,No,Month-to-Month,Yes,7,125.0,66.0
377,89,Male,Yes,Month-to-Month,Yes,4,140.0,80.0
378,30,Female,No,Month-to-Month,No,5,112.5,53.0
379,54,Female,Yes,Two Year,Yes,5,212.6,131.0
380,55,Female,No,Month-to-Month,Yes,32,182.5,258.0
381,46,Female,Yes,One year,No,11,159.9,133.0
382,18,Female,No,Two Year,No,17,245.1,182.0
383,58,Female,No,Month-to-Month,No,18,150.0,132.0
384,60,Male,Yes,Month-to-Month,Yes,17,185.0,152.0
385,62,Female,No,Month-to-Month,Yes,18,92.5,156.0
386,30,Female,No,Month-to-Month,Yes,10,149.9,143.0
387,75,Male,Yes,Month-to-Month,Yes,3,167.5,46.0
388,23,Female,Yes,Month-to-Month,No,3,197.5,86.0
389,84,Female,Yes,Month-to-Month,Yes,16,152.5,132.0
390,61,Male,Yes,Month-to-Month,No,3,162.5,59.0
391,75,Male,Yes,Month-to-Month,No,15,262.6,154.0
392,72,Male,Yes,Month-to-Month,Yes,6,190.2,97.0
393,66,Male,Yes,Month-to-Month,No,6,187.5,84.0
394,81,Female,Yes,One year,Yes,7,212.6,125.0
395,34,Male,No,Month-to-Month,Yes,9,105.0,117.0
396,82,Male,Yes,Month-to-Month,Yes,4,232.6,112.0
397,73,Male,No,Two Year,Yes,10,142.5,104.0
398,28,Male,Yes,One year,Yes,11,277.6,143.0
399,48,Female,No,Month-to-Month,Yes,2,112.5,14.0
400,53,Male,Yes,One year,Yes,9,220.1,105.0
401,52,Female,Yes,Two Year,No,1,140.0,66.0
402,20,Female,No,Month-to-Month,Yes,1,185.0,59.0
403,19,Male,Yes,Month-to-Month,Yes,3,210.1,79.0
405,48,Female,No,Two Year,Yes,3,160.0,52.0
406,28,Male,No,Two Year,Yes,32,127.5,245.0
407,52,Male,No,Two Year,No,13,162.5,131.0
408,77,Female,No,Month-to-Month,Yes,19,172.5,157.0
409,71,Female,No,Two Year,Yes,9,255.2,118.0
410,22,Female,Yes,Two Year,No,4,185.0,105.0
411,88,Male,Yes,Month-to-Month,Yes,10,175.0,131.0
412,25,Male,No,One year,Yes,4,112.5,42.0
413,21,Male,No,Two Year,Yes,11,195.0,130.0
414,39,Female,No,Two Year,No,5,172.4,66.0
415,29,Male,No,Two Year,No,5,200.2,93.0
416,22,Female,No,Month-to-Month,Yes,6,127.5,96.0
417,44,Female,No,Two Year,Yes,19,147.5,166.0
418,74,Male,No,One year,No,5,207.5,77.0
419,84,Female,No,Two Year,Yes,6,169.9,60.0
420,65,Male,No,One year,Yes,17,152.5,185.0
421,29,Female,No,One year,No,3,162.5,95.0
422,51,Female,Yes,Month-to-Month,Yes,6,200.1,128.0
423,40,Female,Yes,Month-to-Month,No,15,182.5,135.0
424,49,Female,No,One year,Yes,7,125.0,63.0
425,61,Female,Yes,Month-to-Month,No,7,230.1,110.0
426,61,Female,No,Month-to-Month,No,12,147.5,99.0
427,85,Female,No,Month-to-Month,No,10,142.5,122.0
428,25,Female,No,Two Year,Yes,18,152.5,183.0
429,48,Female,No,Month-to-Month,Yes,17,105.0,131.0
430,86,Male,No,Month-to-Month,Yes,14,115.0,115.0
431,53,Female,Yes,Month-to-Month,Yes,5,185.0,68.0
432,88,Female,No,Month-to-Month,No,3,135.0,20.0
433,40,Female,Yes,Month-to-Month,Yes,3,182.5,56.0
434,23,Male,Yes,Month-to-Month,Yes,4,192.5,67.0
435,63,Male,Yes,Month-to-Month,No,12,150.0,110.0
436,28,Male,No,One year,Yes,11,95.0,106.0
437,26,Female,Yes,Two Year,No,6,245.2,112.0
438,22,Male,No,Two Year,No,14,169.9,135.0
439,43,Male,No,Two Year,Yes,10,207.5,117.0
440,70,Male,Yes,Month-to-Month,No,3,245.1,96.0
441,48,Female,No,Month-to-Month,Yes,9,127.5,116.0
442,29,Female,Yes,Month-to-Month,Yes,1,182.5,45.0
443,61,Female,Yes,Month-to-Month,No,7,267.6,150.0
444,73,Female,No,Month-to-Month,No,17,105.0,127.0
445,27,Male,Yes,Month-to-Month,No,11,165.0,161.0
446,56,Female,Yes,One year,No,16,240.1,157.0
447,19,Male,No,Two Year,Yes,11,125.0,145.0
448,56,Male,Yes,Month-to-Month,Yes,5,127.4,88.0
449,83,Female,No,Month-to-Month,Yes,2,170.0,21.0
450,84,Female,No,One year,Yes,22,170.0,160.0
451,62,Male,No,Month-to-Month,Yes,3,180.0,48.0
452,67,Male,No,One year,No,2,135.0,23.0
453,21,Female,No,Two Year,Yes,9,192.4,103.0
454,31,Male,No,Two Year,Yes,7,172.4,129.0
455,25,Female,Yes,Month-to-Month,Yes,5,212.7,105.0
456,60,Female,Yes,Month-to-Month,Yes,11,175.1,107.0
457,84,Female,No,Month-to-Month,No,15,160.0,126.0
458,36,Female,No,Month-to-Month,Yes,5,112.5,49.0
459,87,Female,No,Month-to-Month,Yes,12,180.0,85.0
460,80,Female,Yes,Month-to-Month,Yes,9,252.6,106.0
461,34,Female,No,Two Year,No,14,95.0,106.0
462,39,Male,Yes,One year,No,14,240.1,156.0
463,42,Male,No,Month-to-Month,No,13,105.0,128.0
464,36,Male,No,Two Year,Yes,3,182.5,62.0
465,18,Male,Yes,Month-to-Month,No,15,149.9,169.0
466,66,Female,No,Month-to-Month,Yes,17,145.0,119.0
467,20,Female,Yes,Two Year,Yes,3,187.6,107.0
468,73,Female,No,One year,Yes,20,130.0,188.0
469,83,Male,No,One year,No,8,130.0,80.0
470,67,Male,Yes,Month-to-Month,No,1,192.4,42.0
471,62,Male,Yes,Month-to-Month,Yes,15,172.4,130.0
472,34,Male,No,Two Year,Yes,4,117.5,65.0
473,28,Female,No,One year,No,9,160.0,93.0
474,26,Female,Yes,Month-to-Month,No,9,167.5,148.0
475,82,Female,Yes,Month-to-Month,No,5,130.0,91.0
476,59,Male,No,One year,No,14,140.0,129.0
477,46,Male,No,Month-to-Month,Yes,3,125.0,48.0
478,44,Male,Yes,Month-to-Month,Yes,13,255.1,150.0
479,56,Male,No,Two Year,No,5,230.1,92.0
480,32,Male,No,Two Year,No,29,182.5,262.0
481,50,Male,Yes,One year,Yes,7,255.2,115.0
482,53,Male,No,Two Year,Yes,6,172.5,91.0
483,84,Male,No,Two Year,No,4,137.5,74.0
