,CaseOrder,Customer_id,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Multiple,OnlineSecurity,TechSupport,StreamingTV,Tenure,MonthlyCharge,Bandwidth_GB_Year
27,28,Z301326,5652,0,70,43882.72,14.73616645,12,0,0,0,0,0,0,1,1.392421597,139.981577,419.0508708
28,29,J887250,1716,3,20,10482.52,13.43558029,13,2,0,1,0,0,0,1,1.430386349,200.132293,1259.415493
29,30,Z686376,52484,4,69,33442.79,10.61771118,18,1,0,0,1,1,0,1,5.425864884,257.651257,1745.125956
31,32,V899967,1765,0,40,21793.88,4.450171647,13,2,0,0,1,0,1,0,3.586184954,147.489301,492.4771472
32,33,G571225,680,6,82,51960.51,8.774646693,9,0,0,0,0,0,0,1,4.727388465,230.105118,1013.993166
33,34,S381541,136,5,74,25942.1,11.13156721,8,1,1,0,1,1,0,1,20.89923386,174.958118,2680.762173
34,35,R195593,1517,4,69,11211.59,5.540788887,15,1,0,0,1,1,1,1,3.471329958,267.664655,1081.814362
35,36,I327596,14103,1,52,8283.29,13.80362698,11,0,1,0,1,1,1,0,5.478588204,162.483267,1209.961168
36,37,U790894,6394,2,26,10114.81,16.31017089,16,1,1,0,1,1,1,0,3.312991809,229.993134,897.5919144
37,38,O739489,5059,1,25,36229.21,9.447065309,9,2,0,0,1,1,0,0,7.161561527,140.00128,1340.930156
38,39,I958127,20450,1,66,25397.44,16.84100845,12,1,0,0,0,1,1,0,9.847563364,184.964681,1113.993679
39,40,Z666770,2123,1,72,50336.5,7.972937227,10,1,1,0,0,0,0,0,16.04202196,147.473844,1530.10769
40,41,X711438,1164,3,21,38211.37,11.42906608,12,1,0,0,0,0,0,1,9.179779682,172.457857,1310.137419
41,42,U369541,23,3,55,52887.26,8.06137096,16,2,0,0,0,1,1,0,3.002844144,107.481989,892.8964931
42,43,S896111,895,4,41,12003.33,12.54780492,11,1,2,0,1,1,1,1,3.924254455,255.141716,1125.581944
43,44,K227200,6699,4,32,24090.62,8.255565152,13,0,0,0,1,0,1,0,18.55959629,192.456745,2016.710031
44,45,E818912,35743,0,22,15137.93,13.156514,6,0,0,0,1,1,0,1,8.798394712,242.632554,1412.736809
45,46,Y490834,320,2,44,54458.38,10.58349704,5,1,0,0,1,1,0,1,10.377366,245.174977,1710.689671
47,48,E687638,861,3,43,37358.13,9.750038902,11,1,0,1,1,1,1,0,9.427146079,195.006206,1213.940165
48,49,E492264,15364,1,86,26534.16,7.868660851,11,2,2,0,0,0,0,1,7.760290062,104.962874,740.010722
49,50,W255321,2589,2,84,76430.83,12.43563329,14,0,1,0,0,0,1,0,11.56938439,92.488023,897.9716153
50,51,S72442,4901,2,62,4662.37,8.957166926,13,3,0,0,1,0,1,0,3.343811019,184.979684,1026.387172
51,52,O845020,39649,5,68,43820.85,8.015021713,12,1,0,0,0,0,0,1,7.338869531,187.656013,1234.244324
52,53,D805597,456,1,59,38391.55,4.210347704,8,0,0,0,0,0,0,1,5.486534225,149.962093,727.3731845
53,54,R189303,94,0,31,44137.6,11.13960534,6,0,0,1,1,0,0,1,1.55278221,169.944668,452.8721504
54,55,N142854,315,0,51,14364.65,9.03738856,11,2,0,0,1,1,0,0,12.07970325,160.00128,1296.674543
55,56,F522569,4969,1,58,62359.91,10.91594785,11,1,1,0,0,0,0,1,13.98666226,129.962093,1840.628269
56,57,L384793,46869,1,73,82634.86,8.387624096,11,0,1,0,0,0,0,0,9.563362997,114.950905,1324.330108
57,58,C101444,58431,1,33,15690.25,11.4487514,11,0,1,0,0,1,1,0,6.732948946,142.515576,958.1397059
58,59,E987442,26182,1,58,14568.7,10.22013704,15,2,0,0,1,0,1,1,15.72071086,220.14775,1868.864027
59,60,L54611,694,0,49,29207.46,8.425458142,9,1,0,0,0,0,0,0,7.233605493,124.97808,676.712908
60,61,L85018,3093,1,26,55319.23,8.386280619,12,1,0,0,0,1,1,0,2.871017037,164.964681,1086.990308
61,62,O942919,2765,1,25,81831.49,9.565924291,10,3,0,0,1,0,1,1,2.344875382,194.976769,704.7540406
62,63,I167253,3757,0,42,100076.65,10.79349982,14,3,0,0,0,1,0,0,7.960490246,152.455519,1416.444695
63,64,R110564,4938,1,81,69965.65,6.081975067,15,0,0,0,0,0,0,0,12.25062113,92.5018,1095.950634
64,65,M278354,3761,1,43,34883.69,13.55065547,13,0,0,1,0,0,0,0,9.634946079,127.488728,1083.610268
65,66,W604879,1851,2,63,45634.2,9.470419821,14,1,0,0,1,0,0,1,7.916533093,184.963371,1570.641337
66,67,X345797,38476,3,70,10964.73,6.194985909,11,0,1,0,1,0,1,1,4.471254161,265.146969,1007.425553
67,68,N189653,13547,1,78,22365.28,10.80393657,19,1,0,0,0,0,0,1,10.79028074,207.609354,1323.028419
68,69,M562102,7801,0,48,52636.6,7.903964267,17,0,1,0,1,1,0,1,12.24190682,152.462354,1808.730555
69,70,X67911,17823,1,63,19048.13,11.27443693,18,2,1,1,0,0,0,1,2.203859443,200.132293,1120.241472
70,71,O834546,20269,4,60,42784.82,6.129509309,12,0,0,0,0,1,1,1,23.92132231,212.655686,2676.789803
71,72,I493092,30225,0,87,77996.88,7.969277912,17,0,0,1,1,0,1,1,3.7311787,255.119794,1268.086909
72,73,H787644,5760,3,54,47507.3,4.368120492,9,0,0,0,0,0,0,0,7.980015371,134.950905,822.6771666
73,74,N582710,61,3,35,7724.73,6.258356398,9,0,1,0,0,0,1,1,9.190009376,255.137219,1577.915603
74,75,T689606,34359,1,70,1509.52,12.92303286,16,0,0,0,1,0,0,0,2.378630018,214.966286,648.7471776
75,76,E330599,24693,2,67,81124.71,12.43301273,13,0,0,0,1,1,1,1,5.43464555,270.160419,1648.102673
76,77,C641592,4235,4,46,11795.57,7.607663559,11,0,0,0,0,0,1,1,1.092361222,200.165175,768.0874545
77,78,E24772,2193,1,50,74794.84,7.442789019,10,2,1,0,0,0,0,0,20.13981517,149.937833,2426.030626
78,79,A889769,273,1,24,19038.78,13.04429298,18,1,0,0,1,0,0,1,24.64873861,240.114868,2660.503932
79,80,G391761,14557,0,20,79167.77,14.89762162,17,0,0,0,0,1,0,0,9.677739656,127.495766,1129.549713
80,81,A606860,17653,1,29,37428.26,13.79387475,13,2,1,0,0,0,0,1,9.82814183,187.609354,1771.286466
81,82,E186097,285,0,31,45148.38,15.66367593,6,1,0,1,1,0,1,0,7.832238337,169.992756,943.3391244
82,83,I627613,320,5,72,74855.47,8.513410306,13,3,0,0,1,0,1,0,19.45250317,192.456745,1907.226083
83,84,Z188641,2863,4,71,45323.86,8.265002035,10,1,0,0,0,1,1,0,14.34766616,120.004928,1885.939118
84,85,A740543,1206,2,32,71596.14,8.6026551,11,0,0,0,1,1,1,0,2.257358355,195.006206,631.7435653
85,86,W681476,35279,0,33,10389.95,6.03993035,15,1,0,0,0,1,0,1,2.358129018,139.95684,562.6095219
86,87,G842176,1049,3,67,19657.14,14.6040829,12,3,0,1,0,0,1,0,4.650578623,114.983787,593.8572264
87,88,Z852663,32203,0,66,27827.03,7.274007029,13,1,1,0,1,0,0,1,3.721772616,207.638588,777.3060718
88,89,C73741,25576,4,21,15609.05,8.913898759,12,4,0,0,0,0,0,1,3.76663012,187.609354,1393.202392
89,90,W258972,319,0,61,19815.63,11.59313893,13,0,2,0,0,0,0,0,4.151256695,134.950905,393.6524652
90,91,G491883,55519,0,75,58482.9,8.294186076,13,0,0,0,1,0,0,0,2.188918771,192.470522,409.7486664
91,92,C302549,15210,0,63,41656.53,15.19664016,9,1,0,0,0,0,0,1,13.85488928,222.628057,2138.107161
93,94,T46150,14479,2,32,15841.19,6.942719201,7,1,1,0,1,0,0,0,19.75096265,159.979358,2481.385603
94,95,B260505,4654,0,76,81127.41,9.834012571,7,1,0,0,1,0,1,0,18.38404445,184.979684,2233.567181
95,96,W877056,26320,0,29,24270.88,11.0596826,13,0,0,0,0,1,0,1,4.672610857,245.145743,1158.91369
96,97,M478246,35,0,83,54466.33,8.834079073,17,0,1,0,0,0,0,0,6.796299371,124.97808,529.40733
98,99,R180138,17600,5,80,103311.26,9.394961367,15,1,0,0,0,1,1,0,20.31163945,162.500692,2056.386979
99,100,N931384,3324,0,20,40211.04,14.4754365,11,1,1,0,1,0,0,1,6.998814446,182.467607,1067.373076
100,101,O967373,55122,0,69,58077.38,10.68311773,12,1,1,0,0,0,1,1,14.46288204,222.660939,1806.135733
101,102,G695985,4038,1,32,43466.35,13.79409442,10,1,0,0,1,0,0,1,11.13472066,182.467607,1397.701335
102,103,P33478,31927,0,53,23289.77,12.40165307,19,1,0,0,1,0,0,1,2.542296644,220.161527,808.4305471
103,104,K100436,19904,2,25,49158.49,10.24782033,9,1,0,0,0,0,0,0,17.22596021,169.937833,1886.531937
104,105,L475907,13000,0,69,3805.84,14.86100819,16,0,2,0,1,0,0,1,22.79214163,204.963371,2294.781131
105,106,A78095,1444,3,71,52616.27,6.716953195,10,2,1,0,1,0,0,1,3.823689744,204.963371,826.3438621
106,107,X742990,2158,3,53,30550.42,8.124258176,18,1,0,0,1,1,0,1,10.77094687,245.128318,2072.564168
107,108,P347346,1800,2,56,12154.01,14.60903837,11,0,2,0,1,0,1,1,13.08671185,172.473314,1436.793746
108,109,O235183,30,0,42,30649.31,12.65015936,9,2,2,0,1,0,1,0,14.76468813,172.456745,1963.332683
109,110,R776311,3682,3,33,31417.33,12.0281501,14,0,0,0,1,0,1,1,9.473091121,194.976769,1324.164906
110,111,C25146,41733,1,47,55861.19,15.68043093,16,1,0,0,0,0,0,1,5.197446331,137.439154,704.9375603
111,112,E722502,630,1,48,9044.26,11.30421466,18,3,1,0,1,0,0,0,6.577552683,192.470522,888.6517305
112,113,D515341,15383,0,63,25381.66,10.26646787,10,1,0,0,0,0,1,0,3.174571918,159.951231,377.0810282
113,114,U972291,257,1,40,65064.31,7.56618217,9,0,0,0,0,0,0,0,17.88002366,112.455141,1606.489936
114,115,N374641,1012,0,67,12527.51,10.40677369,14,2,0,1,0,1,1,1,13.12190056,174.961766,1431.409396
115,116,R736057,20327,0,56,35499.06,7.146124361,13,3,0,1,0,1,0,1,23.34617699,162.452604,2253.85247
116,117,K401117,69,6,24,26282.4,9.807530479,10,1,0,1,1,0,0,0,6.311709178,137.483594,1353.29384
117,118,O17401,1130,2,79,51237.28,10.61217014,12,3,0,0,1,0,0,1,12.58298231,275.133571,1701.457566
118,119,E779833,4210,3,61,64222.21,5.785085772,16,1,1,0,0,0,0,0,7.120096363,127.442069,1290.737183
119,120,Q527077,155,0,38,11014.98,9.062879297,11,2,0,1,0,0,1,1,9.344886869,210.138,1403.270091
120,121,Q765651,37711,4,28,21172.49,16.54443477,13,1,0,1,1,0,0,0,22.37815032,147.456419,2603.903672
121,122,W400552,1800,3,44,26130.78,4.539566699,8,2,0,0,1,0,0,1,4.799514433,242.657291,1256.287854
122,123,S979985,8028,1,65,36478.21,7.251198724,14,2,0,1,0,0,1,0,10.04672315,114.983787,980.9935923
123,124,E351590,31859,3,35,54533.63,8.943293567,15,2,1,0,0,0,0,1,8.156552837,187.656013,1347.869205
124,125,J227824,16101,2,31,37103.18,12.57884215,9,3,1,0,1,0,0,1,7.992791229,149.991327,1127.267848
125,126,S136858,20449,2,34,74679.84,11.64836306,11,0,1,1,1,0,0,0,7.231032028,124.960655,1269.836202
126,127,N883325,161,2,68,95028.57,6.076260652,13,0,0,0,1,0,0,1,4.627672042,220.161527,1038.745378
127,128,U700981,29210,0,62,34281.1,11.75681641,9,0,0,0,1,0,1,0,10.05306287,172.48852,1531.155367
128,129,X267853,821,0,52,36240.81,9.173739977,14,0,1,0,0,1,1,0,4.171044392,120.004928,991.2441024
129,130,S985225,5846,5,32,9515.64,8.353693631,11,4,0,0,1,0,0,1,4.568682641,220.161527,1244.296865
132,133,S370452,25328,1,70,77531.43,2.310584634,14,1,0,0,1,0,1,1,8.574901206,184.949594,1442.974877
133,134,D333249,3736,3,41,87354.99,5.290318715,10,0,0,0,1,0,0,1,9.743201772,252.637807,1577.208717
134,135,O698848,610,2,59,76567.85,5.258274954,8,1,0,0,0,0,0,0,9.482919033,112.455141,886.9398744
135,136,M248356,34,1,46,30663.52,7.157580014,12,0,0,0,1,0,0,0,8.447988841,179.979358,1065.06443
137,138,G106476,1135,1,89,31600.92,4.978546291,12,2,0,0,1,0,1,1,7.251397592,197.472533,1404.435534
138,139,D873414,1750,4,75,74638.78,6.547676875,10,3,1,0,1,1,0,1,14.64011644,255.155493,1925.911722
139,140,X906302,1076,0,26,32652.3,7.410590719,9,0,1,1,1,0,1,1,11.71637124,174.976769,1805.011298
140,141,Z245249,1692,4,25,63650.54,11.39765385,8,1,1,0,1,0,1,0,4.13273503,169.992756,700.7343179
141,142,T30358,43123,1,84,28622.6,11.29945603,14,1,0,0,1,0,0,1,2.887429547,192.440432,513.237305
142,143,K974027,2396,3,69,50252.79,11.30748265,15,0,2,0,0,0,0,0,3.303030246,182.460772,717.3876564
143,144,R464272,12914,3,31,19800.81,10.31551212,11,2,1,0,0,0,0,0,5.15825129,139.965008,1313.492851
146,147,L229402,828,1,74,48715.53,11.9664542,17,1,0,0,0,0,1,1,3.180102025,210.138,724.7803356
147,148,Y259927,98,1,49,23204.98,10.18046877,10,2,0,0,0,0,1,0,15.85983755,104.964303,1829.270014
148,149,G820541,15671,1,47,35302.52,14.01485542,16,1,1,0,1,0,0,1,11.73724209,262.610632,1668.199119
149,150,F672614,2229,4,20,54895.16,14.62784306,17,2,0,0,0,1,1,0,7.006240694,152.488401,1124.353152
150,151,L686627,4982,2,26,60398.06,10.90517581,10,2,0,0,1,1,1,0,5.562130367,174.974431,1316.239744
151,152,T660448,18575,2,72,8115.88,8.894475174,8,0,1,0,0,0,1,1,14.53027663,220.118516,1637.201426
152,153,G864898,15715,1,41,33858.66,10.50187888,13,0,0,1,0,1,0,1,5.905906389,162.452604,951.8524406
153,154,V847401,6252,3,26,29950.47,12.34250072,12,2,1,0,1,1,0,0,3.260462654,184.961033,1248.097652
154,155,X852253,3834,4,55,49421.69,10.29380879,12,3,0,0,1,1,0,0,18.91276578,217.483972,2220.255405
155,156,M482085,19556,1,46,11061.05,8.512650562,11,2,1,0,0,0,1,1,14.25617986,220.118516,1669.202417
156,157,L535753,47732,0,87,15388.32,7.82671592,13,1,2,1,0,0,1,1,7.983887266,187.642236,990.0555076
157,158,K265986,86926,1,39,20624.31,6.985590245,9,2,1,1,0,1,1,1,5.969967132,174.961766,967.9819136
158,159,C695447,69,0,81,47877.81,11.40449185,12,0,0,0,1,0,0,1,19.95277818,252.637807,2190.259876
159,160,T484755,15033,0,83,46154.17,10.44249511,13,1,0,0,0,1,1,0,14.85781115,130.024412,1445.752781
161,162,N995093,1879,3,87,10403.59,10.68024546,13,2,1,0,1,0,0,1,11.92299244,182.467607,1296.481055
162,163,D478815,358,3,76,22412.6,10.62439366,13,0,0,0,0,0,0,1,5.972864167,139.934918,1195.393037
163,164,I338069,32653,6,25,19476.27,10.91642397,13,1,0,1,0,0,1,1,10.87555535,200.165175,1700.121992
164,165,T278739,10398,3,34,96382.76,8.580626195,14,0,0,0,0,1,1,1,16.00330155,202.682861,2120.673828
165,166,R857699,2081,1,46,28022.56,8.996933306,11,0,1,0,0,0,1,0,12.63074989,159.951231,1238.421347
166,167,Q386914,3410,1,73,35478.4,7.602570192,7,2,0,0,0,0,1,1,8.4944392,149.948316,847.110799
168,169,T392167,1917,3,58,87537.25,9.591529444,14,0,1,0,1,0,1,0,12.07358377,137.469817,1623.045026
169,170,J315269,2482,4,70,34112.1,13.36027908,12,0,0,0,0,0,0,1,10.21634248,187.656013,1479.730181
170,171,B124449,902,0,53,32653.51,4.372034777,7,1,0,0,1,1,0,1,15.50354683,164.985293,2144.735024
172,173,K20948,3066,0,38,49277.48,12.81260566,10,1,0,0,1,1,0,1,19.48900163,172.462354,1974.780054
173,174,M893176,13365,0,26,37297.82,3.767298987,11,0,0,0,1,0,1,1,10.01771765,204.949594,1261.177198
174,175,P765785,207,2,44,14928.96,17.56798903,14,2,0,0,0,0,0,0,7.34059599,147.473844,939.7181324
175,176,X780945,689,3,66,24702.68,11.2369761,11,3,2,1,0,0,1,1,12.64742067,162.471255,1357.062854
176,177,H776847,99,1,58,87535.71,8.54892416,15,0,1,0,0,1,0,1,8.850426839,119.95684,1456.887443
177,178,A471876,509,6,51,63166.87,6.094109902,11,2,0,0,0,0,0,1,3.701557118,207.609354,937.5863866
178,179,B424659,933,4,34,11856.81,13.9077275,14,1,0,0,1,0,1,0,2.976033785,194.999168,830.1193011
179,180,F111037,4991,0,87,27326.79,7.905333122,14,1,0,0,0,1,0,1,5.522376826,174.975543,737.8564608
180,181,S690107,1579,1,67,12779.23,12.53830949,9,2,1,0,1,0,0,1,15.64596698,240.114868,1781.854862
181,182,Q991854,19669,4,59,25519.91,12.8219418,12,1,1,0,1,0,0,1,23.00764441,240.114868,2464.577489
182,183,U560834,530,7,23,46871.21,8.941553742,10,0,0,0,0,0,1,0,17.24924155,139.983006,2392.203409
183,184,P452772,1469,0,42,77383.72,10.51043963,12,0,0,0,1,0,0,1,13.01107597,240.114868,1664.19271
184,185,B949126,324,1,24,47395.3,11.86384439,11,3,0,0,1,1,1,0,5.104082209,209.993134,1433.616898
185,186,F697244,10482,2,81,90977.74,10.76051016,10,3,0,0,1,0,0,0,3.521499924,147.456419,823.4933243
187,188,Q971369,1919,1,51,47726.25,8.174495258,8,5,0,0,0,1,0,0,1.875430489,152.502178,590.7765801
188,189,W186069,241,1,70,51721.64,10.05388383,12,2,0,0,0,0,0,0,5.587484456,79.978861,418.6206885
189,190,Y292243,673,0,87,41531.03,7.045552801,13,2,0,0,0,1,0,0,7.007695148,142.482694,1181.991846
190,191,F333860,2649,0,46,33504.8,8.957297136,14,1,0,0,0,0,0,1,1.408375942,117.439154,733.4036934
192,193,O249806,1598,4,44,11518.58,13.41209586,11,3,0,1,0,1,0,0,2.964559883,152.455519,1205.956363
193,194,V143753,6658,0,33,31065.17,14.89835355,9,2,1,0,0,1,1,1,10.25635754,174.961766,1261.032763
194,195,A715491,823,0,19,32097.17,13.62135046,14,1,1,0,1,0,0,0,3.892407013,202.443347,741.7766988
195,196,D986940,13287,1,31,23424.88,14.95912113,12,2,1,0,0,1,0,1,3.226996711,210.12704,932.6084359
196,197,Z147347,2394,1,34,35988.24,11.741245,9,0,0,0,0,1,0,0,15.87685513,139.979239,1708.614019
197,198,W830673,9295,4,43,35539.7,7.765121655,11,0,1,0,0,0,0,0,5.874064017,139.965008,1363.58603
198,199,Q470894,315,1,82,27959.34,7.130431693,5,1,0,0,0,0,0,1,3.756359276,137.439154,472.1057019
199,200,I584048,2998,6,36,52232.97,8.359515606,13,1,0,0,0,0,0,0,2.905283283,102.474625,558.2340556
200,201,J779175,178,1,48,18198.59,9.42799205,17,3,0,0,1,0,0,1,1.474810061,252.637807,815.194738
201,202,O82369,1423,0,52,16851.94,10.95510131,11,0,1,0,1,0,1,0,18.56165869,194.999168,2007.303617
202,203,U528986,1935,1,35,16440.05,10.8621377,16,1,0,0,1,0,0,1,12.39088509,242.610632,2088.48083
203,204,K33780,90517,3,83,44223.58,7.352533505,15,2,0,0,0,0,0,1,14.17192333,127.458638,1430.761492
204,205,M720169,239,0,20,33343.73,11.38860234,14,1,0,0,0,1,0,1,3.86023041,129.976324,822.3008694
205,206,Q279060,1003,0,25,30664.56,9.580144161,13,4,0,0,1,0,0,1,17.72593456,240.114868,2059.200998
206,207,V840276,2817,0,88,31934.04,10.79191234,18,1,0,0,0,1,0,1,3.043063167,174.975543,617.542543
207,208,B248010,884,1,54,26676.4,9.982341124,8,0,0,0,1,0,0,1,5.827112819,169.944668,758.4775985
208,209,C805115,11245,1,46,67211.95,6.511921085,12,0,1,0,1,1,0,0,4.648958177,162.511928,894.6733856
209,210,D89225,19215,2,75,31136.77,10.70500472,14,1,0,0,0,1,0,1,11.96274778,119.95684,1639.898269
210,211,X904034,2733,5,66,40660.84,11.58410296,11,0,1,0,0,0,0,1,4.525864256,137.439154,710.7541633
211,212,B148329,1204,0,51,10606.59,8.01651453,12,1,1,1,1,1,1,1,8.038308899,207.46728,1092.226042
212,213,X914490,62430,3,81,92447.71,15.12148226,12,0,0,0,1,1,0,0,1.416592892,149.974105,757.0097075
213,214,U120690,1028,0,75,13612.16,12.63643487,18,0,0,0,0,1,1,1,19.83504645,225.178625,2301.850721
214,215,F116821,28666,3,54,13765.39,16.68178185,8,2,0,0,1,0,0,1,15.85002222,232.637807,2401.406545
215,216,X389713,44451,2,73,53019.98,11.08409914,10,2,1,0,0,0,1,1,15.94935291,117.472036,1535.788894
216,217,M379067,266,0,53,42523.02,12.99948061,12,1,1,0,1,0,1,0,11.94550648,137.469817,1536.589816
218,219,V280043,1994,5,41,19097.94,7.369412654,13,0,1,0,1,0,0,0,21.29342532,124.960655,2409.195918
219,220,U169694,1869,1,59,11301.4,9.84688181,11,0,0,1,1,1,1,1,4.95598008,199.990219,1342.862457
221,222,K618387,21792,1,32,22533.05,13.53989069,13,1,1,0,0,1,0,1,4.973046104,245.145743,1204.479468
222,223,D944092,8770,3,51,19974.4,5.458806701,10,2,0,0,1,1,0,1,10.28430068,255.155493,1616.908193
223,224,F908532,3378,1,46,45146.99,12.0772854,11,1,1,0,0,0,0,0,2.581692044,134.950905,345.0099528
224,225,K380097,1748,3,37,10330.1,6.918984305,9,1,0,0,1,0,0,0,6.945736396,159.947583,1427.088655
225,226,R717119,1598,0,53,15281.28,14.84155042,8,3,0,0,1,1,1,0,9.999416271,139.987503,1452.334634
226,227,X978383,4335,1,62,11217.96,12.66717474,15,2,0,0,1,0,0,0,6.035737465,179.947583,795.4957358
227,228,L693606,2299,1,57,17516.0,11.43786808,13,0,1,0,0,0,0,0,9.004964377,127.473844,1333.894229
228,229,Q486994,12275,2,80,20566.64,6.915228797,10,1,0,0,1,0,0,1,5.071456681,232.637807,1402.20491
229,230,R463442,1065,1,43,36128.68,11.30215199,12,1,1,0,1,1,1,0,12.02106494,195.006206,1447.196935
230,231,O40995,24438,1,35,52129.84,9.513085538,10,1,0,1,1,0,1,1,5.049303717,267.642733,1662.510936
231,232,I933613,47974,1,63,25985.06,9.497106973,11,1,0,0,0,1,0,0,18.17247008,149.959755,1707.641161
232,233,O900811,788,1,63,10909.79,12.21852573,15,2,0,0,1,0,0,1,15.31997698,220.114868,2181.752793
233,234,F269503,16882,1,27,41151.14,8.272244827,11,3,0,0,1,0,0,0,16.0708543,157.483594,1575.683555
234,235,V549313,165,4,19,64063.23,10.24857935,14,3,0,0,0,0,1,0,7.873371451,127.474951,1029.489242
235,236,Y254714,109,1,40,20414.07,6.743431946,12,1,1,1,0,0,0,1,23.62866494,139.981577,2370.184448
236,237,C125388,11116,0,42,41412.1,12.4703522,8,1,0,0,1,0,0,1,25.8634566,255.133571,3309.919373
237,238,D901316,1083,0,40,99195.08,7.913676085,16,1,0,0,1,0,0,0,9.405224809,194.966286,1623.273925
238,239,H906834,15604,0,72,18408.94,9.362849722,12,2,0,1,1,0,1,0,12.84490034,179.965581,1146.199921
239,240,W551882,37,3,61,15930.45,17.41324465,10,0,1,1,1,0,1,1,16.59325254,174.976769,2229.268031
240,241,D402022,57344,0,71,25611.29,13.43700846,11,0,0,0,0,0,0,1,20.35456039,187.609354,2512.36494
241,242,M545162,39035,4,68,9428.86,11.95206054,7,0,1,0,0,0,0,0,12.00925702,169.937833,1297.388488
242,243,C459569,27698,1,88,3810.16,4.550449856,17,2,1,0,1,1,0,0,2.861423443,115.002061,283.39178
244,245,G954415,3639,1,63,51992.79,10.2863601,10,1,1,0,0,0,0,1,4.98152586,207.609354,849.1972541
245,246,E475593,2950,0,53,79993.43,11.17709222,12,0,2,0,1,0,0,0,23.12150846,147.503078,2131.359827
246,247,D160442,15041,0,41,37706.85,14.12145884,14,0,0,1,0,0,1,1,6.307178205,200.118516,1464.035068
247,248,J757606,5188,2,63,22466.53,7.799780591,13,1,0,0,1,1,0,0,12.73622643,137.497825,1381.538548
248,249,E791178,1317,4,56,16608.27,7.122072827,14,0,0,0,1,0,0,0,12.00466914,134.980139,1248.626874
249,250,U451201,4755,2,27,25146.14,9.329902365,6,0,0,1,0,0,0,0,2.243757398,147.442069,558.3751762
250,251,Z817431,3658,2,47,58882.35,7.509389052,18,0,0,0,1,1,1,1,1.583394702,197.494455,676.2178659
251,252,A295468,30733,4,42,31809.46,15.06990851,14,2,0,0,1,1,1,0,14.23487852,162.529926,1641.938696
252,253,S986240,2431,0,72,27235.54,9.321265424,14,0,0,0,0,0,0,1,15.28108311,210.151777,1811.964373
253,254,H472673,529,3,58,70476.82,3.564651961,9,2,0,0,1,0,1,0,4.135827839,159.965581,1066.632555
