,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Multiple,OnlineSecurity,TechSupport,StreamingTV,MonthlyCharge,Bandwidth_GB_Year
24,9434,3,75,28520.32,1,13.74777955,15,1,0,0,1,1,0,0,162.511928,870.76398
25,29568,1,77,12558.83,1,9.767668044,12,1,0,0,0,0,0,0,92.455141,774.2937069
26,3089,1,47,8762.23,1,15.8626095,15,0,1,0,0,1,0,1,222.649979,1506.446527
27,5652,0,70,43882.72,1,14.73616645,12,0,0,0,0,0,0,1,139.981577,419.0508708
28,1716,3,20,10482.52,1,13.43558029,13,2,0,1,0,0,0,1,200.132293,1259.415493
29,52484,4,69,33442.79,1,10.61771118,18,1,0,0,1,1,0,1,257.651257,1745.125956
31,1765,0,40,21793.88,0,4.450171647,13,2,0,0,1,0,1,0,147.489301,492.4771472
32,680,6,82,51960.51,1,8.774646693,9,0,0,0,0,0,0,1,230.105118,1013.993166
33,136,5,74,25942.1,1,11.13156721,8,1,1,0,1,1,0,1,174.958118,2680.762173
34,1517,4,69,11211.59,1,5.540788887,15,1,0,0,1,1,1,1,267.664655,1081.814362
35,14103,1,52,8283.29,1,13.80362698,11,0,1,0,1,1,1,0,162.483267,1209.961168
36,6394,2,26,10114.81,1,16.31017089,16,1,1,0,1,1,1,0,229.993134,897.5919144
37,5059,1,25,36229.21,0,9.447065309,9,2,0,0,1,1,0,0,140.00128,1340.930156
38,20450,1,66,25397.44,0,16.84100845,12,1,0,0,0,1,1,0,184.964681,1113.993679
39,2123,1,72,50336.5,0,7.972937227,10,1,1,0,0,0,0,0,147.473844,1530.10769
40,1164,3,21,38211.37,0,11.42906608,12,1,0,0,0,0,0,1,172.457857,1310.137419
41,23,3,55,52887.26,0,8.06137096,16,2,0,0,0,1,1,0,107.481989,892.8964931
42,895,4,41,12003.33,1,12.54780492,11,1,2,0,1,1,1,1,255.141716,1125.581944
43,6699,4,32,24090.62,0,8.255565152,13,0,0,0,1,0,1,0,192.456745,2016.710031
44,35743,0,22,15137.93,1,13.156514,6,0,0,0,1,1,0,1,242.632554,1412.736809
45,320,2,44,54458.38,1,10.58349704,5,1,0,0,1,1,0,1,245.174977,1710.689671
47,861,3,43,37358.13,1,9.750038902,11,1,0,1,1,1,1,0,195.006206,1213.940165
48,15364,1,86,26534.16,0,7.868660851,11,2,2,0,0,0,0,1,104.962874,740.010722
49,2589,2,84,76430.83,0,12.43563329,14,0,1,0,0,0,1,0,92.488023,897.9716153
50,4901,2,62,4662.37,1,8.957166926,13,3,0,0,1,0,1,0,184.979684,1026.387172
51,39649,5,68,43820.85,1,8.015021713,12,1,0,0,0,0,0,1,187.656013,1234.244324
52,456,1,59,38391.55,0,4.210347704,8,0,0,0,0,0,0,1,149.962093,727.3731845
53,94,0,31,44137.6,1,11.13960534,6,0,0,1,1,0,0,1,169.944668,452.8721504
54,315,0,51,14364.65,1,9.03738856,11,2,0,0,1,1,0,0,160.00128,1296.674543
55,4969,1,58,62359.91,0,10.91594785,11,1,1,0,0,0,0,1,129.962093,1840.628269
56,46869,1,73,82634.86,1,8.387624096,11,0,1,0,0,0,0,0,114.950905,1324.330108
57,58431,1,33,15690.25,0,11.4487514,11,0,1,0,0,1,1,0,142.515576,958.1397059
58,26182,1,58,14568.7,1,10.22013704,15,2,0,0,1,0,1,1,220.14775,1868.864027
59,694,0,49,29207.46,0,8.425458142,9,1,0,0,0,0,0,0,124.97808,676.712908
60,3093,1,26,55319.23,0,8.386280619,12,1,0,0,0,1,1,0,164.964681,1086.990308
61,2765,1,25,81831.49,0,9.565924291,10,3,0,0,1,0,1,1,194.976769,704.7540406
62,3757,0,42,100076.65,1,10.79349982,14,3,0,0,0,1,0,0,152.455519,1416.444695
63,4938,1,81,69965.65,0,6.081975067,15,0,0,0,0,0,0,0,92.5018,1095.950634
64,3761,1,43,34883.69,0,13.55065547,13,0,0,1,0,0,0,0,127.488728,1083.610268
65,1851,2,63,45634.2,0,9.470419821,14,1,0,0,1,0,0,1,184.963371,1570.641337
66,38476,3,70,10964.73,1,6.194985909,11,0,1,0,1,0,1,1,265.146969,1007.425553
67,13547,1,78,22365.28,1,10.80393657,19,1,0,0,0,0,0,1,207.609354,1323.028419
68,7801,0,48,52636.6,0,7.903964267,17,0,1,0,1,1,0,1,152.462354,1808.730555
69,17823,1,63,19048.13,1,11.27443693,18,2,1,1,0,0,0,1,200.132293,1120.241472
70,20269,4,60,42784.82,1,6.129509309,12,0,0,0,0,1,1,1,212.655686,2676.789803
71,30225,0,87,77996.88,1,7.969277912,17,0,0,1,1,0,1,1,255.119794,1268.086909
72,5760,3,54,47507.3,0,4.368120492,9,0,0,0,0,0,0,0,134.950905,822.6771666
73,61,3,35,7724.73,1,6.258356398,9,0,1,0,0,0,1,1,255.137219,1577.915603
74,34359,1,70,1509.52,1,12.92303286,16,0,0,0,1,0,0,0,214.966286,648.7471776
75,24693,2,67,81124.71,1,12.43301273,13,0,0,0,1,1,1,1,270.160419,1648.102673
76,4235,4,46,11795.57,1,7.607663559,11,0,0,0,0,0,1,1,200.165175,768.0874545
77,2193,1,50,74794.84,0,7.442789019,10,2,1,0,0,0,0,0,149.937833,2426.030626
78,273,1,24,19038.78,1,13.04429298,18,1,0,0,1,0,0,1,240.114868,2660.503932
79,14557,0,20,79167.77,0,14.89762162,17,0,0,0,0,1,0,0,127.495766,1129.549713
80,17653,1,29,37428.26,1,13.79387475,13,2,1,0,0,0,0,1,187.609354,1771.286466
81,285,0,31,45148.38,0,15.66367593,6,1,0,1,1,0,1,0,169.992756,943.3391244
82,320,5,72,74855.47,0,8.513410306,13,3,0,0,1,0,1,0,192.456745,1907.226083
83,2863,4,71,45323.86,0,8.265002035,10,1,0,0,0,1,1,0,120.004928,1885.939118
84,1206,2,32,71596.14,0,8.6026551,11,0,0,0,1,1,1,0,195.006206,631.7435653
85,35279,0,33,10389.95,0,6.03993035,15,1,0,0,0,1,0,1,139.95684,562.6095219
86,1049,3,67,19657.14,0,14.6040829,12,3,0,1,0,0,1,0,114.983787,593.8572264
87,32203,0,66,27827.03,1,7.274007029,13,1,1,0,1,0,0,1,207.638588,777.3060718
88,25576,4,21,15609.05,1,8.913898759,12,4,0,0,0,0,0,1,187.609354,1393.202392
89,319,0,61,19815.63,0,11.59313893,13,0,2,0,0,0,0,0,134.950905,393.6524652
90,55519,0,75,58482.9,1,8.294186076,13,0,0,0,1,0,0,0,192.470522,409.7486664
91,15210,0,63,41656.53,1,15.19664016,9,1,0,0,0,0,0,1,222.628057,2138.107161
93,14479,2,32,15841.19,1,6.942719201,7,1,1,0,1,0,0,0,159.979358,2481.385603
94,4654,0,76,81127.41,0,9.834012571,7,1,0,0,1,0,1,0,184.979684,2233.567181
95,26320,0,29,24270.88,1,11.0596826,13,0,0,0,0,1,0,1,245.145743,1158.91369
96,35,0,83,54466.33,0,8.834079073,17,0,1,0,0,0,0,0,124.97808,529.40733
98,17600,5,80,103311.26,0,9.394961367,15,1,0,0,0,1,1,0,162.500692,2056.386979
99,3324,0,20,40211.04,0,14.4754365,11,1,1,0,1,0,0,1,182.467607,1067.373076
100,55122,0,69,58077.38,1,10.68311773,12,1,1,0,0,0,1,1,222.660939,1806.135733
101,4038,1,32,43466.35,0,13.79409442,10,1,0,0,1,0,0,1,182.467607,1397.701335
102,31927,0,53,23289.77,1,12.40165307,19,1,0,0,1,0,0,1,220.161527,808.4305471
103,19904,2,25,49158.49,0,10.24782033,9,1,0,0,0,0,0,0,169.937833,1886.531937
104,13000,0,69,3805.84,1,14.86100819,16,0,2,0,1,0,0,1,204.963371,2294.781131
105,1444,3,71,52616.27,1,6.716953195,10,2,1,0,1,0,0,1,204.963371,826.3438621
106,2158,3,53,30550.42,1,8.124258176,18,1,0,0,1,1,0,1,245.128318,2072.564168
107,1800,2,56,12154.01,1,14.60903837,11,0,2,0,1,0,1,1,172.473314,1436.793746
108,30,0,42,30649.31,1,12.65015936,9,2,2,0,1,0,1,0,172.456745,1963.332683
109,3682,3,33,31417.33,1,12.0281501,14,0,0,0,1,0,1,1,194.976769,1324.164906
110,41733,1,47,55861.19,0,15.68043093,16,1,0,0,0,0,0,1,137.439154,704.9375603
111,630,1,48,9044.26,1,11.30421466,18,3,1,0,1,0,0,0,192.470522,888.6517305
112,15383,0,63,25381.66,1,10.26646787,10,1,0,0,0,0,1,0,159.951231,377.0810282
113,257,1,40,65064.31,0,7.56618217,9,0,0,0,0,0,0,0,112.455141,1606.489936
114,1012,0,67,12527.51,1,10.40677369,14,2,0,1,0,1,1,1,174.961766,1431.409396
115,20327,0,56,35499.06,0,7.146124361,13,3,0,1,0,1,0,1,162.452604,2253.85247
116,69,6,24,26282.4,0,9.807530479,10,1,0,1,1,0,0,0,137.483594,1353.29384
117,1130,2,79,51237.28,0,10.61217014,12,3,0,0,1,0,0,1,275.133571,1701.457566
118,4210,3,61,64222.21,1,5.785085772,16,1,1,0,0,0,0,0,127.442069,1290.737183
119,155,0,38,11014.98,1,9.062879297,11,2,0,1,0,0,1,1,210.138,1403.270091
120,37711,4,28,21172.49,0,16.54443477,13,1,0,1,1,0,0,0,147.456419,2603.903672
121,1800,3,44,26130.78,1,4.539566699,8,2,0,0,1,0,0,1,242.657291,1256.287854
122,8028,1,65,36478.21,0,7.251198724,14,2,0,1,0,0,1,0,114.983787,980.9935923
123,31859,3,35,54533.63,0,8.943293567,15,2,1,0,0,0,0,1,187.656013,1347.869205
124,16101,2,31,37103.18,0,12.57884215,9,3,1,0,1,0,0,1,149.991327,1127.267848
125,20449,2,34,74679.84,0,11.64836306,11,0,1,1,1,0,0,0,124.960655,1269.836202
126,161,2,68,95028.57,1,6.076260652,13,0,0,0,1,0,0,1,220.161527,1038.745378
127,29210,0,62,34281.1,0,11.75681641,9,0,0,0,1,0,1,0,172.48852,1531.155367
128,821,0,52,36240.81,0,9.173739977,14,0,1,0,0,1,1,0,120.004928,991.2441024
129,5846,5,32,9515.64,1,8.353693631,11,4,0,0,1,0,0,1,220.161527,1244.296865
132,25328,1,70,77531.43,1,2.310584634,14,1,0,0,1,0,1,1,184.949594,1442.974877
133,3736,3,41,87354.99,1,5.290318715,10,0,0,0,1,0,0,1,252.637807,1577.208717
134,610,2,59,76567.85,0,5.258274954,8,1,0,0,0,0,0,0,112.455141,886.9398744
135,34,1,46,30663.52,0,7.157580014,12,0,0,0,1,0,0,0,179.979358,1065.06443
137,1135,1,89,31600.92,0,4.978546291,12,2,0,0,1,0,1,1,197.472533,1404.435534
138,1750,4,75,74638.78,1,6.547676875,10,3,1,0,1,1,0,1,255.155493,1925.911722
139,1076,0,26,32652.3,1,7.410590719,9,0,1,1,1,0,1,1,174.976769,1805.011298
140,1692,4,25,63650.54,0,11.39765385,8,1,1,0,1,0,1,0,169.992756,700.7343179
141,43123,1,84,28622.6,1,11.29945603,14,1,0,0,1,0,0,1,192.440432,513.237305
142,2396,3,69,50252.79,0,11.30748265,15,0,2,0,0,0,0,0,182.460772,717.3876564
143,12914,3,31,19800.81,0,10.31551212,11,2,1,0,0,0,0,0,139.965008,1313.492851
146,828,1,74,48715.53,1,11.9664542,17,1,0,0,0,0,1,1,210.138,724.7803356
147,98,1,49,23204.98,0,10.18046877,10,2,0,0,0,0,1,0,104.964303,1829.270014
148,15671,1,47,35302.52,1,14.01485542,16,1,1,0,1,0,0,1,262.610632,1668.199119
149,2229,4,20,54895.16,1,14.62784306,17,2,0,0,0,1,1,0,152.488401,1124.353152
150,4982,2,26,60398.06,1,10.90517581,10,2,0,0,1,1,1,0,174.974431,1316.239744
151,18575,2,72,8115.88,0,8.894475174,8,0,1,0,0,0,1,1,220.118516,1637.201426
152,15715,1,41,33858.66,0,10.50187888,13,0,0,1,0,1,0,1,162.452604,951.8524406
153,6252,3,26,29950.47,1,12.34250072,12,2,1,0,1,1,0,0,184.961033,1248.097652
154,3834,4,55,49421.69,0,10.29380879,12,3,0,0,1,1,0,0,217.483972,2220.255405
155,19556,1,46,11061.05,0,8.512650562,11,2,1,0,0,0,1,1,220.118516,1669.202417
156,47732,0,87,15388.32,1,7.82671592,13,1,2,1,0,0,1,1,187.642236,990.0555076
157,86926,1,39,20624.31,0,6.985590245,9,2,1,1,0,1,1,1,174.961766,967.9819136
158,69,0,81,47877.81,1,11.40449185,12,0,0,0,1,0,0,1,252.637807,2190.259876
159,15033,0,83,46154.17,0,10.44249511,13,1,0,0,0,1,1,0,130.024412,1445.752781
161,1879,3,87,10403.59,1,10.68024546,13,2,1,0,1,0,0,1,182.467607,1296.481055
162,358,3,76,22412.6,0,10.62439366,13,0,0,0,0,0,0,1,139.934918,1195.393037
163,32653,6,25,19476.27,1,10.91642397,13,1,0,1,0,0,1,1,200.165175,1700.121992
164,10398,3,34,96382.76,1,8.580626195,14,0,0,0,0,1,1,1,202.682861,2120.673828
165,2081,1,46,28022.56,0,8.996933306,11,0,1,0,0,0,1,0,159.951231,1238.421347
166,3410,1,73,35478.4,0,7.602570192,7,2,0,0,0,0,1,1,149.948316,847.110799
168,1917,3,58,87537.25,0,9.591529444,14,0,1,0,1,0,1,0,137.469817,1623.045026
169,2482,4,70,34112.1,1,13.36027908,12,0,0,0,0,0,0,1,187.656013,1479.730181
170,902,0,53,32653.51,1,4.372034777,7,1,0,0,1,1,0,1,164.985293,2144.735024
172,3066,0,38,49277.48,0,12.81260566,10,1,0,0,1,1,0,1,172.462354,1974.780054
173,13365,0,26,37297.82,1,3.767298987,11,0,0,0,1,0,1,1,204.949594,1261.177198
174,207,2,44,14928.96,0,17.56798903,14,2,0,0,0,0,0,0,147.473844,939.7181324
175,689,3,66,24702.68,1,11.2369761,11,3,2,1,0,0,1,1,162.471255,1357.062854
176,99,1,58,87535.71,0,8.54892416,15,0,1,0,0,1,0,1,119.95684,1456.887443
177,509,6,51,63166.87,1,6.094109902,11,2,0,0,0,0,0,1,207.609354,937.5863866
178,933,4,34,11856.81,0,13.9077275,14,1,0,0,1,0,1,0,194.999168,830.1193011
179,4991,0,87,27326.79,0,7.905333122,14,1,0,0,0,1,0,1,174.975543,737.8564608
180,1579,1,67,12779.23,1,12.53830949,9,2,1,0,1,0,0,1,240.114868,1781.854862
181,19669,4,59,25519.91,1,12.8219418,12,1,1,0,1,0,0,1,240.114868,2464.577489
182,530,7,23,46871.21,0,8.941553742,10,0,0,0,0,0,1,0,139.983006,2392.203409
183,1469,0,42,77383.72,1,10.51043963,12,0,0,0,1,0,0,1,240.114868,1664.19271
184,324,1,24,47395.3,1,11.86384439,11,3,0,0,1,1,1,0,209.993134,1433.616898
185,10482,2,81,90977.74,0,10.76051016,10,3,0,0,1,0,0,0,147.456419,823.4933243
187,1919,1,51,47726.25,1,8.174495258,8,5,0,0,0,1,0,0,152.502178,590.7765801
188,241,1,70,51721.64,0,10.05388383,12,2,0,0,0,0,0,0,79.978861,418.6206885
189,673,0,87,41531.03,0,7.045552801,13,2,0,0,0,1,0,0,142.482694,1181.991846
190,2649,0,46,33504.8,0,8.957297136,14,1,0,0,0,0,0,1,117.439154,733.4036934
192,1598,4,44,11518.58,1,13.41209586,11,3,0,1,0,1,0,0,152.455519,1205.956363
193,6658,0,33,31065.17,0,14.89835355,9,2,1,0,0,1,1,1,174.961766,1261.032763
194,823,0,19,32097.17,1,13.62135046,14,1,1,0,1,0,0,0,202.443347,741.7766988
195,13287,1,31,23424.88,1,14.95912113,12,2,1,0,0,1,0,1,210.12704,932.6084359
196,2394,1,34,35988.24,0,11.741245,9,0,0,0,0,1,0,0,139.979239,1708.614019
197,9295,4,43,35539.7,0,7.765121655,11,0,1,0,0,0,0,0,139.965008,1363.58603
198,315,1,82,27959.34,0,7.130431693,5,1,0,0,0,0,0,1,137.439154,472.1057019
199,2998,6,36,52232.97,0,8.359515606,13,1,0,0,0,0,0,0,102.474625,558.2340556
200,178,1,48,18198.59,1,9.42799205,17,3,0,0,1,0,0,1,252.637807,815.194738
201,1423,0,52,16851.94,1,10.95510131,11,0,1,0,1,0,1,0,194.999168,2007.303617
202,1935,1,35,16440.05,1,10.8621377,16,1,0,0,1,0,0,1,242.610632,2088.48083
203,90517,3,83,44223.58,0,7.352533505,15,2,0,0,0,0,0,1,127.458638,1430.761492
204,239,0,20,33343.73,0,11.38860234,14,1,0,0,0,1,0,1,129.976324,822.3008694
205,1003,0,25,30664.56,1,9.580144161,13,4,0,0,1,0,0,1,240.114868,2059.200998
206,2817,0,88,31934.04,0,10.79191234,18,1,0,0,0,1,0,1,174.975543,617.542543
207,884,1,54,26676.4,0,9.982341124,8,0,0,0,1,0,0,1,169.944668,758.4775985
208,11245,1,46,67211.95,1,6.511921085,12,0,1,0,1,1,0,0,162.511928,894.6733856
209,19215,2,75,31136.77,0,10.70500472,14,1,0,0,0,1,0,1,119.95684,1639.898269
210,2733,5,66,40660.84,0,11.58410296,11,0,1,0,0,0,0,1,137.439154,710.7541633
211,1204,0,51,10606.59,0,8.01651453,12,1,1,1,1,1,1,1,207.46728,1092.226042
212,62430,3,81,92447.71,0,15.12148226,12,0,0,0,1,1,0,0,149.974105,757.0097075
213,1028,0,75,13612.16,0,12.63643487,18,0,0,0,0,1,1,1,225.178625,2301.850721
214,28666,3,54,13765.39,1,16.68178185,8,2,0,0,1,0,0,1,232.637807,2401.406545
215,44451,2,73,53019.98,0,11.08409914,10,2,1,0,0,0,1,1,117.472036,1535.788894
216,266,0,53,42523.02,0,12.99948061,12,1,1,0,1,0,1,0,137.469817,1536.589816
218,1994,5,41,19097.94,0,7.369412654,13,0,1,0,1,0,0,0,124.960655,2409.195918
219,1869,1,59,11301.4,0,9.84688181,11,0,0,1,1,1,1,1,199.990219,1342.862457
221,21792,1,32,22533.05,1,13.53989069,13,1,1,0,0,1,0,1,245.145743,1204.479468
222,8770,3,51,19974.4,1,5.458806701,10,2,0,0,1,1,0,1,255.155493,1616.908193
223,3378,1,46,45146.99,0,12.0772854,11,1,1,0,0,0,0,0,134.950905,345.0099528
224,1748,3,37,10330.1,1,6.918984305,9,1,0,0,1,0,0,0,159.947583,1427.088655
225,1598,0,53,15281.28,0,14.84155042,8,3,0,0,1,1,1,0,139.987503,1452.334634
226,4335,1,62,11217.96,1,12.66717474,15,2,0,0,1,0,0,0,179.947583,795.4957358
227,2299,1,57,17516.0,0,11.43786808,13,0,1,0,0,0,0,0,127.473844,1333.894229
228,12275,2,80,20566.64,1,6.915228797,10,1,0,0,1,0,0,1,232.637807,1402.20491
229,1065,1,43,36128.68,1,11.30215199,12,1,1,0,1,1,1,0,195.006206,1447.196935
230,24438,1,35,52129.84,1,9.513085538,10,1,0,1,1,0,1,1,267.642733,1662.510936
231,47974,1,63,25985.06,0,9.497106973,11,1,0,0,0,1,0,0,149.959755,1707.641161
232,788,1,63,10909.79,1,12.21852573,15,2,0,0,1,0,0,1,220.114868,2181.752793
233,16882,1,27,41151.14,0,8.272244827,11,3,0,0,1,0,0,0,157.483594,1575.683555
234,165,4,19,64063.23,0,10.24857935,14,3,0,0,0,0,1,0,127.474951,1029.489242
235,109,1,40,20414.07,0,6.743431946,12,1,1,1,0,0,0,1,139.981577,2370.184448
236,11116,0,42,41412.1,1,12.4703522,8,1,0,0,1,0,0,1,255.133571,3309.919373
237,1083,0,40,99195.08,1,7.913676085,16,1,0,0,1,0,0,0,194.966286,1623.273925
238,15604,0,72,18408.94,0,9.362849722,12,2,0,1,1,0,1,0,179.965581,1146.199921
239,37,3,61,15930.45,1,17.41324465,10,0,1,1,1,0,1,1,174.976769,2229.268031
240,57344,0,71,25611.29,0,13.43700846,11,0,0,0,0,0,0,1,187.609354,2512.36494
241,39035,4,68,9428.86,0,11.95206054,7,0,1,0,0,0,0,0,169.937833,1297.388488
242,27698,1,88,3810.16,0,4.550449856,17,2,1,0,1,1,0,0,115.002061,283.39178
244,3639,1,63,51992.79,1,10.2863601,10,1,1,0,0,0,0,1,207.609354,849.1972541
245,2950,0,53,79993.43,0,11.17709222,12,0,2,0,1,0,0,0,147.503078,2131.359827
246,15041,0,41,37706.85,0,14.12145884,14,0,0,1,0,0,1,1,200.118516,1464.035068
247,5188,2,63,22466.53,0,7.799780591,13,1,0,0,1,1,0,0,137.497825,1381.538548
248,1317,4,56,16608.27,0,7.122072827,14,0,0,0,1,0,0,0,134.980139,1248.626874
249,4755,2,27,25146.14,0,9.329902365,6,0,0,1,0,0,0,0,147.442069,558.3751762
250,3658,2,47,58882.35,0,7.509389052,18,0,0,0,1,1,1,1,197.494455,676.2178659
251,30733,4,42,31809.46,0,15.06990851,14,2,0,0,1,1,1,0,162.529926,1641.938696
252,2431,0,72,27235.54,1,9.321265424,14,0,0,0,0,0,0,1,210.151777,1811.964373
253,529,3,58,70476.82,1,3.564651961,9,2,0,0,1,0,1,0,159.965581,1066.632555
254,346,0,33,49396.09,1,7.779622319,12,3,0,0,0,1,0,1,190.173699,1514.131966
255,110,6,87,35060.94,1,10.74985413,8,0,1,0,0,1,0,1,202.649979,1189.549671
256,34993,0,34,66055.53,0,7.738373361,11,2,0,0,0,0,0,0,134.950905,1114.020282
257,36260,7,76,91335.76,0,12.01267388,11,1,0,0,0,1,1,0,142.500692,1078.291303
259,41839,0,47,75042.1,1,3.11231175,12,1,1,0,1,0,1,1,232.62403,1489.077486
260,16546,7,84,91001.1,1,8.284591121,8,1,0,0,0,0,0,1,242.628057,1649.312808
261,4,4,19,44426.28,1,6.269792565,20,0,0,0,1,0,0,0,202.443347,905.1959227
262,32603,0,87,63284.16,0,9.803905459,16,1,1,0,1,0,1,0,124.993537,684.6318529
263,607,3,75,14039.21,0,8.571019738,5,1,0,0,1,0,1,1,174.976769,1662.533055
264,1067,0,37,12453.24,1,10.00344746,14,0,1,0,0,1,0,1,225.145743,2436.57146
265,7655,1,52,15934.12,1,4.255224068,12,0,1,0,1,0,0,1,275.133571,2677.74041
266,5981,0,24,48314.4,1,11.2714618,14,1,0,0,1,0,1,1,287.642733,1779.309609
267,655,4,83,5511.77,1,8.477982632,19,0,0,0,0,1,0,1,177.65076,1494.716409
268,16395,3,19,10701.11,1,9.753145376,19,0,1,0,1,0,0,1,220.114868,1740.72604
269,198,1,78,10767.15,1,14.57387887,13,0,0,0,1,1,1,0,197.516854,704.7552669
270,3473,4,61,13493.63,0,13.13441554,15,1,1,0,1,1,1,0,194.974431,558.4710883
271,2992,0,38,25071.58,1,11.62771397,15,0,0,0,0,0,0,1,175.133074,1282.279049
272,2914,0,79,368.5,1,6.114030983,11,0,1,0,1,1,0,0,147.478341,287.8189836
273,617,0,49,27976.63,0,12.76603868,8,2,1,0,1,0,0,0,134.980139,1129.529441
274,444,0,41,56154.5,0,6.348897952,10,3,0,0,1,0,0,0,157.483594,394.0148722
275,48969,0,75,62145.59,0,16.10939031,9,2,1,0,1,1,1,1,255.141716,1302.230824
276,17307,1,60,6517.94,0,7.151598137,13,0,0,0,0,0,0,1,137.439154,970.4682919
277,25764,1,70,19090.03,0,4.575363954,13,0,0,0,0,1,1,1,235.159141,2522.88913
278,671,0,23,13194.33,1,13.42263904,9,0,0,0,0,0,1,0,147.460067,682.9871863
279,3064,2,84,63963.36,1,3.559550725,8,1,0,1,1,0,0,1,232.637807,1537.109931
280,25619,1,63,34447.89,1,5.971214226,13,3,0,0,0,0,0,1,137.439154,1961.923965
281,22547,2,88,36315.29,0,7.287197615,16,3,0,0,0,0,1,1,129.948316,676.1747964
282,545,0,44,5009.07,1,11.30031859,18,3,0,0,1,1,0,1,242.632554,929.2607767
283,398,1,49,14202.72,1,10.26519974,17,0,0,1,0,0,0,1,187.609354,1849.484087
285,32084,1,69,36453.31,0,10.96553586,8,1,0,0,1,0,1,0,159.980465,1898.877878
286,5148,2,60,11250.71,1,10.93514898,16,1,1,0,1,0,0,0,159.947583,992.3501481
287,2526,0,57,65951.35,0,2.98020454,11,0,0,1,0,0,1,0,137.487242,994.6354785
289,703,0,26,41879.1,0,12.29165611,11,0,1,0,0,0,0,1,117.439154,1775.838153
290,7334,0,85,17080.57,1,10.32744663,10,0,1,0,1,1,1,0,209.993134,1297.050577
291,61045,2,82,68122.23,0,9.22949351,18,0,0,0,1,1,0,0,169.974105,1746.405243
292,117,2,40,39468.79,0,10.02758972,11,1,1,0,1,1,1,0,197.470195,1698.465833
294,26659,1,71,84301.44,1,10.97274944,10,0,1,0,1,0,1,0,207.475448,1886.153328
295,12478,2,48,42469.81,0,11.87042081,14,1,0,0,1,1,0,0,160.00128,958.6989908
296,11294,0,24,75458.79,0,9.531063533,10,1,0,0,1,1,0,0,147.478341,1446.203986
297,3264,3,79,60345.9,0,8.798065013,11,1,0,0,0,0,0,0,127.488728,774.6125757
298,4926,4,82,76066.77,0,15.27146446,12,2,1,0,0,0,0,1,139.981577,1939.811149
299,473,2,68,42755.27,1,7.014445177,8,0,1,1,0,0,0,1,220.132293,1165.564309
300,20925,5,77,76874.25,0,10.62019312,10,0,0,0,1,0,1,0,214.952509,750.8768234
301,114,1,19,41075.64,0,10.04585562,14,1,1,1,0,0,1,0,139.99789,1292.3206
302,715,1,80,63095.62,1,10.88047174,15,1,2,1,1,1,1,1,270.160419,2335.130986
303,110,4,31,82131.87,1,9.975481565,13,1,0,0,1,0,0,0,202.443347,769.8534863
304,19869,2,62,28502.33,0,7.248946018,10,1,2,0,0,0,1,0,172.47417,1729.837284
305,13768,4,80,9450.84,1,9.53003591,16,1,1,0,1,0,0,1,137.468388,649.3891796
306,604,1,36,44977.06,0,6.592317798,16,3,0,0,0,0,0,1,104.962874,823.0046464
