Zip,Age,Gender,Churn,Contract,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Month
74455,26,Female,No,One year,Yes,3,165.0,91.0
61734,25,Male,No,Month-to-Month,No,2,195.0,59.0
18618,42,Female,Yes,Month-to-Month,Yes,8,152.5,118.0
85925,81,Male,No,Month-to-Month,No,12,92.5,91.0
27805,43,Female,No,Month-to-Month,Yes,10,127.5,90.0
95245,63,Male,No,Two Year,No,8,185.0,131.0
60090,70,Female,Yes,Month-to-Month,Yes,4,265.1,84.0
64772,78,Male,Yes,Month-to-Month,No,11,207.6,110.0
79364,48,Male,No,Month-to-Month,No,12,152.5,151.0
82716,63,Female,Yes,Month-to-Month,Yes,2,200.1,93.0
97470,60,Female,Yes,One year,No,24,212.7,223.0
44133,87,Male,Yes,One year,Yes,4,255.1,106.0
43907,54,Female,No,Two Year,Yes,8,135.0,69.0
59242,35,Male,Yes,Month-to-Month,Yes,9,255.1,131.0
92131,70,Male,Yes,Month-to-Month,No,2,215.0,54.0
90303,67,Female,Yes,One year,Yes,5,270.2,137.0
20119,46,Female,Yes,Two Year,Yes,1,200.2,64.0
42274,50,Male,No,Two Year,No,20,149.9,202.0
62631,24,Female,Yes,Month-to-Month,Yes,25,240.1,222.0
56345,20,Male,No,Month-to-Month,Yes,10,127.5,94.0
32804,29,Female,Yes,One year,No,10,187.6,148.0
15348,31,Male,No,Month-to-Month,No,8,170.0,79.0
49881,72,Female,No,Two Year,No,19,192.5,159.0
42757,71,Male,No,Month-to-Month,Yes,14,120.0,157.0
67448,32,Female,No,One year,No,2,195.0,53.0
22306,33,Male,No,One year,Yes,2,140.0,47.0
17255,67,Male,No,Month-to-Month,Yes,5,115.0,49.0
60636,66,Female,Yes,Month-to-Month,No,4,207.6,65.0
6704,21,Female,Yes,Month-to-Month,Yes,4,187.6,116.0
96117,61,Female,No,One year,Yes,4,135.0,33.0
27410,75,Female,Yes,Month-to-Month,Yes,2,192.5,34.0
2771,63,Female,Yes,Month-to-Month,Yes,14,222.6,178.0
49274,68,Female,No,Two Year,Yes,3,162.5,37.0
71104,32,Male,Yes,Two Year,No,20,160.0,207.0
33576,76,Male,No,Two Year,Yes,18,185.0,186.0
75212,29,Female,Yes,Month-to-Month,Yes,5,245.1,97.0
60926,83,Female,No,Month-to-Month,No,7,125.0,44.0
60912,23,Male,Yes,Month-to-Month,No,13,187.5,163.0
28301,80,Male,No,Month-to-Month,Yes,20,162.5,171.0
58784,20,Male,No,One year,Yes,7,182.5,89.0
35242,69,Male,Yes,Month-to-Month,Yes,14,222.7,151.0
42327,32,Male,No,One year,Yes,11,182.5,116.0
11417,53,Female,Yes,Month-to-Month,Yes,3,220.2,67.0
26201,25,Male,No,Two Year,Yes,17,169.9,157.0
64080,69,Male,Yes,Month-to-Month,Yes,23,205.0,191.0
68065,71,Male,Yes,Month-to-Month,No,4,205.0,69.0
10511,53,Female,Yes,Month-to-Month,No,11,245.1,173.0
79537,42,Male,Yes,Month-to-Month,No,15,172.5,164.0
35966,33,Male,Yes,Month-to-Month,Yes,9,195.0,110.0
20120,47,Male,No,Month-to-Month,Yes,5,137.4,59.0
55703,48,Female,Yes,Two Year,Yes,7,192.5,74.0
54868,63,Female,Yes,Month-to-Month,No,3,160.0,31.0
1243,40,Male,No,Month-to-Month,Yes,18,112.5,134.0
14822,67,Male,Yes,Month-to-Month,Yes,13,175.0,119.0
24151,56,Female,No,Month-to-Month,No,23,162.5,188.0
40334,24,Female,No,One year,Yes,6,137.5,113.0
68423,79,Female,No,Two Year,Yes,13,275.1,142.0
14891,61,Male,Yes,Month-to-Month,No,7,127.4,108.0
29844,38,Male,Yes,Two Year,No,9,210.1,117.0
91001,28,Female,No,Two Year,Yes,22,147.5,217.0
52218,44,Male,Yes,One year,Yes,5,242.7,105.0
16055,65,Male,No,Month-to-Month,Yes,10,115.0,82.0
33904,35,Female,No,Month-to-Month,Yes,8,187.7,112.0
44485,31,Female,No,Two Year,No,8,150.0,94.0
33525,34,Male,No,Two Year,No,7,125.0,106.0
17763,68,Male,Yes,Month-to-Month,Yes,5,220.2,87.0
6066,62,Male,No,Two Year,No,10,172.5,128.0
61052,52,Male,No,Two Year,No,4,120.0,83.0
60954,32,Male,Yes,Month-to-Month,Yes,5,220.2,104.0
44621,47,Female,Yes,Month-to-Month,Yes,6,140.0,97.0
36277,66,Female,No,Month-to-Month,Yes,3,160.0,48.0
3051,70,Female,Yes,Month-to-Month,No,9,184.9,120.0
13131,41,Male,Yes,Month-to-Month,Yes,10,252.6,131.0
56524,59,Male,No,Month-to-Month,Yes,9,112.5,74.0
19955,46,Male,No,Two Year,Yes,8,180.0,89.0
27831,70,Male,No,One year,Yes,6,202.4,79.0
75451,89,Male,No,One year,Yes,7,197.5,117.0
73669,75,Female,Yes,One year,Yes,15,255.2,160.0
40827,26,Female,Yes,Month-to-Month,No,12,175.0,150.0
60150,25,Female,No,Two Year,Yes,4,170.0,58.0
77901,84,Female,Yes,Month-to-Month,Yes,3,192.4,43.0
7439,69,Male,No,Month-to-Month,No,3,182.5,60.0
79556,31,Male,No,One year,No,5,140.0,109.0
55107,76,Male,Yes,Month-to-Month,Yes,3,137.5,68.0
8551,75,Male,Yes,Month-to-Month,No,3,217.5,74.0
10915,49,Male,No,Two Year,Yes,16,105.0,152.0
15057,47,Male,Yes,Month-to-Month,No,12,262.6,139.0
13616,20,Female,Yes,Month-to-Month,No,7,152.5,94.0
97467,26,Female,Yes,One year,No,6,175.0,110.0
91506,72,Female,No,One year,Yes,15,220.1,136.0
6119,41,Male,No,Month-to-Month,No,6,162.5,79.0
71373,26,Female,Yes,Month-to-Month,Yes,3,185.0,104.0
39338,55,Male,No,One year,Yes,19,217.5,185.0
92377,46,Female,No,Two Year,No,14,220.1,139.0
60645,87,Female,Yes,One year,Yes,8,187.6,83.0
77573,39,Male,No,Two Year,Yes,6,175.0,81.0
40334,81,Male,Yes,Two Year,Yes,20,252.6,183.0
11798,83,Male,No,One year,No,15,130.0,120.0
60145,50,Female,Yes,Month-to-Month,No,3,162.5,44.0
56036,87,Female,Yes,Month-to-Month,Yes,12,182.5,108.0
83126,76,Female,No,Two Year,Yes,6,139.9,100.0
43613,25,Female,Yes,Two Year,No,11,200.2,142.0
83333,34,Male,Yes,Two Year,No,16,202.7,177.0
58257,46,Female,No,Two Year,No,13,160.0,103.0
36351,73,Female,No,Month-to-Month,Yes,8,149.9,71.0
22972,57,Female,Yes,Month-to-Month,Yes,8,150.0,93.0
29613,58,Male,No,Two Year,No,12,137.5,135.0
13812,70,Male,Yes,One year,Yes,10,187.7,123.0
74832,53,Male,Yes,Month-to-Month,No,16,165.0,179.0
11580,31,Male,Yes,Month-to-Month,No,14,160.0,127.0
50421,38,Female,No,One year,Yes,19,172.5,165.0
71302,26,Female,Yes,Two Year,No,10,204.9,105.0
78564,44,Male,No,One year,No,7,147.5,78.0
91210,66,Female,Yes,Month-to-Month,No,13,162.5,113.0
36559,58,Male,No,Two Year,No,9,120.0,121.0
58656,51,Female,Yes,One year,No,4,207.6,78.0
56450,34,Female,No,One year,Yes,3,195.0,69.0
27343,67,Female,Yes,Month-to-Month,No,16,240.1,148.0
40863,23,Male,No,One year,Yes,17,140.0,199.0
87553,42,Male,Yes,Month-to-Month,Yes,13,240.1,139.0
13418,24,Female,Yes,Two Year,Yes,5,210.0,119.0
48875,81,Female,No,Two Year,No,4,147.5,69.0
75631,78,Male,No,Month-to-Month,Yes,8,107.5,122.0
18214,51,Female,Yes,Month-to-Month,Yes,2,152.5,49.0
14856,70,Female,No,One year,No,6,80.0,35.0
44653,87,Female,No,Two Year,Yes,7,142.5,98.0
31749,46,Female,No,One year,Yes,1,117.4,61.0
67443,56,Female,Yes,Month-to-Month,Yes,12,220.1,143.0
41183,44,Male,Yes,Two Year,Yes,3,152.5,100.0
79339,33,Female,No,Month-to-Month,No,10,175.0,105.0
54545,19,Female,Yes,Month-to-Month,Yes,4,202.4,62.0
25504,31,Male,Yes,Two Year,No,3,210.1,78.0
55783,34,Female,No,One year,No,16,140.0,142.0
43019,43,Male,No,Two Year,No,6,140.0,114.0
99124,82,Male,No,Month-to-Month,Yes,4,137.4,39.0
4619,36,Female,No,Month-to-Month,No,3,102.5,47.0
56227,48,Male,Yes,Month-to-Month,Yes,1,252.6,68.0
22959,52,Male,Yes,Month-to-Month,Yes,19,195.0,167.0
60639,83,Female,No,Month-to-Month,No,14,127.5,119.0
67438,20,Male,No,Two Year,Yes,4,130.0,69.0
56228,25,Female,Yes,One year,No,18,240.1,172.0
48857,88,Male,No,Month-to-Month,Yes,3,175.0,51.0
21913,54,Female,No,One year,No,6,169.9,63.0
44890,46,Male,Yes,Month-to-Month,No,5,162.5,75.0
10805,75,Female,No,Month-to-Month,Yes,12,120.0,137.0
54872,66,Male,No,Month-to-Month,No,5,137.4,59.0
22715,51,Female,No,Two Year,No,8,207.5,91.0
95014,81,Female,No,One year,Yes,1,150.0,63.0
83118,75,Male,No,Month-to-Month,Yes,20,225.2,192.0
1089,54,Female,Yes,Month-to-Month,Yes,16,232.6,200.0
87031,73,Male,No,Month-to-Month,No,16,117.5,128.0
79781,53,Male,No,Month-to-Month,Yes,12,137.5,128.0
33756,33,Female,No,Month-to-Month,No,16,220.1,179.0
44866,41,Female,No,Two Year,No,21,125.0,201.0
77837,59,Female,No,One year,No,5,200.0,112.0
28560,23,Female,Yes,Month-to-Month,No,3,159.9,87.0
48134,32,Female,Yes,One year,No,5,245.1,100.0
47872,51,Female,Yes,Month-to-Month,No,10,255.2,135.0
33306,46,Female,No,Two Year,No,3,135.0,29.0
71973,37,Male,Yes,Month-to-Month,No,7,159.9,119.0
41844,53,Male,No,Month-to-Month,Yes,10,140.0,121.0
71423,62,Male,Yes,Month-to-Month,No,6,179.9,66.0
15486,57,Female,No,Month-to-Month,Yes,9,127.5,111.0
43146,80,Female,Yes,One year,No,5,232.6,117.0
47943,43,Male,Yes,Month-to-Month,Yes,12,195.0,121.0
22180,35,Male,Yes,Month-to-Month,Yes,5,267.6,139.0
33321,63,Female,No,Two Year,No,18,150.0,142.0
50278,63,Female,Yes,Two Year,Yes,15,220.1,182.0
55746,27,Female,No,Month-to-Month,No,16,157.5,131.0
73441,19,Female,No,Two Year,No,8,127.5,86.0
50165,40,Female,No,Two Year,Yes,24,140.0,198.0
7936,42,Male,Yes,Month-to-Month,Yes,26,255.1,276.0
55053,40,Female,Yes,One year,Yes,9,195.0,135.0
57350,72,Female,No,Month-to-Month,Yes,13,180.0,96.0
50593,61,Male,Yes,Month-to-Month,Yes,17,175.0,186.0
60630,71,Male,No,Month-to-Month,No,20,187.6,209.0
77092,68,Female,No,Month-to-Month,Yes,12,169.9,108.0
93280,88,Female,No,Month-to-Month,No,3,115.0,24.0
88262,64,Male,Yes,Month-to-Month,No,14,152.5,162.0
12526,63,Female,Yes,Month-to-Month,Yes,5,207.6,71.0
65674,53,Female,No,Month-to-Month,No,23,147.5,178.0
39074,41,Male,No,Two Year,Yes,6,200.1,122.0
16239,63,Male,No,One year,Yes,13,137.5,115.0
58042,56,Female,No,Two Year,No,12,135.0,104.0
36278,27,Male,No,One year,No,2,147.4,47.0
86511,47,Male,No,One year,No,2,197.5,56.0
19121,42,Female,No,One year,Yes,14,162.5,137.0
17244,72,Female,Yes,Month-to-Month,No,15,210.2,151.0
48705,58,Male,Yes,Month-to-Month,No,4,160.0,89.0
98267,33,Male,Yes,Month-to-Month,Yes,10,190.2,126.0
63666,87,Female,Yes,Two Year,No,1,202.6,99.0
27103,34,Female,No,Month-to-Month,Yes,12,135.0,93.0
43016,76,Male,No,One year,Yes,2,142.5,90.0
30319,47,Female,Yes,Two Year,Yes,7,232.6,124.0
11575,84,Male,Yes,Month-to-Month,Yes,11,242.6,137.0
80473,19,Male,Yes,Month-to-Month,Yes,3,202.4,75.0
17111,87,Female,No,Two Year,Yes,9,125.0,57.0
28308,75,Male,No,Two Year,No,10,175.0,139.0
62872,37,Male,Yes,Month-to-Month,Yes,15,225.1,203.0
37887,52,Female,Yes,One year,No,24,275.1,223.0
93428,24,Male,Yes,Month-to-Month,No,11,287.6,148.0
20184,83,Male,Yes,Month-to-Month,No,11,177.7,125.0
20015,19,Female,Yes,Month-to-Month,No,7,220.1,145.0
67061,78,Male,Yes,One year,Yes,2,197.5,59.0
32438,61,Female,No,One year,No,2,195.0,47.0
46770,38,Male,Yes,Month-to-Month,Yes,9,175.1,107.0
97437,79,Male,Yes,Month-to-Month,No,2,147.5,24.0
68947,49,Female,No,Two Year,Yes,12,135.0,94.0
26585,41,Female,No,One year,No,3,157.5,33.0
78744,75,Female,No,One year,Yes,10,255.1,109.0
34237,60,Female,No,Two Year,Yes,10,137.4,81.0
94402,70,Male,No,Month-to-Month,Yes,23,235.2,210.0
56042,23,Male,Yes,Month-to-Month,Yes,5,147.5,57.0
76638,84,Female,Yes,Month-to-Month,No,7,232.6,128.0
2215,63,Male,Yes,One year,Yes,21,137.4,163.0
98292,88,Female,No,Month-to-Month,Yes,2,129.9,56.0
67648,44,Female,Yes,Month-to-Month,Yes,4,242.6,77.0
40763,49,Female,Yes,Month-to-Month,No,12,187.6,154.0
25628,32,Male,Yes,One year,Yes,12,232.7,167.0
96717,60,Female,Yes,Month-to-Month,No,4,159.9,83.0
26542,57,Female,No,Month-to-Month,Yes,11,137.5,83.0
20121,62,Female,Yes,Two Year,Yes,1,245.1,80.0
56214,26,Male,No,Month-to-Month,No,13,117.4,148.0
20634,85,Female,Yes,Two Year,Yes,6,210.0,108.0
20874,82,Female,No,One year,Yes,19,170.0,146.0
35990,40,Female,No,Two Year,Yes,10,197.5,142.0
17268,50,Male,Yes,Month-to-Month,Yes,5,137.5,55.0
44310,71,Male,Yes,Month-to-Month,Yes,12,207.5,157.0
32340,24,Female,No,Two Year,Yes,15,147.5,121.0
65740,79,Male,No,Two Year,Yes,6,127.5,65.0
96737,82,Male,No,Month-to-Month,No,18,140.0,162.0
73073,68,Female,Yes,Month-to-Month,Yes,8,220.1,97.0
81241,19,Female,No,One year,No,11,140.0,108.0
16621,80,Male,Yes,Month-to-Month,No,14,270.2,195.0
87827,31,Female,Yes,Two Year,Yes,3,202.4,64.0
14206,62,Male,No,Month-to-Month,Yes,17,172.5,144.0
30337,80,Male,Yes,Month-to-Month,Yes,4,137.5,54.0
84324,36,Male,No,Two Year,No,6,105.0,69.0
8085,72,Male,No,Two Year,No,4,175.0,92.0
47942,50,Male,No,One year,Yes,4,140.0,57.0
65068,31,Male,No,Two Year,Yes,4,145.0,108.0
95819,22,Female,No,One year,Yes,10,115.0,90.0
27403,50,Male,Yes,Month-to-Month,Yes,10,172.5,107.0
49410,28,Male,No,Month-to-Month,No,9,125.0,82.0
3287,63,Male,No,Month-to-Month,Yes,9,175.0,91.0
90810,73,Female,No,Month-to-Month,No,8,92.5,49.0
80610,72,Male,No,Month-to-Month,No,12,140.0,148.0
8345,23,Male,Yes,Month-to-Month,No,2,192.5,75.0
24082,49,Male,Yes,One year,No,14,220.1,141.0
23915,82,Female,Yes,Month-to-Month,Yes,7,232.6,95.0
92277,72,Female,No,One year,No,4,210.2,74.0
24244,45,Female,No,One year,Yes,3,115.0,31.0
36582,73,Female,No,Month-to-Month,No,14,150.0,104.0
14714,78,Female,Yes,Month-to-Month,Yes,15,185.0,130.0
36526,71,Male,No,Month-to-Month,Yes,6,132.5,113.0
14066,67,Female,Yes,Month-to-Month,Yes,12,190.1,164.0
39040,43,Male,No,Two Year,Yes,6,92.5,52.0
68817,27,Female,Yes,One year,Yes,23,220.1,253.0
46228,39,Male,Yes,Month-to-Month,No,1,107.5,72.0
83013,52,Female,No,Two Year,No,21,170.0,170.0
37801,19,Female,Yes,Month-to-Month,Yes,11,222.7,164.0
68746,48,Female,Yes,Month-to-Month,Yes,10,200.1,146.0
95247,22,Male,Yes,Month-to-Month,No,12,262.6,147.0
67056,69,Male,Yes,Month-to-Month,No,2,152.5,46.0
18505,31,Male,No,One year,No,14,202.6,184.0
83467,79,Female,No,One year,Yes,9,127.5,121.0
63030,65,Male,No,Month-to-Month,No,5,160.0,51.0
66415,49,Male,Yes,Month-to-Month,Yes,6,125.0,102.0
13315,69,Female,Yes,One year,Yes,1,252.6,62.0
90401,74,Male,No,Two Year,No,8,105.0,102.0
61929,27,Male,Yes,Month-to-Month,Yes,14,205.0,148.0
20754,79,Female,Yes,Month-to-Month,No,6,245.1,100.0
55947,41,Female,No,Two Year,Yes,7,95.0,64.0
63636,51,Female,No,One year,No,9,169.9,85.0
48819,57,Male,Yes,Month-to-Month,No,5,207.5,107.0
24898,66,Female,No,Month-to-Month,Yes,3,115.0,24.0
30619,85,Female,Yes,Month-to-Month,Yes,8,232.6,143.0
72110,54,Female,No,Two Year,Yes,15,225.1,208.0
76230,79,Male,Yes,Two Year,Yes,14,212.6,189.0
67445,56,Male,Yes,Month-to-Month,No,1,152.5,47.0
12422,80,Male,Yes,Month-to-Month,Yes,3,135.0,32.0
44311,37,Female,Yes,Month-to-Month,Yes,5,200.1,120.0
19013,24,Female,No,Two Year,Yes,9,197.5,154.0
6484,48,Male,No,Two Year,Yes,11,192.5,109.0
50325,68,Female,Yes,Month-to-Month,No,8,162.5,72.0
97840,74,Male,Yes,Month-to-Month,No,14,222.7,155.0
99126,37,Female,No,Two Year,No,15,115.0,148.0
10001,54,Male,Yes,Month-to-Month,Yes,5,182.4,64.0
97064,84,Male,No,Two Year,No,3,95.0,26.0
33426,68,Male,Yes,Month-to-Month,No,2,172.5,98.0
96746,39,Female,No,Two Year,No,2,177.7,87.0
33133,85,Male,No,One year,Yes,6,207.6,90.0
71602,86,Female,Yes,Two Year,Yes,5,220.1,65.0
2367,70,Female,No,Two Year,Yes,10,137.5,88.0
20017,33,Female,Yes,Month-to-Month,No,12,160.0,111.0
71933,58,Female,No,Two Year,No,25,182.5,196.0
28360,58,Male,No,One year,Yes,10,130.0,124.0
12812,42,Male,Yes,Month-to-Month,No,8,112.5,77.0
13820,89,Male,No,One year,Yes,5,127.5,57.0
48097,63,Male,No,Two Year,Yes,14,162.5,122.0
31639,18,Male,Yes,Month-to-Month,No,12,155.0,162.0
42025,82,Male,No,Two Year,Yes,18,195.0,160.0
49104,61,Male,No,One year,No,8,192.5,103.0
76549,36,Male,No,Two Year,Yes,22,162.5,208.0
27824,87,Female,No,Two Year,Yes,2,107.5,25.0
24924,48,Male,Yes,Month-to-Month,Yes,13,142.5,155.0
27927,56,Male,Yes,Two Year,Yes,3,165.0,76.0
49917,57,Male,No,Month-to-Month,Yes,7,125.0,66.0
76435,89,Male,Yes,Month-to-Month,Yes,4,140.0,80.0
54982,30,Female,No,Month-to-Month,No,5,112.5,53.0
53142,54,Female,Yes,Two Year,Yes,5,212.6,131.0
14489,55,Female,No,Month-to-Month,Yes,32,182.5,258.0
14456,46,Female,Yes,One year,No,11,159.9,133.0
54014,18,Female,No,Two Year,No,17,245.1,182.0
22939,58,Female,No,Month-to-Month,No,18,150.0,132.0
11205,60,Male,Yes,Month-to-Month,Yes,17,185.0,152.0
94545,62,Female,No,Month-to-Month,Yes,18,92.5,156.0
8889,30,Female,No,Month-to-Month,Yes,10,149.9,143.0
31783,75,Male,Yes,Month-to-Month,Yes,3,167.5,46.0
72669,23,Female,Yes,Month-to-Month,No,3,197.5,86.0
5483,84,Female,Yes,Month-to-Month,Yes,16,152.5,132.0
30557,61,Male,Yes,Month-to-Month,No,3,162.5,59.0
30529,75,Male,Yes,Month-to-Month,No,15,262.6,154.0
21085,72,Male,Yes,Month-to-Month,Yes,6,190.2,97.0
24606,66,Male,Yes,Month-to-Month,No,6,187.5,84.0
98144,81,Female,Yes,One year,Yes,7,212.6,125.0
2713,34,Male,No,Month-to-Month,Yes,9,105.0,117.0
43948,82,Male,Yes,Month-to-Month,Yes,4,232.6,112.0
48015,73,Male,No,Two Year,Yes,10,142.5,104.0
18435,28,Male,Yes,One year,Yes,11,277.6,143.0
96109,48,Female,No,Month-to-Month,Yes,2,112.5,14.0
74472,53,Male,Yes,One year,Yes,9,220.1,105.0
56436,52,Female,Yes,Two Year,No,1,140.0,66.0
19041,20,Female,No,Month-to-Month,Yes,1,185.0,59.0
50127,19,Male,Yes,Month-to-Month,Yes,3,210.1,79.0
40012,48,Female,No,Two Year,Yes,3,160.0,52.0
96853,28,Male,No,Two Year,Yes,32,127.5,245.0
33042,52,Male,No,Two Year,No,13,162.5,131.0
16436,77,Female,No,Month-to-Month,Yes,19,172.5,157.0
54771,71,Female,No,Two Year,Yes,9,255.2,118.0
12561,22,Female,Yes,Two Year,No,4,185.0,105.0
24578,88,Male,Yes,Month-to-Month,Yes,10,175.0,131.0
16881,25,Male,No,One year,Yes,4,112.5,42.0
62478,21,Male,No,Two Year,Yes,11,195.0,130.0
70358,39,Female,No,Two Year,No,5,172.4,66.0
50313,29,Male,No,Two Year,No,5,200.2,93.0
76504,22,Female,No,Month-to-Month,Yes,6,127.5,96.0
59081,44,Female,No,Two Year,Yes,19,147.5,166.0
23181,74,Male,No,One year,No,5,207.5,77.0
86335,84,Female,No,Two Year,Yes,6,169.9,60.0
13795,65,Male,No,One year,Yes,17,152.5,185.0
96814,29,Female,No,One year,No,3,162.5,95.0
48397,51,Female,Yes,Month-to-Month,Yes,6,200.1,128.0
77331,40,Female,Yes,Month-to-Month,No,15,182.5,135.0
2357,49,Female,No,One year,Yes,7,125.0,63.0
42453,61,Female,Yes,Month-to-Month,No,7,230.1,110.0
98404,61,Female,No,Month-to-Month,No,12,147.5,99.0
55350,85,Female,No,Month-to-Month,No,10,142.5,122.0
11359,25,Female,No,Two Year,Yes,18,152.5,183.0
64659,48,Female,No,Month-to-Month,Yes,17,105.0,131.0
24476,86,Male,No,Month-to-Month,Yes,14,115.0,115.0
24597,53,Female,Yes,Month-to-Month,Yes,5,185.0,68.0
32073,88,Female,No,Month-to-Month,No,3,135.0,20.0
83871,40,Female,Yes,Month-to-Month,Yes,3,182.5,56.0
38132,23,Male,Yes,Month-to-Month,Yes,4,192.5,67.0
55359,63,Male,Yes,Month-to-Month,No,12,150.0,110.0
29210,28,Male,No,One year,Yes,11,95.0,106.0
47023,26,Female,Yes,Two Year,No,6,245.2,112.0
59248,22,Male,No,Two Year,No,14,169.9,135.0
88255,43,Male,No,Two Year,Yes,10,207.5,117.0
97737,70,Male,Yes,Month-to-Month,No,3,245.1,96.0
29150,48,Female,No,Month-to-Month,Yes,9,127.5,116.0
11206,29,Female,Yes,Month-to-Month,Yes,1,182.5,45.0
2907,61,Female,Yes,Month-to-Month,No,7,267.6,150.0
35646,73,Female,No,Month-to-Month,No,17,105.0,127.0
78681,27,Male,Yes,Month-to-Month,No,11,165.0,161.0
28019,56,Female,Yes,One year,No,16,240.1,157.0
44270,19,Male,No,Two Year,Yes,11,125.0,145.0
75683,56,Male,Yes,Month-to-Month,Yes,5,127.4,88.0
17925,83,Female,No,Month-to-Month,Yes,2,170.0,21.0
53953,84,Female,No,One year,Yes,22,170.0,160.0
28513,62,Male,No,Month-to-Month,Yes,3,180.0,48.0
67108,67,Male,No,One year,No,2,135.0,23.0
81415,21,Female,No,Two Year,Yes,9,192.4,103.0
48872,31,Male,No,Two Year,Yes,7,172.4,129.0
19954,25,Female,Yes,Month-to-Month,Yes,5,212.7,105.0
67482,60,Female,Yes,Month-to-Month,Yes,11,175.1,107.0
11749,84,Female,No,Month-to-Month,No,15,160.0,126.0
33331,36,Female,No,Month-to-Month,Yes,5,112.5,49.0
58058,87,Female,No,Month-to-Month,Yes,12,180.0,85.0
47598,80,Female,Yes,Month-to-Month,Yes,9,252.6,106.0
48630,34,Female,No,Two Year,No,14,95.0,106.0
99032,39,Male,Yes,One year,No,14,240.1,156.0
33611,42,Male,No,Month-to-Month,No,13,105.0,128.0
30094,36,Male,No,Two Year,Yes,3,182.5,62.0
1721,18,Male,Yes,Month-to-Month,No,15,149.9,169.0
65076,66,Female,No,Month-to-Month,Yes,17,145.0,119.0
28658,20,Female,Yes,Two Year,Yes,3,187.6,107.0
