,Tenure
8126,61.60969
6976,48.29423
8517,69.93109
8483,37.04844
9255,56.00686
6732,64.08645
6212,71.25102
8579,59.30543
7913,51.39351
5143,66.45525
3399,5.996824
7489,59.43728
2421,11.11794
595,2.843930975
1755,6.805071944
2359,9.25848
8971,55.68048
9820,62.96706
9553,68.03445
9230,50.84459
5995,62.38889
8439,64.76289
4728,5.971951
1993,3.99171522
8170,69.61652
8075,60.57969
1915,12.85056526
923,5.259033624
7837,65.2394
5080,61.79462
4327,5.682535
6336,63.1308
3154,7.194486
2425,14.10183
2478,20.13722
5561,53.66219
6608,54.22191
5706,63.06098
6248,61.93975
7303,49.26265
3468,1.450971
6636,36.24048
4068,13.14021
2975,6.039499
793,4.208227552
3504,3.304515
4656,8.747794
8804,58.52385
2933,9.417302
8049,45.69588
2577,5.525134
222,10.28430068
2623,30.82191
6662,59.63287
8520,56.24647
2645,1.99818
5276,68.84751
3267,9.416447
1021,18.39607984
212,1.416592892
1918,15.54170472
8821,48.01685
8012,68.78508
3756,2.560691
5382,45.84265
8008,47.59384
2881,4.646695
1931,2.48527604
5112,47.96609
9578,62.67368
7863,68.01321
2012,8.433722
7960,45.75966
7922,43.18866
7065,71.34241
1570,7.897660605
3329,3.555031
5168,58.67524
4067,16.53338
5681,57.49365
9135,58.96026
4265,13.92306
4051,4.839337
2549,2.476217
1528,7.843263617
3903,1.940789
3249,11.63547
3367,15.67732
9270,67.69779
1830,6.57513059
7405,41.14853
7657,58.55948
4669,10.99037
7187,62.27403
3884,3.590398
7814,51.74735
517,7.226076469
2340,13.24052
2616,29.95876
4047,14.71579
8289,68.47117
2643,4.310974
1811,1.884992328
8155,69.59174
271,9.068119482
7694,38.06839
2734,13.81356
4113,6.623366
7718,59.3332
5027,55.87684
4969,2.745106
2155,1.319201
1542,11.71308191
6522,64.99919
2390,2.687062
9826,54.93761
1636,16.72537387
9827,61.10676
6559,63.29423
412,4.156887945
3292,7.182107
2405,1.813049
5107,42.36505
7728,71.4869
7441,64.91269
4925,14.13869
8453,66.23131
1977,14.51274009
2305,6.324505
8588,70.90919
7789,55.13723
146,3.180102025
7652,59.84496
381,11.16847385
3318,2.138986
9993,59.86596
4124,4.827032
6925,58.76836
7870,70.11539
4739,3.407577
6433,58.7517
4266,3.381603
4178,26.10713
1867,14.45556293
3007,22.54598
4044,10.52332
2218,13.14986
6053,48.02057
2678,23.86996
1571,9.098041235
7796,66.8679
8447,55.18746
4282,9.468306
6487,55.09779
4964,6.306379
5305,47.01192
6941,60.45725
6011,62.21334
9375,71.56684
483,3.956375328
2130,29.35795
9851,58.40532
7743,69.88681
5644,47.64072
718,9.472450618
3973,4.418665
8720,62.50486
6409,60.95034
8480,52.26662
4240,5.058557
7136,71.11027
5221,55.2288
5460,57.76017
589,3.113737885
5394,70.0669
4281,3.30098
1774,10.2452503
9120,60.23312
4592,2.893617
6307,62.32241
3213,4.870047
5763,51.27317
6785,67.53496
8292,70.00545
1733,1.662826246
9394,63.28819
8553,64.5943
4513,7.685406
8894,39.23505
8641,47.62011
7221,59.94749
7285,53.53017
3518,8.346499
2485,7.194779
7578,68.83185
4488,11.94283
4919,4.64085
6834,62.5664
6544,56.69865
8662,45.48614
9640,67.26893
6951,53.26798
2105,18.381
309,4.030250374
343,4.893221514
1897,7.434237932
1063,1.018519598
503,4.806882153
745,9.539962975
4358,22.30566
8165,70.38624
2161,7.117565
6273,49.64838
8277,71.67868
1688,1.030630574
4570,8.380626
63,12.25062113
1856,13.40891729
9649,47.56383
945,14.63294721
5353,56.83549
8495,70.99524
6224,60.43351
6833,48.37464
8687,49.71999
3058,7.296904
3317,8.549649
9709,66.23938
1465,2.180613468
4299,9.517804
3263,1.532436
9139,68.10981
3670,5.115763
3362,7.114816
3069,16.01922
7274,65.01857
9580,66.59987
3614,1.364515
3620,5.638782
1713,8.315973557
663,19.21689293
785,9.294088005
3749,8.980916
3563,5.001663
3244,6.645392
5990,48.95603
8841,58.57249
5540,60.83302
1969,6.393598693
6949,62.96668
2825,5.389466
6302,63.00356
6488,64.5515
2281,7.755991
9470,49.61816
7271,63.21638
4944,4.197945
7996,51.68157
9285,59.91013
3752,8.462066
9433,54.61973
8563,49.11866
5624,58.97505
1200,1.784103787
3824,6.192078
9776,57.49156
1272,15.71358455
1978,16.01233793
7323,47.30434
2015,14.80885
4404,7.465071
6451,70.71967
4501,5.123883
5580,41.09169
8058,66.1916
9130,44.83431
3337,4.043506
6510,54.61729
1665,14.98166868
4982,2.63695
1486,7.517405581
8154,65.66053
8018,38.64796
8736,67.78399
2736,1.992273
5131,67.94243
4564,3.896108
7864,69.05044
6796,57.2547
3411,9.29979
8311,62.08563
7845,71.13061
1388,9.553290527
1720,8.133269102
5023,56.63931
7988,68.3486
3448,10.50792
4355,17.7076
1358,7.819783852
7198,69.91626
5773,59.1618
5873,71.0114
1968,3.391969552
9610,64.05212
2418,6.364903
6122,40.35081
4879,3.384599
8376,39.22782
1737,4.186523762
8965,71.13774
8285,65.19187
5771,61.30642
7607,50.77358
5638,71.93174
5326,54.58835
6230,53.5771
1905,6.044266101
4326,6.246694
800,8.063547235
7010,60.52344
9396,49.72909
8998,71.65648
3067,4.731989
5478,59.27489
2282,9.557096
5707,56.31481
1441,1.550200335
1492,12.47525704
2631,1.84687
3707,11.21368
8825,67.10773
4560,12.09048
2136,2.465822
3224,15.14561
786,12.96208301
9117,46.12627
4621,2.611838
8125,68.51142
2667,5.25157
4838,2.429677
4270,15.98922
6895,60.11069
1057,14.45990083
332,2.423722078
7763,66.80803
1568,8.926271021
6953,66.62187
1430,10.27733324
8224,50.31252
2227,10.269
6125,68.24302
5050,61.78014
3914,5.145314
6557,70.31796
4191,23.40043
4260,16.53241
465,14.58066686
4102,7.032789
6762,58.3075
8784,71.26615
7424,68.86725
272,1.926789854
8616,67.87061
1785,17.56134872
1566,11.45756486
3261,1.916489
4687,11.89464
5140,61.35427
2906,6.224413
38,9.847563364
6389,50.30252
5979,65.29336
2254,6.791156
8892,70.52668
5500,65.52904
1612,4.753020774
4741,9.651306
2173,7.535729
3680,13.59261
2207,11.90634
7080,61.19712
8951,65.38222
7087,63.64488
6000,44.09777
3885,12.5247
303,3.212400569
8914,55.02079
5047,67.47739
5132,56.69146
9954,59.29022
6836,45.16032
1472,13.23888382
9504,65.19899
9015,64.1745
6776,60.17878
6887,47.98669
4690,6.264945
1697,11.29271486
1471,17.5841798
1226,6.832965812
3796,3.998314
4905,2.553094
7620,71.44166
3192,6.735348
2291,24.42176
4735,17.06338
5366,62.10157
5123,69.71458
1925,3.835182255
4255,6.322807
7927,66.8616
3850,5.446201
4447,1.193519
4738,4.731685
607,4.109952242
5404,68.83942
5607,59.43102
3747,3.831822
6961,66.47977
6115,61.72696
9721,71.68601
5942,67.71178
219,4.95598008
7783,68.59441
9926,49.07033
7292,52.53762
6217,60.20609
4451,5.452285
2585,15.2121
4644,7.502506
2269,7.80313
817,12.00858052
1502,11.71980152
9054,66.42219
6497,63.66597
5334,52.42146
5035,71.106
6365,71.89548
2574,16.79677
153,3.260462654
5634,66.7449
3797,4.636111
8419,55.62538
5711,66.19811
4946,3.184209
4546,17.95045
383,17.6210362
9783,57.01956
3216,4.939997
5515,52.03938
6421,67.86743
3150,10.16083
1886,2.678577227
6422,67.77528
5859,47.78655
3087,11.81544
2992,2.080255
7994,63.83868
6198,63.08784
4945,8.596064
9962,56.40424
1207,13.14070245
5005,38.69991
1523,4.089399488
2347,16.25256
2559,22.31932
8421,60.98195
6632,55.59681
5946,57.94445
9430,69.70761
7636,62.76892
7799,64.54829
2246,7.533801
8229,57.72738
4425,1.78963
3982,14.14568
9858,57.4792
8540,68.34963
6994,48.91992
6211,63.97947
6239,55.66379
6342,66.99471
9816,59.13074
8422,51.53345
6733,63.17834
5501,65.33592
5016,55.11148
3808,7.61586
7257,62.5497
5925,60.04495
2109,12.31839
1824,3.999140345
2402,5.792794
4771,12.28997
101,11.13472066
604,14.46037646
1780,10.73057042
4529,5.260996
7436,55.67036
8543,70.56361
4710,10.48384
6213,71.56158
6364,71.1184
2785,3.341126
181,23.00764441
7847,66.17677
8728,55.74501
205,17.72593456
9218,71.59806
2575,1.311693
8406,36.98095
7975,67.5017
8152,44.59709
37,7.161561527
9539,66.68553
3420,7.151009
2981,2.251237
9001,69.91998
6639,57.0263
5709,66.00149
2457,1.76478
4727,3.665202
8444,61.2082
4086,2.779089
730,7.004427474
2646,16.93745
3036,6.150351
1102,9.2766412
5105,50.85526
2600,12.359
3295,9.961602
6029,63.86174
708,10.49916723
4707,18.75702
3514,9.068923
7816,49.75092
12,13.01149229
2552,7.990345
1857,3.857491515
4187,2.980706
6883,69.26448
9183,71.07066
5258,69.03829
8036,51.47333
7451,65.11128
1361,4.089115347
9071,59.9737
5901,70.73486
7673,67.08693
5111,53.40027
2022,7.387825
2083,2.958575
1878,7.19812868
3949,11.9008
8862,70.21916
989,6.069124406
6642,61.96931
7305,57.86878
1614,9.217596711
1356,11.73492964
420,17.22220989
3643,11.6573
3389,13.26061
6371,71.51954
738,6.503513341
6610,38.7682
6073,40.94814
276,9.532523799
8868,58.90417
7184,47.95497
4104,15.15905
7919,58.42342
8239,57.06365
9126,58.11303
1923,5.220501553
6008,63.00351
5421,45.54189
8048,56.53633
4222,4.192662
5718,65.45306
8024,60.19463
1664,6.5443199
9677,54.17218
7828,45.25561
6587,50.61987
1552,2.965166415
6357,71.41919
8007,67.08536
9094,66.82797
5593,65.49323
8403,68.97498
9815,60.29749
4239,8.361438
2365,10.17576
2064,8.333131
4805,13.74701
7241,69.5381
2644,1.200106
9215,66.94632
3719,7.116216
702,12.84120976
1250,9.566169913
5782,69.76544
134,9.482919033
4683,2.292165
3085,7.733033
7526,62.99928
9109,56.19141
869,3.11643578
8678,43.49892
7235,52.07056
9047,47.27475
8053,66.78392
1986,7.443067222
3010,6.548905
3685,20.5032
3527,4.380312
6500,62.19865
7756,62.43485
2226,10.36313
7886,53.06052
2500,3.627104
9165,66.57985
2333,1.589535
7105,44.13783
8377,52.56715
917,3.679255472
3,17.08722662
2153,21.61867
7794,59.36326
7544,63.63151
8236,69.54041
2840,15.33274
7169,63.20516
6375,48.98746
8619,65.19543
196,15.87685513
5017,66.50412
6464,55.22194
3247,4.157726
8113,60.1541
6627,51.54386
3163,4.540275
8118,50.02645
7042,56.08334
4290,7.518447
488,5.622660986
8306,66.29517
1024,18.33393114
6816,60.06677
2742,8.527084
3523,3.084418
8766,45.66396
1885,3.032321354
2664,10.59491
8761,46.38454
5701,70.64297
4515,8.387889
4373,8.584144
8470,60.04717
933,3.861708438
3086,6.446693
7529,50.65407
7324,52.09557
8724,62.83864
1900,16.3364928
1850,7.399248624
698,2.995498523
149,7.006240694
6716,51.59161
3816,3.895892
2205,6.17382
5663,68.76753
5295,58.73506
1761,17.96501147
3805,14.56715
8611,70.83727
2283,5.219974
3431,5.387532
9041,68.75872
2958,10.92196
7223,63.39679
9177,49.19446
2502,24.14282
1005,13.3771743
9811,61.69069
233,16.0708543
6846,57.72932
8911,52.20049
6793,64.31944
3731,19.91179
949,4.905988692
4639,3.171487
2957,7.773669
7231,71.23368
5350,61.18595
2423,6.617173
6157,60.16638
7601,50.09435
8139,44.03142
1729,6.027648047
3977,3.932102
900,11.55987401
5537,66.63528
6854,68.16632
4507,5.113589
1133,1.491763776
214,15.85002222
4565,6.564797
2148,4.564096
8935,70.47803
1635,25.55038197
9502,68.9536
1002,5.31868521
6245,66.85047
7682,42.34953
3703,17.18815
73,9.190009376
9389,71.71756
7554,48.62124
8709,63.56932
9714,62.16781
7344,43.8884
1454,10.11687657
8818,47.60481
877,13.76871228
1488,7.413563684
3812,8.249104
6323,63.27315
7833,71.5701
7878,56.98279
9905,70.53117
241,12.00925702
1117,3.638799298
6562,66.72045
3327,7.685124
540,1.815836226
8269,52.64455
6432,71.77038
5497,49.30275
7740,66.81169
3739,1.481306
9700,49.16112
6264,55.70975
9654,66.969
1280,20.83084927
2313,7.367806
6046,60.17035
9397,61.82169
1249,2.937852035
6946,45.59554
6268,51.95172
8891,58.89646
3718,3.079288
2723,8.962034
198,3.756359276
6508,58.65834
820,11.78880203
9337,66.63279
6483,44.60033
8219,68.6654
3305,14.24378
1086,8.92504512
2212,20.43585
7951,70.40235
8888,66.35321
9261,58.8386
6651,53.34051
4824,11.99482
6795,68.29079
281,1.586331702
5062,69.07545
1772,2.693860703
8631,62.78671
6725,64.64603
1926,7.918255804
7385,56.1113
5373,62.82387
8032,58.17852
8485,66.10035
5229,56.99989
1833,1.997833268
8242,56.3981
7406,42.52243
6430,61.30152
971,8.137267032
436,10.96319721
3604,11.29098
6473,45.72931
2501,12.00909
7703,59.93377
5623,57.31571
1151,9.716052195
570,10.81527088
6982,56.1721
4917,4.614124
709,1.72479919
9841,60.87178
4429,5.147213
2127,1.789614
6023,62.9411
9017,67.84553
7599,63.35604
9446,71.48016
8203,57.04063
2103,11.07943
1691,20.51922799
8672,71.33938
3635,3.443373
2780,3.588245
7433,47.57047
878,18.66504433
3204,3.878694
3673,2.277916
3912,21.29638
8620,63.47229
3592,14.60884
8906,68.14328
62,7.960490246
5906,68.88054
1787,5.867164261
8658,71.63571
2640,3.82548
3139,2.518069
8029,63.90801
731,7.439569893
8299,57.527
6665,61.37983
5821,62.32519
1680,12.95969924
5556,51.17826
2092,5.855847
7203,69.93726
9311,48.63086
3234,1.567389
4907,20.52701
5669,45.59475
1862,8.006997906
6879,42.72759
9145,70.16029
1165,1.068799086
5871,61.59822
1666,13.79138076
8247,45.92276
6835,64.92993
5662,66.15315
6031,58.43007
4684,10.06351
1187,19.37622206
4441,1.081032
4089,3.033303
9461,51.83082
5154,65.82455
502,5.100566529
2197,4.798977
4085,6.971251
349,3.365552603
9387,55.73208
8413,41.72598
6992,70.79817
3066,10.02202
6825,70.39354
2945,12.24574
5128,70.52235
1186,5.873359501
3786,11.69762
3148,7.802142
3561,7.83307
2471,10.08697
5440,62.59338
2033,4.600655
9760,60.67808
229,12.02106494
3842,7.852216
6112,64.16811
7698,71.37419
6916,60.06802
4003,33.19612
2844,13.21554
635,9.126959742
1031,5.376652863
7512,56.9769
8704,62.90882
8190,67.27889
8401,71.7825
4,1.670971726
402,1.379696124
6478,68.3716
7161,40.62433
5012,50.73425
3599,5.760318
3398,8.741017
6869,56.35945
2794,12.55315
291,18.9537053
4132,4.351173
6638,68.86592
9588,66.56346
8589,48.28595
135,8.447988841
3458,17.19789
5941,46.60224
7380,50.68244
899,1.611546284
7244,68.26818
9825,50.8022
7287,65.93142
6735,46.95877
6765,66.36534
8565,61.09569
1504,16.24273454
9868,54.87071
4654,1.712499
534,2.359067126
9493,55.74944
485,2.206152519
3137,19.92045
1440,10.99225739
6272,54.67507
556,12.85397739
9853,61.80927
3035,3.101413
7724,58.2078
8009,64.77844
871,12.84560044
8781,61.46188
7307,59.6238
1917,5.798532598
5367,53.45259
6055,70.04054
9955,60.07253
6253,51.98679
963,1.153881327
9927,61.91109
8206,68.69369
7215,69.03254
9837,61.8401
6811,52.97231
400,8.611218573
3934,8.160495
1110,18.30915793
9575,67.29135
3353,11.85169
2111,6.23273
2627,24.2732
3013,9.539097
302,14.14101821
808,9.162445307
9364,67.13803
9184,46.04347
886,15.16937697
1357,9.841085026
9252,61.10374
8260,63.5224
3167,8.989805
2196,4.418468
7395,71.32292
771,9.043575718
8333,40.21109
4700,4.581601
9134,55.84748
2717,9.499599
1375,7.677039536
5365,45.92294
3853,2.504861
3608,16.43691
9963,58.47429
1052,7.25493599
253,4.135827839
4372,19.30476
1412,2.495010749
4875,2.255314
4449,3.033312
5281,59.51347
7353,58.50292
3699,15.84313
6337,63.63312
9729,64.6373
6068,61.51052
311,9.821728297
6923,68.1253
6558,53.77815
385,17.52138221
1778,8.661116617
1839,18.29765062
2887,12.69289
4280,8.06514
445,10.8600084
6346,37.86885
9138,59.54349
1138,9.343807204
8505,48.60336
1227,6.109999694
4706,4.219362
7986,70.45268
1753,16.15614223
5892,56.03048
2962,5.464488
3668,2.912281
8604,67.11925
2852,12.86853
1949,22.04436191
4361,2.222289
5056,62.9209
5171,71.84774
956,16.66814552
5835,64.12772
5911,66.31056
5278,61.62973
2176,12.43721
7571,60.44201
8801,64.79987
1501,18.02281027
1147,7.95236848
9742,61.73668
3772,6.864699
3515,4.444135
1035,10.11019941
6045,47.34607
5255,57.95857
5493,63.04335
3655,28.31146
458,5.440398012
8472,69.86605
5015,63.14574
7891,59.39367
2382,9.713544
7604,68.92748
4759,3.199579
7552,60.29081
3771,1.24728
5,7.000993555
2004,7.976237
9971,59.14016
9641,52.4705
7968,54.23761
3849,12.674
8599,65.34077
7345,66.49135
6481,54.28015
1354,4.860645308
2871,9.430096
9775,71.97999
7989,68.04513
7693,55.68371
321,13.67931764
4492,3.592376
1659,11.06628519
4121,17.25428
5944,69.28827
5139,58.83809
2051,6.025694
1094,6.791270714
6220,55.17028
9953,49.80587
5041,64.30623
9965,46.87556
5934,58.238
574,6.786723844
8411,60.16674
6321,57.76658
5285,65.74132
8795,68.93363
5908,56.81183
4223,16.61624
830,5.179004124
1562,2.427380647
9013,68.7816
5304,69.54744
1838,18.00704355
4976,8.930383
7182,64.26003
1663,21.87100089
5819,62.24788
9025,70.40902
9908,64.34378
6886,66.52106
6526,45.30473
8393,70.99616
811,29.10639477
7563,45.84636
8552,44.68507
330,9.734064703
6963,69.97948
4580,10.83268
2133,19.87069
4881,2.223563
8875,58.56191
668,16.53708435
4516,8.561641
3276,1.190018
5621,60.87582
8527,56.0677
9587,59.566
1181,13.34966275
1535,4.071312509
5851,63.67009
1095,7.172070851
5750,64.44732
5660,61.18403
4460,2.546083
5060,69.03413
6349,66.67669
5573,52.98075
1081,10.19437082
8081,68.34459
452,1.914386255
8335,47.86746
3032,7.311512
4556,13.23966
6815,70.60744
1810,1.84841935
9123,64.63082
551,7.793733508
9367,38.07335
4162,11.25684
6170,63.67919
2751,8.27839
3177,5.623623
5447,61.33997
4119,6.580765
8364,63.59872
797,9.289517752
1520,7.175063445
3548,7.138798
5645,71.3084
4309,7.294292
2036,7.231407
2223,10.57654
7246,63.09122
8466,62.69829
8271,69.7211
5427,66.9628
2515,14.04801
753,11.14672304
1973,11.23691953
5268,50.49072
8557,62.27729
4742,1.726448
9761,70.40113
6911,42.38378
9074,61.64558
1627,5.810822315
1975,12.57273206
1068,9.690818661
8435,60.80126
1724,23.10105854
5576,62.84931
5881,37.04125
2787,20.22924
1264,5.011735021
4685,4.527148
9566,63.9229
8063,64.51973
2789,20.32585
9050,62.71074
2395,10.18679
7252,60.7425
4758,17.1248
696,10.85959186
8042,68.36641
86,4.650578623
7280,57.06138
6805,38.6818
706,13.57977305
3471,6.523366
9565,61.00345
3287,1.356734
77,20.13981517
4806,19.48387
3881,7.097053
6695,57.50229
9720,46.84079
1376,5.427546075
3187,3.949032
6193,62.39033
8214,67.68938
6763,62.46827
8068,53.32394
2420,10.55912
3447,19.19435
970,8.840888613
1532,10.54165852
1728,24.3036064
4828,23.63005
8027,57.67058
829,8.654535873
7091,71.14613
8328,58.59644
4314,3.23817
2121,27.98865
6353,60.48709
9643,49.4719
8997,71.76656
2997,10.24306
1127,22.16579367
3928,6.611696
435,11.50651216
4466,9.894265
7818,46.86241
1489,11.32483244
6240,67.09465
4083,4.91638
4131,6.63265
7284,65.50792
7634,48.28818
257,2.416685985
751,7.677648117
2988,7.066142
2681,5.874949
7090,43.6544
4798,7.560138
6691,48.90424
5169,69.17356
6294,71.20584
619,9.14991493
5378,62.76753
2048,7.793232
9298,47.77384
4203,19.48432
3370,9.060745
1642,5.070551439
8633,64.95453
4496,2.284487
25,4.157658837
7390,59.7815
6647,59.25503
8140,60.77973
4846,4.212653
2566,7.437784
4442,21.36386
2081,14.86711
6978,65.93881
8904,71.12681
1798,22.89696344
6933,68.56426
1291,7.010189312
6753,63.30988
8545,60.0122
2070,5.430488
1955,23.11577242
3481,8.369827
6703,64.67729
8436,55.75197
8701,71.40033
756,19.9441873
9490,57.92283
5087,57.50724
5783,66.63219
490,2.012075635
